n_ID	s_TEXT_NOTE1
1	Lucky Strengthen
2	หลอม Little Mary ซ้ำ
3	รางวัลประจำวัน-รีเฟรชรางวัลล็อกอิน
4	รางวัลประจำวัน-รีเฟรชรางวัลพิเศษ
5	เพิ่มความเร็วในการแปลงร่าง 1 ชั่วโมง
6	หลอมผลึก เปิดช่องหลอม 1 ช่อง
7	หลอมผลึก เพิ่มค่าสูงสุดของส่วนบำรุงเป็น 100
8	เปลี่ยนนามปากกาจดหมายขวด
10	หลอมผลึก เพิ่มอัตรา 30%
13	หลอมผลึก เพิ่มการล้มเหลวแต่ไม่หักจำนวนการหลอม
14	หลอมผลึก เพิ่มความเร็วในการพัฒนา 1 เลเวล
17	ฟื้นคืนชีพที่เดิม
18	รีเซ็ทการส่งด่วน
19	รีเซ็ทดันเจี้ยน (1อัน)
20	ล็อกไอเทม
22	รางวัลประจำวัน-รับพิเศษ 1
23	รางวัลประจำวัน-รับพิเศษ 2
24	รางวัลประจำวัน-รับพิเศษ 3
26	รีเซ็ทสเตตัส
27	รีเซ็ทความสามารถและแต้มของชั้นวางของ
28	裝備洗煉
