lifecycle_id	lifecycle_key	row_kind	phase	predecessor	successor	order_relation	trigger_or_condition	exact_observation	claim_sha256	semantic_status	order_status	evidence_file	evidence_file_sha256	evidence_locator	evidence_span_start	evidence_span_end	evidence_span_start_file_offset	evidence_span_end_file_offset	evidence_span_sha256	support_spans	evidence_key	evidence_reuse	canonical_evidence_lifecycle_id	source	nonclaim	blocker	required_next_evidence	image_sha256
CL-DATA-001	b30d217f9b0fb8a44e391bb7a1fee33a9a0d6aa9c511fd4ae111eaba01ed1a02	DATA_JOIN	ACTION_EQUIPMENT_BINDING	EQUIP_VALUE.n_EQUIPTYPE=1	BEHAVIOR.n_ID=280	KEY_JOIN	EQUIP_VALUE.n_ATTACK_SKILL=280	Equipment type 1 maps n_ATTACK_SKILL to behavior 280, whose exact s_ANIMATION is _C_ATTACK_000;30.	5cc4ecf5a38f9b11f8789c7f3181dc913359b59ca97cd4a8d63425113fc0421f	PROVEN_EXACT	PROVEN_EXACT	PF_ROOT://pf_bridge/gamedata/tables/CONSTDATA_TH__EQUIP_VALUE.tsv	42512c3badbd0047f4fea790d82ca21f827d30fe491aa05375b3271b5b41a861	ACTION_EQUIPMENT_BINDING:parsed TSV row	N/A	N/A	0x000000B4	0x0000011C	8aeb3e4ea2b48383dd724899863cce8a3a423bc13702527de16dfa4a9f46462e	PF_ROOT://pf_bridge/gamedata/tables/CONSTDATA_TH__BEHAVIOR.tsv@file_off=0x00004C5C..0x00004D17@line_sha256=0b0ae76a9bd238f9a28ad87cfeca057279eafebb1878ebcc7c639dd092efe500@file_sha256=79ee11e480db92db0da8e9d08a0911badeef8d2942cc1c072cdb0e9a6562bf4e	59148faadc2509f994fe2ff7a5003f25480766feb8a0ec2904d774cc1e370a90	UNIQUE_EVIDENCE	CL-DATA-001	DATA	The DATA join does not prove which equipment is active at runtime or who repeats attacks.	NONE_FOR_BOUNDED_CLIENT_CLAIM	Runtime equipment identity plus original ActionVital traffic for selection policy.	N/A
CL-DATA-002	b5aeb2d44e9451a4530676b91984a5dcda483c12e0b58a5c9113b5ef510d04a3	DATA_JOIN	ACTION_EQUIPMENT_BINDING	EQUIP_VALUE.n_EQUIPTYPE=2	BEHAVIOR.n_ID=284	KEY_JOIN	EQUIP_VALUE.n_ATTACK_SKILL=284	Equipment type 2 maps n_ATTACK_SKILL to behavior 284, whose exact s_ANIMATION is _C_ATTACK_000;28.	640b8dc5d74109d945e4c8165c2859deb393766ff453bd55cc7e0c31b53b0326	PROVEN_EXACT	PROVEN_EXACT	PF_ROOT://pf_bridge/gamedata/tables/CONSTDATA_TH__EQUIP_VALUE.tsv	42512c3badbd0047f4fea790d82ca21f827d30fe491aa05375b3271b5b41a861	ACTION_EQUIPMENT_BINDING:parsed TSV row	N/A	N/A	0x0000011C	0x00000187	89df773428b6db7b0486f99ac162a370b41ed37dc02dcaa35f44e53b50337856	PF_ROOT://pf_bridge/gamedata/tables/CONSTDATA_TH__BEHAVIOR.tsv@file_off=0x00004EEC..0x00004F91@line_sha256=68994d5de13083396e209d63071980f7cac3139a0053bed0fa5b590eb4701c4b@file_sha256=79ee11e480db92db0da8e9d08a0911badeef8d2942cc1c072cdb0e9a6562bf4e	c6af0df86eb4172ba376a2bac665d5ee98866a73c9e408ca779efb3119cb7115	UNIQUE_EVIDENCE	CL-DATA-002	DATA	The DATA join does not prove which equipment is active at runtime or who repeats attacks.	NONE_FOR_BOUNDED_CLIENT_CLAIM	Runtime equipment identity plus original ActionVital traffic for selection policy.	N/A
CL-DATA-003	f5895250b1fb05cf9711fe8e7f602b4988ffb48107cd394ad283573c6b6e88f0	DATA_JOIN	ACTION_EQUIPMENT_BINDING	EQUIP_VALUE.n_EQUIPTYPE=8	BEHAVIOR.n_ID=288	KEY_JOIN	EQUIP_VALUE.n_ATTACK_SKILL=288	Equipment type 8 maps n_ATTACK_SKILL to behavior 288, whose exact s_ANIMATION is _C_ATTACK_000;24.	650ed54b6adc169b999eb356ad6d68232fe965638fe6a933496a3d9c9a247f55	PROVEN_EXACT	PROVEN_EXACT	PF_ROOT://pf_bridge/gamedata/tables/CONSTDATA_TH__EQUIP_VALUE.tsv	42512c3badbd0047f4fea790d82ca21f827d30fe491aa05375b3271b5b41a861	ACTION_EQUIPMENT_BINDING:parsed TSV row	N/A	N/A	0x000001F0	0x0000025B	269991b5ba2eb0f876bdf311b21013f809a836ebea9b7db96b97600687004447	PF_ROOT://pf_bridge/gamedata/tables/CONSTDATA_TH__BEHAVIOR.tsv@file_off=0x0000513E..0x000051BB@line_sha256=53b0bb2d9822dad74d0350978360162f4c808d9446713e9d3cdbc0c0fe20a4c3@file_sha256=79ee11e480db92db0da8e9d08a0911badeef8d2942cc1c072cdb0e9a6562bf4e	f429dfc3204206e3cf33d72b39b808c3093071eefc0762b1725a004625e691ec	UNIQUE_EVIDENCE	CL-DATA-003	DATA	The DATA join does not prove which equipment is active at runtime or who repeats attacks.	NONE_FOR_BOUNDED_CLIENT_CLAIM	Runtime equipment identity plus original ActionVital traffic for selection policy.	N/A
CL-DATA-004	795d18f8da64119ab9216c3bde0bbf78cd7f2e5582e6593c75838ff9ea9fbe21	DATA_JOIN	ACTION_EQUIPMENT_BINDING	EQUIP_VALUE.n_EQUIPTYPE=16	BEHAVIOR.n_ID=282	KEY_JOIN	EQUIP_VALUE.n_ATTACK_SKILL=282	Equipment type 16 maps n_ATTACK_SKILL to behavior 282, whose exact s_ANIMATION is _C_ATTACK_000;17.	f0b865eff17f248005bd758cdf56c769e306fe2de1fac0a58b4cc4206ab7dea4	PROVEN_EXACT	PROVEN_EXACT	PF_ROOT://pf_bridge/gamedata/tables/CONSTDATA_TH__EQUIP_VALUE.tsv	42512c3badbd0047f4fea790d82ca21f827d30fe491aa05375b3271b5b41a861	ACTION_EQUIPMENT_BINDING:parsed TSV row	N/A	N/A	0x0000025B	0x000002C7	e5460e299bb2340ccb447bed29051f9d459d667bf7b414b286397a21d424600b	PF_ROOT://pf_bridge/gamedata/tables/CONSTDATA_TH__BEHAVIOR.tsv@file_off=0x00004DD2..0x00004E5F@line_sha256=8a08e23ac3eb95cf1eed75ca4634edfdd7c681b362d4b16d71085ed793034d8f@file_sha256=79ee11e480db92db0da8e9d08a0911badeef8d2942cc1c072cdb0e9a6562bf4e	5ae878892593c910d71ca03106ecf4cb5eff1aee3782e013321eb1ff82572c3e	UNIQUE_EVIDENCE	CL-DATA-004	DATA	The DATA join does not prove which equipment is active at runtime or who repeats attacks.	NONE_FOR_BOUNDED_CLIENT_CLAIM	Runtime equipment identity plus original ActionVital traffic for selection policy.	N/A
CL-DATA-005	9fab87e4f3865e0d54c50fdf710983fb8b1f66535e7af68fb2622744e4852820	DATA_JOIN	ACTION_EQUIPMENT_BINDING	EQUIP_VALUE.n_EQUIPTYPE=32	BEHAVIOR.n_ID=290	KEY_JOIN	EQUIP_VALUE.n_ATTACK_SKILL=290	Equipment type 32 maps n_ATTACK_SKILL to behavior 290, whose exact s_ANIMATION is _C_ATTACK_000;24.	1b5770c5843e9d11543034774316ba8197543189b44cf0d63b899ecbf26e5217	PROVEN_EXACT	PROVEN_EXACT	PF_ROOT://pf_bridge/gamedata/tables/CONSTDATA_TH__EQUIP_VALUE.tsv	42512c3badbd0047f4fea790d82ca21f827d30fe491aa05375b3271b5b41a861	ACTION_EQUIPMENT_BINDING:parsed TSV row	N/A	N/A	0x000002C7	0x00000339	a744695efd850cb27d889a36e1ca0eaddcedc99288481b4030688174bfbd4213	PF_ROOT://pf_bridge/gamedata/tables/CONSTDATA_TH__BEHAVIOR.tsv@file_off=0x00005238..0x000052C5@line_sha256=715330fa4244b331de96643b07853b1db1670483c69be6d52b4a2f96b84e59ce@file_sha256=79ee11e480db92db0da8e9d08a0911badeef8d2942cc1c072cdb0e9a6562bf4e	03509ad07e82c00f283f3a8fa238f930c470e756a79f12655cad53cc7c3c9e48	UNIQUE_EVIDENCE	CL-DATA-005	DATA	The DATA join does not prove which equipment is active at runtime or who repeats attacks.	NONE_FOR_BOUNDED_CLIENT_CLAIM	Runtime equipment identity plus original ActionVital traffic for selection policy.	N/A
CL-DATA-006	0dd449227b1a53eaf5b09cec86cc35c5367feab37495046ed785dda755eb4386	DATA_JOIN	ACTION_EQUIPMENT_BINDING	EQUIP_VALUE.n_EQUIPTYPE=64	BEHAVIOR.n_ID=286	KEY_JOIN	EQUIP_VALUE.n_ATTACK_SKILL=286	Equipment type 64 maps n_ATTACK_SKILL to behavior 286, whose exact s_ANIMATION is _C_ATTACK_018;28.	fd1c797fd503d9e93ff09538551f439b642caf6e806bd3897bf61d58f62f69c4	PROVEN_EXACT	PROVEN_EXACT	PF_ROOT://pf_bridge/gamedata/tables/CONSTDATA_TH__EQUIP_VALUE.tsv	42512c3badbd0047f4fea790d82ca21f827d30fe491aa05375b3271b5b41a861	ACTION_EQUIPMENT_BINDING:parsed TSV row	N/A	N/A	0x00000339	0x000003A5	44eff98bef064f3c2233f341f9889337383b68b8cc8c41517ac41e9f3d5efa9b	PF_ROOT://pf_bridge/gamedata/tables/CONSTDATA_TH__BEHAVIOR.tsv@file_off=0x00005036..0x000050BA@line_sha256=f20906a275e39ddf99d4fbed7df30c8cb08c2dcf642b19d1e8cb702899578c82@file_sha256=79ee11e480db92db0da8e9d08a0911badeef8d2942cc1c072cdb0e9a6562bf4e	8656089ac8519b8e1edb7e6f9165a4bd147c771a713207b420ae20d1ed40d3c5	UNIQUE_EVIDENCE	CL-DATA-006	DATA	The DATA join does not prove which equipment is active at runtime or who repeats attacks.	NONE_FOR_BOUNDED_CLIENT_CLAIM	Runtime equipment identity plus original ActionVital traffic for selection policy.	N/A
CL-DATA-007	80d9d6ee8077a77d114adc14756c077a2b6c9818a7652907a63e654f2c68af68	DATA_ABSENCE	ACTION_BEHAVIOR_LOOKUP	behavior id 60029	BEHAVIOR table	ABSENT_FROM_PINNED_TABLE	complete parsed n_ID census	BEHAVIOR contains 2,279 parsed rows and no n_ID 60029 (0xEA7D).	d79874c8be6afb3d69b8106b14c7ae0b9a942cb6f993acd1daff33fab0db4efb	PROVEN_EXACT	NOT_APPLICABLE	PF_ROOT://pf_bridge/gamedata/tables/CONSTDATA_TH__BEHAVIOR.tsv	79ee11e480db92db0da8e9d08a0911badeef8d2942cc1c072cdb0e9a6562bf4e	ACTION_BEHAVIOR_LOOKUP:parsed TSV row	N/A	N/A	0x00000000	0x0005970B	79ee11e480db92db0da8e9d08a0911badeef8d2942cc1c072cdb0e9a6562bf4e		867b110c3ec4457e05d15538a1532400759e634c9e3a22fa4ce2940ac1d9f22d	UNIQUE_EVIDENCE	CL-DATA-007	DATA	Absence does not name what 60029 means in another protocol field.	NONE_FOR_BOUNDED_CLIENT_CLAIM	A distinct same-build table or IMAGE producer/consumer binding if 60029 is to be assigned behavior semantics.	N/A
CL-DATA-008	66fac3c4a4a5933112171755a85d92a4073eb69321d016610b1ad18d1f2796cb	DATA_NEGATIVE	ACTION_CADENCE	six normal attack behaviors	n_MOB_CD=0	DOES_NOT_PROVE_CADENCE	all six mapped behavior rows	The six mapped normal-attack BEHAVIOR rows all have n_MOB_CD=0; zero does not establish client repeat cadence or original-server attack interval.	53eb2e40f4c8146ba9dad35e45cb157fb34f2e93e467cdc2b29dfa990c0a783a	PROVEN_ROLE_ONLY	UNKNOWN	PF_ROOT://pf_bridge/gamedata/tables/CONSTDATA_TH__BEHAVIOR.tsv	79ee11e480db92db0da8e9d08a0911badeef8d2942cc1c072cdb0e9a6562bf4e	ACTION_CADENCE:parsed TSV row	N/A	N/A	0x00000000	0x0005970B	79ee11e480db92db0da8e9d08a0911badeef8d2942cc1c072cdb0e9a6562bf4e	PF_ROOT://pf_bridge/gamedata/tables/CONSTDATA_TH__BEHAVIOR.tsv@file_off=0x00004C5C..0x00004D17@line_sha256=0b0ae76a9bd238f9a28ad87cfeca057279eafebb1878ebcc7c639dd092efe500@file_sha256=79ee11e480db92db0da8e9d08a0911badeef8d2942cc1c072cdb0e9a6562bf4e;PF_ROOT://pf_bridge/gamedata/tables/CONSTDATA_TH__BEHAVIOR.tsv@file_off=0x00004EEC..0x00004F91@line_sha256=68994d5de13083396e209d63071980f7cac3139a0053bed0fa5b590eb4701c4b@file_sha256=79ee11e480db92db0da8e9d08a0911badeef8d2942cc1c072cdb0e9a6562bf4e;PF_ROOT://pf_bridge/gamedata/tables/CONSTDATA_TH__BEHAVIOR.tsv@file_off=0x0000513E..0x000051BB@line_sha256=53b0bb2d9822dad74d0350978360162f4c808d9446713e9d3cdbc0c0fe20a4c3@file_sha256=79ee11e480db92db0da8e9d08a0911badeef8d2942cc1c072cdb0e9a6562bf4e;PF_ROOT://pf_bridge/gamedata/tables/CONSTDATA_TH__BEHAVIOR.tsv@file_off=0x00004DD2..0x00004E5F@line_sha256=8a08e23ac3eb95cf1eed75ca4634edfdd7c681b362d4b16d71085ed793034d8f@file_sha256=79ee11e480db92db0da8e9d08a0911badeef8d2942cc1c072cdb0e9a6562bf4e;PF_ROOT://pf_bridge/gamedata/tables/CONSTDATA_TH__BEHAVIOR.tsv@file_off=0x00005238..0x000052C5@line_sha256=715330fa4244b331de96643b07853b1db1670483c69be6d52b4a2f96b84e59ce@file_sha256=79ee11e480db92db0da8e9d08a0911badeef8d2942cc1c072cdb0e9a6562bf4e;PF_ROOT://pf_bridge/gamedata/tables/CONSTDATA_TH__BEHAVIOR.tsv@file_off=0x00005036..0x000050BA@line_sha256=f20906a275e39ddf99d4fbed7df30c8cb08c2dcf642b19d1e8cb702899578c82@file_sha256=79ee11e480db92db0da8e9d08a0911badeef8d2942cc1c072cdb0e9a6562bf4e	16aa8c067b23467eeb2f3fd57c6ae155e0aecd39c8b4445ddbb19e4dc2e7ecfe	UNIQUE_EVIDENCE	CL-DATA-008	DATA	No timing or policy is inferred from zero.	Cadence is absent from the mapped DATA rows.	Eligible original combat sequence with timestamps or a complete scheduler proof.	N/A
CL-IMG-001	d711d5bd371f3b863dae49d32824aa067bcf6c1a12c3d350acbe15fb0b45c0e0	REGISTRY	ACTION_INPUT	ActionVital registration	inbound handler	REGISTRY_TO_HANDLER	registered class ActionVital	The 519-entry registry has one ActionVital thunk at 0x00C0C120; vtable 0x00F489EC binds serializer 0x0074E6A0 and handler 0x007516C0.	f0651ba1823dc1e377dc10b4a16b209ce8f2f3f0b3ed623f31db53c919f960fd	PROVEN_EXACT	PROVEN_EXACT	PF_ROOT://GameClient/GameClient.local.bin	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	ACTION_INPUT:action_registry	0x00C0C120	0x00C0C138	0x0080B520	0x0080B538	b5799ad356f508ed6825610889ab447bb6455159082f1dbaeac002c3515361e4	0x00F489EC..0x00F48A10@file_off=0x00B46DEC..0x00B46E10@sha256=5cd95a096e8d0ded53ae75ca914d43ba6223b6b88cff4bd2eba962320a3c5ab3;0x007516C0..0x007519EE@file_off=0x00350AC0..0x00350DEE@sha256=489bf8110dd35163936e81e6fafc9cd01ae8f76fb24da8af61466199ce96caae	4b3bbdbff2e3c0b16adebe13f473d88bdd391048a7e7cccff67eba469d4c09b9	UNIQUE_EVIDENCE	CL-IMG-001	IMAGE	Registration does not identify original-server policy or cadence.	NONE_FOR_BOUNDED_CLIENT_CLAIM	NONE_FOR_BOUNDED_CLIENT_CLAIM	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
CL-IMG-002	e56e8288813de96b5d6aaf9ff60b6e6c0fb97f74be065e67a10df6619930847a	TRANSITION	ACTION_SELECT	ActionVital +0x30	CActorTask_UseBehavior	DIRECT_CALL_CHAIN	handler accepts a valid behavior selector	The inbound handler reads u32 +0x30, feeds it to behavior lookup 0x00702A10, then constructs CActorTask_UseBehavior through 0x0047AB30.	74a9011f623a535aac38b75680040ce68dab95e30826340ad971f073e3282a2e	PROVEN_EXACT	PROVEN_EXACT	PF_ROOT://GameClient/GameClient.local.bin	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	ACTION_SELECT:action_handler	0x007516C0	0x007519EE	0x00350AC0	0x00350DEE	489bf8110dd35163936e81e6fafc9cd01ae8f76fb24da8af61466199ce96caae		c3c1047e6e11df02a6b9bb0901cea089b1199f3ddd27dcb67229356fe846ea61	UNIQUE_EVIDENCE	CL-IMG-002	IMAGE	The exact equipped weapon, chosen behavior, and server selection rule are not proved.	NONE_FOR_BOUNDED_CLIENT_CLAIM	Original traffic or equivalent same-build producer evidence tying equipment state to the received behavior ID.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
