n_ID	s_TEXT	s_TEXT_LOADING
1	ถูก $V1 ฆ่า $V2 ครั้ง	ถูก $V1 ฆ่า $V2 ครั้ง
2	การตายในสัปดาห์นี้ $V2 ครั้ง	การตายในสัปดาห์นี้ $V2 ครั้ง
3	ใช้เวลา $V2 นาทีร่วมกับทีมทำ $V1 สำเร็จ ได้รับคะแนน $V3	ใช้เวลา $V2 นาทีร่วมกับทีมทำ $V1 สำเร็จ ได้รับคะแนน $V3
4	สัปดาห์นี้ใช้แต้มร้านค้า $V2 แต้ม	สัปดาห์นี้ใช้แต้มร้านค้า $V2 แต้ม
5	ได้รับความสำเร็จ $V1 	ใน $V4 ได้รับความสำเร็จ $V1 
6	ในสัปดาห์นี้สามารถโค่นล้มกิลด์ Heckart ได้ $V2 ครั้ง	ในสัปดาห์นี้สามารถโค่นล้มกิลด์ Heckart ได้ $V2 ครั้ง
7	ในสัปดาห์นี้มี $V2 ครั้งที่ได้อยู่ในอันดับ 1-10 ของ $V1 	ในสัปดาห์นี้มี $V2 ครั้งที่ได้อยู่ในอันดับ 1-10 ของ $V1 
8	ในสัปดาห์นี้ได้ทำการช่วยเหลือเพื่อน $V2 ครั้ง	ในสัปดาห์นี้ได้ทำการช่วยเหลือเพื่อน $V2 ครั้ง
9	ในสัปดาห์นี้กิน Red Potion $V2 แต้ม	ในสัปดาห์นี้กิน Red Potion $V2 แต้ม
10	ตั้งแต่สร้างกิลด์มาได้รับชัยชนะใน Guild War $V2 ครั้ง	ตั้งแต่สร้างกิลด์มาได้รับชัยชนะใน Guild War $V2 ครั้ง
11	ตั้งแต่สร้างกิลด์มาพ่ายแพ้ใน Guild War $V2 ครั้ง	ตั้งแต่สร้างกิลด์มาพ่ายแพ้ใน Guild War $V2 ครั้ง
12	ในสัปดาห์นี้ฆ่าผู้เล่นไป $V2 คน	ในสัปดาห์นี้ฆ่าผู้เล่นไป $V2 คน
13	ในสัปดาห์นี้โดนผู้เล่น $V2 คนฆ่า	ในสัปดาห์นี้โดนผู้เล่น $V2 คนฆ่า
14	ในสัปดาห์นี้ช่วยเพื่อนทำภารกิจขอพร $V2 ครั้ง	ในสัปดาห์นี้ช่วยเพื่อนทำภารกิจขอพร $V2 ครั้ง
15	ในสัปดาห์นี้มีคนช่วยให้ท่านสมปรารถนา $V2 ครั้ง	ในสัปดาห์นี้มีคนช่วยให้ท่านสมปรารถนา $V2 ครั้ง
16	ในสัปดาห์นี้ได้เงินในเกม $V2 เหรียญ	ในสัปดาห์นี้ได้เงินในเกม $V2 เหรียญ
17	ในสัปดาห์นี้เจอขวด $V2 ครั้ง	ในสัปดาห์นี้เจอขวด $V2 ครั้ง
18	ได้รับสมบัติ $V1 	ใน $V4 ได้รับสมบัติ $V1 
19	ในสัปดาห์นี้ได้รับ Poseidon Gold $V2 แท่ง	ในสัปดาห์นี้ได้รับ Poseidon Gold $V2 แท่ง
20	ได้รับเครื่องสวมใส่แฟชั่น $V1 มีแสงเปล่งปลั่ง	ได้รับเครื่องสวมใส่แฟชั่น $V1 มีแสงเปล่งปลั่ง
