delta_key	base_row_ref	base_message	base_direction	base_order	base_tag	base_field_offset	base_file_off_claim	delta_action	effective_direction	effective_kind	semantic_role	semantic_status	target_identity	callsite_va	file_offset	span_start	span_end	span_sha256	evidence_key	source	blocker	required_next_evidence	image_sha256
9e3aa0398b646fdd0939015772ac5990479ad17615735dd9902e3277c84b58bd	PF_SERIALIZER_FIELDS.tsv|UpdateAttrVital|R|2|0x0006323C	UpdateAttrVital	R	2	PE_IMPORT_INVALID_PARAMETER_NOINFO_SINGLETON_REGISTER_CALL	UNKNOWN(invalid_parameter_singleton_register_call_wire_effect_unproved)	0x0006323C	REMOVE_WRONG_DIRECTION	W	DIRECTION_CORRECTION	W-only invalid_parameter guard	PROVEN_EXACT	none	0x00463E3C	0x0006323C	0x00463DE0	0x00463FA2	888c2fac20948b7896ed105f46b84e94d01c9442f6535df9be36e6baa2335fc3	b916240412a66313581a18d264419a38e41583e73847aac0aba7d52825e7214c	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
060922f352b62d486a44226316028b51331235932f53130f8b80ce728c5e942c	PF_SERIALIZER_FIELDS.tsv|UpdateAttrVital|R|3|0x00063258	UpdateAttrVital	R	3	PE_IMPORT_INVALID_PARAMETER_NOINFO_MULTI_REGISTER_CALL	UNKNOWN(invalid_parameter_multi_register_call_wire_effect_unproved)	0x00063258	REMOVE_WRONG_DIRECTION	W	DIRECTION_CORRECTION	W-only invalid_parameter guard	PROVEN_EXACT	none	0x00463E58	0x00063258	0x00463DE0	0x00463FA2	888c2fac20948b7896ed105f46b84e94d01c9442f6535df9be36e6baa2335fc3	02f9d564257f18eea828e21edbe3179bbf37b6328f71ca34e042941f4a151a9f	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
d2786399829bbee23a9162574b9c81b130df9b57c68962c32a91ac1fb4866aea	PF_SERIALIZER_FIELDS.tsv|UpdateAttrVital|R|4|0x00063261	UpdateAttrVital	R	4	PE_IMPORT_INVALID_PARAMETER_NOINFO_MULTI_REGISTER_CALL	UNKNOWN(invalid_parameter_multi_register_call_wire_effect_unproved)	0x00063261	REMOVE_WRONG_DIRECTION	W	DIRECTION_CORRECTION	W-only invalid_parameter guard	PROVEN_EXACT	none	0x00463E61	0x00063261	0x00463DE0	0x00463FA2	888c2fac20948b7896ed105f46b84e94d01c9442f6535df9be36e6baa2335fc3	15d0148f42313f500e5695a114324a1acc25388df8927635d94b15ac027e3f0c	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
f1e96a4063946fb60fb42eb2f59ee5ad7c4dab535203f040fa2fc500808c6049	PF_SERIALIZER_FIELDS.tsv|UpdateAttrVital|R|5|0x00063298	UpdateAttrVital	R	5	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	UNKNOWN(invalid_parameter_import_call_wire_effect_unproved)	0x00063298	REMOVE_WRONG_DIRECTION	W	DIRECTION_CORRECTION	W-only invalid_parameter guard	PROVEN_EXACT	none	0x00463E98	0x00063298	0x00463DE0	0x00463FA2	888c2fac20948b7896ed105f46b84e94d01c9442f6535df9be36e6baa2335fc3	13f2f718b5d77954ae969a996b57d8fb94483c646c07ed005a36dd6d1110ef48	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
387393a39facb7108b35b39209c41e2a8523c7683c6c1ab6a62a9e896ac33c12	PF_SERIALIZER_FIELDS.tsv|UpdateAttrVital|R|6|0x000632A3	UpdateAttrVital	R	6	PE_IMPORT_INVALID_PARAMETER_NOINFO_CALL	UNKNOWN(invalid_parameter_import_call_wire_effect_unproved)	0x000632A3	REMOVE_WRONG_DIRECTION	W	DIRECTION_CORRECTION	W-only invalid_parameter guard	PROVEN_EXACT	none	0x00463EA3	0x000632A3	0x00463DE0	0x00463FA2	888c2fac20948b7896ed105f46b84e94d01c9442f6535df9be36e6baa2335fc3	c0ce8998f3210b157598822fa128160492bb13aa3d65e4946f51ebc3e553e392	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
3882c34b49a379ca0cbf61c0cdc904ac6b3fe56a1a82589f213d35454ede999d	PF_SERIALIZER_FIELDS.tsv|UpdateAttrVital|R|7|0x000632B7	UpdateAttrVital	R	7	CALL_UNCLASSIFIED:INDIRECT(DEREF(DEREF(DEREF(PHI(DEREF(DEREF(OBJ+0x28))|DEREF(STACK+0x20))+0x10))+0x34))	UNKNOWN(indirect_call_not_proven_serializer_slot)	0x000632B7	REMOVE_WRONG_DIRECTION	W	DIRECTION_CORRECTION	W-only nested Attr serializer dispatch	PROVEN_EXACT	node+0x10 vtable+0x34	0x00463EB7	0x000632B7	0x00463DE0	0x00463FA2	888c2fac20948b7896ed105f46b84e94d01c9442f6535df9be36e6baa2335fc3	bc8a4ae6bd0b0f44a5b52e0b7adcf0706f3afc8b9c9197e8665b38ff42b4e145	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
3480699de8ba762fd95c981353ed62c2570b2fbc9b137d2d2a7bf2ca00f883d6	PF_SERIALIZER_FIELDS.tsv|UpdateAttrVital|R|8|0x000632D5	UpdateAttrVital	R	8	CALL_UNCLASSIFIED:0x0089A460	UNKNOWN(direct_call_not_proven_serializer)	0x000632D5	REMOVE_WRONG_DIRECTION	W	DIRECTION_CORRECTION	W-only stream backpatch	PROVEN_EXACT	0x0089A460	0x00463ED5	0x000632D5	0x00463DE0	0x00463FA2	888c2fac20948b7896ed105f46b84e94d01c9442f6535df9be36e6baa2335fc3	a2470ccba83526b274f2d6a5154bb82221f699c74a83645c403386a015aca27c	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
233fb6c1ea77f0078f3beded096448db0eb2819999e97b920683f2aad896abf9	PF_SERIALIZER_FIELDS.tsv|UpdateAttrVital|R|9|0x000632DE	UpdateAttrVital	R	9	MUTATING_CHAIN_PLUS_04_HELPER	UNKNOWN(mutable_chain_target_object_alias_unproved)	0x000632DE	REMOVE_WRONG_DIRECTION	W	DIRECTION_CORRECTION	W-only iterator advance	PROVEN_EXACT	0x00B0BF70	0x00463EDE	0x000632DE	0x00463DE0	0x00463FA2	888c2fac20948b7896ed105f46b84e94d01c9442f6535df9be36e6baa2335fc3	ddb2451f8dceb345b77f043ac348dc7007913e04fc0a730697954469531f8e52	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
0753b803ad7397d7dca26a400a07d5dff11c06a0e8b63d8291b0b9846e7e51bd	PF_SERIALIZER_FIELDS.tsv|UpdateAttrVital|R|13|0x00063355	UpdateAttrVital	R	13	CALL_UNCLASSIFIED:0x00463CF0	UNKNOWN(direct_call_not_proven_serializer)	0x00063355	RECLASSIFY	R	FACTORY_ACCESS	access lazy Attr type-factory singleton	NOT_WIRE	0x00463CF0	0x00463F55	0x00063355	0x00463DE0	0x00463FA2	888c2fac20948b7896ed105f46b84e94d01c9442f6535df9be36e6baa2335fc3	c8e4b9231ff194b67838911e8da3c8b8da45609b930e03f7756b620b5fe5431a	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
a4fdf2cc8829177b14d75a5613ac14841a9a7a68e0c3016d989ee035b85295ea	PF_SERIALIZER_FIELDS.tsv|UpdateAttrVital|R|14|0x0006335C	UpdateAttrVital	R	14	CALL_UNCLASSIFIED:0x005E2E00	UNKNOWN(direct_call_not_proven_serializer)	0x0006335C	RECLASSIFY	R	FACTORY_CREATE	lookup type ID and create Attr instance via creator slot +0x14	NOT_WIRE	0x005E2E00	0x00463F5C	0x0006335C	0x00463DE0	0x00463FA2	888c2fac20948b7896ed105f46b84e94d01c9442f6535df9be36e6baa2335fc3	4c710d2e33d5253299483eea48738186aafd5b11bdcdabe428f316286cf126d0	IMAGE			9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
