gate_key	row_kind	owner_type	applies_to_class	input_field	runtime_field	condition	output	semantic_status	producer_va	consumer_va	span_start_va	span_end_va	file_off_start	file_off_end	span_sha256	support_spans	canonical_selector_keys	current_server_emit_status	source	source_file	source_locator	source_sha256	nonclaim	blocker	required_next_evidence	evidence_key
MCG-IMG-001	TYPE_IDENTITY	CNetNPC	CNetNPC	RTTI_descriptor_0x0101B138		decorated_RTTI_name_is_exact	class=CNetNPC	PROVEN_EXACT			0x0101B138	0x0101B158	0x00C18938	0x00C18958	5a3e0eda74f052b92a3e6852628d533170e9b7cd68b4b4741ea217232871332a			NOT_APPLICABLE	IMAGE	PF_ROOT://GameClient/GameClient.local.bin		9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	[MEASURED]			20089b021c445abb0d2fd919cf7ff93fc70932b1c9a86d75626392d6fba1c939
MCG-IMG-002	TYPE_FACTORY	actor_type_factory	CNetNPC	actor_entry+0x10_u8=4	factory_branch_0x00446A3D	jump_table_index_actor_type_minus_2_equals_2	CNetNPC_type_node_0x0102D938_factory_call	PROVEN_EXACT	0x004469C8	0x00446A53	0x00446990	0x00446B2C	0x00045D90	0x00045F2C	5f68239f8661419da2ea9bea4e4a2cb9bcdcaa37fe6e4cd53b701116aeeb697d	CNetNPC_rtti=VA:0x0101B138..0x0101B158@file:0x00C18938..0x00C18958@sha256:5a3e0eda74f052b92a3e6852628d533170e9b7cd68b4b4741ea217232871332a;CNetNPC_type_node_ctor=VA:0x0040B9D0..0x0040BA55@file:0x0000ADD0..0x0000AE55@sha256:28e9ff89b3382dee547e683053b532aee70a4c4a43d2fda6ab4e04af2e9cfccf;CNetNPC_type_node_anchor=VA:0x00BCEEF0..0x00BCEF06@file:0x007CE2F0..0x007CE306@sha256:4ba953befb859cef1e863e3767bacd7def1df7e7120e621dc1fb70804855779b		NOT_APPLICABLE	IMAGE	PF_ROOT://GameClient/GameClient.local.bin		9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	[MEASURED] This proves actor type 4 builds CNetNPC; it does not name actor type 4 monster.			a3e6e6e530977785beb5b2dd962c3d8ee25b2a7fc990561e697efcf296cb41d5
MCG-IMG-003	VTABLE_BRIDGE	CNetNPC	CNetNPC	vtable_0x00F0DF58_slot_0x10	initializer_0x0045D200	dword_at_vtable_plus_0x10_equals_0x0045D200	typed_CNetNPC_initializer	PROVEN_EXACT	0x00F0DF68	0x0045D200	0x00F0DF58	0x00F0DF70	0x00B0C358	0x00B0C370	6ed88211dbd508b3f83528d8793cff034ca9785c60eb59b1dc7a37e5e7562864	CNetNPC_rtti=VA:0x0101B138..0x0101B158@file:0x00C18938..0x00C18958@sha256:5a3e0eda74f052b92a3e6852628d533170e9b7cd68b4b4741ea217232871332a		NOT_APPLICABLE	IMAGE	PF_ROOT://GameClient/GameClient.local.bin		9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	[MEASURED]			721ebcd2bcfe57aa9670843456be73fb28e782f8a563506078e3978ab00f8827
MCG-IMG-004	ACTOR_ENTRY_WIRE_WRITE	RuntimeResActorEntry_structural	GSCN_RunTimeProtocolRes.actor_entry	record+0x18..0x1F	wire_order=2;tag=0x32;len=8	serializer_WRITE_branch	one_complete_qword	PROVEN_EXACT	0x005E2232	0x0089A600	0x005E2232	0x005E2241	0x001E1632	0x001E1641	c5b029e73de2771155c1ed667e4e4146f3814c0c19e890ef67d56cccc3d6bd82	actor_entry_codec_prefix=VA:0x005E21D0..0x005E23B5@file:0x001E15D0..0x001E17B5@sha256:44efb796eb00d2fcc6b07783dd101d172b8a2a230f85c490611cc46aa3a8d067		SEE_MD_SEPARATE_PROJECT_CHECK_NOT_TSV_EVIDENCE	IMAGE	PF_ROOT://GameClient/GameClient.local.bin		9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	[MEASURED] The concrete C++ RTTI name of this structural record is not established.			ac67036254ec1d461ab230509f93a62fd5c758255581fd7905cfd9e308e644ca
MCG-IMG-005	ACTOR_ENTRY_WIRE_READ	RuntimeResActorEntry_structural	GSCN_RunTimeProtocolRes.actor_entry	wire_order=2;tag=0x32;len=8	record+0x18_low_dword;record+0x1C_high_dword	serializer_READ_branch	all_eight_bytes_populated	PROVEN_EXACT	0x0089A640	0x005E230C	0x005E2301	0x005E231B	0x001E1701	0x001E171B	141fb4a23a7a047b7c843b3f3a28f80e34317d589b78cc0123c0a8fc98105ba1	actor_entry_codec_prefix=VA:0x005E21D0..0x005E23B5@file:0x001E15D0..0x001E17B5@sha256:44efb796eb00d2fcc6b07783dd101d172b8a2a230f85c490611cc46aa3a8d067		SEE_MD_SEPARATE_PROJECT_CHECK_NOT_TSV_EVIDENCE	IMAGE	PF_ROOT://GameClient/GameClient.local.bin		9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	[MEASURED] This qword is the actor-entry identity, not the inherited BasicAttr identity.			423fbe182979e47cffebf3b6083081015e9e2c105daa0a0c702f7bdea5dd85b2
MCG-IMG-006	RUNTIMERES_DISPATCH	GSCN_RunTimeProtocolRes	actor_entry_collection	response+0x1C_object;+0x10_list_head	actor_reconcile_0x00446F30	derived_actor_collection_present	collection_list_passed_to_reconcile	PROVEN_EXACT	0x005E4073	0x005E4085	0x005E4060	0x005E41CD	0x001E3460	0x001E35CD	85ff71ffceff5345f94facc9b7fa1c39c8efd2e429248d112cdba578d3df944e	actor_entry_codec_prefix=VA:0x005E21D0..0x005E23B5@file:0x001E15D0..0x001E17B5@sha256:44efb796eb00d2fcc6b07783dd101d172b8a2a230f85c490611cc46aa3a8d067;actor_reconcile=VA:0x00446F30..0x004470E5@file:0x00046330..0x000464E5@sha256:c47bc46a06d6ffe95bee17b572f9ccb7e03442cdd27f04807c1161c03642d880		SEE_MD_SEPARATE_PROJECT_CHECK_NOT_TSV_EVIDENCE	IMAGE	PF_ROOT://GameClient/GameClient.local.bin		9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	[MEASURED]			ae80214f792b1bd074cb68d2edaf43756514a688bf8d15c185c4d837624bd440
MCG-IMG-007	ACTOR_ENTRY_IDENTITY_LOOKUP	actor_reconcile	RuntimeResActorEntry_structural	record+0x18_low;record+0x1C_high	actor_registry_lookup_arguments	list_node_payload_record_is_nonnull	same_qword_keys_lookup_and_spawn_decision	PROVEN_EXACT	0x00446F87	0x00446F91	0x00446F7D	0x00446FA8	0x0004637D	0x000463A8	035bbcee2d2b435afe3ad9b615740505b9b11d417afdda2f102ba6b7c6e6bc51	actor_reconcile=VA:0x00446F30..0x004470E5@file:0x00046330..0x000464E5@sha256:c47bc46a06d6ffe95bee17b572f9ccb7e03442cdd27f04807c1161c03642d880		SEE_MD_SEPARATE_PROJECT_CHECK_NOT_TSV_EVIDENCE	IMAGE	PF_ROOT://GameClient/GameClient.local.bin		9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	[MEASURED]			f14119f5b0c67a1606e66c93769f492eba86c2f9b5229afb7d0c65700640eb20
MCG-IMG-008	FACTORY_POINTER_FLOW	actor_factory	CNetNPC_when_actor_type_4	same_pointer_to_RuntimeResActorEntry	CNetNPC_vslot_0x10_argument	identity_lookup_miss_and_actor_type_4	same_record_pointer_reaches_initializer	PROVEN_EXACT	0x00446A92	0x00446AB5	0x00446A92	0x00446AB7	0x00045E92	0x00045EB7	91f895eb32baec3ded957be23738ce3005674057d331818161b6b74f17face3f	actor_factory=VA:0x00446990..0x00446B2C@file:0x00045D90..0x00045F2C@sha256:5f68239f8661419da2ea9bea4e4a2cb9bcdcaa37fe6e4cd53b701116aeeb697d;reconcile_identity_factory=VA:0x00446F7D..0x00446FA8@file:0x0004637D..0x000463A8@sha256:035bbcee2d2b435afe3ad9b615740505b9b11d417afdda2f102ba6b7c6e6bc51;CNetNPC_type_node_ctor=VA:0x0040B9D0..0x0040BA55@file:0x0000ADD0..0x0000AE55@sha256:28e9ff89b3382dee547e683053b532aee70a4c4a43d2fda6ab4e04af2e9cfccf		SEE_MD_SEPARATE_PROJECT_CHECK_NOT_TSV_EVIDENCE	IMAGE	PF_ROOT://GameClient/GameClient.local.bin		9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	[MEASURED]			7a1326495f339df48c50bc0d4e48e866c6bb736daef963bdc4dda3344c47b554
MCG-IMG-009	BRIDGE_COPY	RuntimeResActorEntry_structural	CNetNPC	actor_entry+0x18_low_dword	CNetNPC+0x78_low_dword	CNetNPC_vslot_0x10_receives_same_actor_entry_pointer	raw_dword_copy	PROVEN_EXACT	0x0045D23B	0x0045D241	0x0045D223	0x0045D24F	0x0005C623	0x0005C64F	5be4e2292962fb4a2fab2b948f27f29bdc6724227e8f36f041b0b47b58641952	factory_entry_to_init=VA:0x00446A92..0x00446AB7@file:0x00045E92..0x00045EB7@sha256:91f895eb32baec3ded957be23738ce3005674057d331818161b6b74f17face3f;actor_entry_qword_read=VA:0x005E2301..0x005E231B@file:0x001E1701..0x001E171B@sha256:141fb4a23a7a047b7c843b3f3a28f80e34317d589b78cc0123c0a8fc98105ba1;CNetNPC_vtable_prefix=VA:0x00F0DF58..0x00F0DF70@file:0x00B0C358..0x00B0C370@sha256:6ed88211dbd508b3f83528d8793cff034ca9785c60eb59b1dc7a37e5e7562864		SEE_MD_SEPARATE_PROJECT_CHECK_NOT_TSV_EVIDENCE	IMAGE	PF_ROOT://GameClient/GameClient.local.bin		9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	[MEASURED] This copy does not read BasicAttr or CreateActorDataEx.			00b328167de210d62b6dbfc6ed2847c63280fc937351078de8b0828333accde1
MCG-IMG-010	BRIDGE_COPY	RuntimeResActorEntry_structural	CNetNPC	actor_entry+0x1C_high_dword	CNetNPC+0x7C_high_dword	CNetNPC_vslot_0x10_receives_same_actor_entry_pointer	raw_dword_copy	PROVEN_EXACT	0x0045D23E	0x0045D244	0x0045D223	0x0045D24F	0x0005C623	0x0005C64F	5be4e2292962fb4a2fab2b948f27f29bdc6724227e8f36f041b0b47b58641952	factory_entry_to_init=VA:0x00446A92..0x00446AB7@file:0x00045E92..0x00045EB7@sha256:91f895eb32baec3ded957be23738ce3005674057d331818161b6b74f17face3f;actor_entry_qword_read=VA:0x005E2301..0x005E231B@file:0x001E1701..0x001E171B@sha256:141fb4a23a7a047b7c843b3f3a28f80e34317d589b78cc0123c0a8fc98105ba1;CNetNPC_vtable_prefix=VA:0x00F0DF58..0x00F0DF70@file:0x00B0C358..0x00B0C370@sha256:6ed88211dbd508b3f83528d8793cff034ca9785c60eb59b1dc7a37e5e7562864		SEE_MD_SEPARATE_PROJECT_CHECK_NOT_TSV_EVIDENCE	IMAGE	PF_ROOT://GameClient/GameClient.local.bin		9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	[MEASURED] This copy does not read BasicAttr or CreateActorDataEx.			7cfd6077ffaefa46afcfce4797d532a097f60520227dfc45160181ec876f6e52
MCG-IMG-011	SIGNED_IDENTITY_GATE	selector_receiver_structural	selector_receiver	actor+0x78_low;actor+0x7C_signed_high	positive_selector_lane	signed_high>0_OR_signed_high==0_AND_unsigned_low>0	positive	PROVEN_EXACT	0x00443FFB	0x00444017	0x00443FFB	0x00444017	0x000433FB	0x00043417	f74eb23ff300cc9632fda77748e493bcfe20da994003c99a3ce9506107e37c69	selector_full=VA:0x00443F50..0x004443C5@file:0x00043350..0x000437C5@sha256:ee845ee6ef6337ea41ae57a5a4df8af5a8a8ac00e458ea1ce3e587aff1f9cdf9		SEE_MD_SEPARATE_PROJECT_CHECK_NOT_TSV_EVIDENCE	IMAGE	PF_ROOT://GameClient/GameClient.local.bin		9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	[MEASURED] Positive identity selects a family of styles inside this selector; it does not guarantee style 56. This standalone gate row does not carry the receiver-class join; MCG-IMG-025..033 and MCG-IMG-039..045 carry that separate proof.			145f87a996515ea61b999b64f72ea9fcb0092175d591b999650c5b7f442ecf37
MCG-IMG-012	SIGNED_IDENTITY_GATE	selector_receiver_structural	selector_receiver	actor+0x78_low;actor+0x7C_signed_high	nonpositive_selector_lane	signed_high<0_OR_both_dwords_zero	nonpositive	PROVEN_EXACT	0x00443FFB	0x00444151	0x00443FFB	0x00444017	0x000433FB	0x00043417	f74eb23ff300cc9632fda77748e493bcfe20da994003c99a3ce9506107e37c69	selector_full=VA:0x00443F50..0x004443C5@file:0x00043350..0x000437C5@sha256:ee845ee6ef6337ea41ae57a5a4df8af5a8a8ac00e458ea1ce3e587aff1f9cdf9		SEE_MD_SEPARATE_PROJECT_CHECK_NOT_TSV_EVIDENCE	IMAGE	PF_ROOT://GameClient/GameClient.local.bin		9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	[MEASURED] This standalone row is only the exact selector-local signed gate; the exact conditional RuntimeRes same-instance call path is recorded separately.			b64e6e488715ea9af6dbd6850f779213280ac2aa8a3e432675a1bec15817f60e
MCG-IMG-013	SEPARATE_ATTR_IDENTITY	DBAttribute_inherited_by_BasicAttr	BasicAttr_or_derived_attr_object	attr+0x20_mask_bit_0x01	attr+0x18/+0x1C_qword;tag=0x32;len=8	base_attr_codec_mask_bit_set	attribute_local_identity_qword	PROVEN_EXACT	0x00467790	0x004677DD	0x00467790	0x004677E6	0x00066B90	0x00066BE6	f95dd971c9d227c509e5537eaacec944d7b502649ef0248d4581c16f25709119	basicattr_codec_prefix=VA:0x004656F0..0x00465716@file:0x00064AF0..0x00064B16@sha256:dcaae3e1105d712442c3018237158b591b86d36d103b7c1f6129103cb735f037		NOT_APPLICABLE	IMAGE	PF_ROOT://GameClient/GameClient.local.bin		9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	[MEASURED] The identical numeric value may be sent in both places, but this is a different object and wire subcodec from the actor-entry qword.			6d90ed52c6d2574ee6c54a8b6e69ed1a11f98f7376ac1007813cb7d64a2adfc3
MCG-IMG-014	SEPARATE_ATTR_CHAIN	BasicAttr	BasicAttr_and_derived_ActorAttr_or_NPCAttr	BasicAttr_serializer_receiver	DBAttribute_identity_subcodec_0x00467790	BasicAttr_serializer_entry	calls_distinct_attribute_identity_codec_before_BasicAttr_mask	PROVEN_EXACT	0x004656F0	0x004656FF	0x004656F0	0x00465716	0x00064AF0	0x00064B16	dcaae3e1105d712442c3018237158b591b86d36d103b7c1f6129103cb735f037	dbattribute_identity_codec=VA:0x00467790..0x004677E6@file:0x00066B90..0x00066BE6@sha256:f95dd971c9d227c509e5537eaacec944d7b502649ef0248d4581c16f25709119		NOT_APPLICABLE	IMAGE	PF_ROOT://GameClient/GameClient.local.bin		9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	[MEASURED] This row does not make BasicAttr identity the actor runtime identity.			08a64ec7d9e120669bc1ef893146621d3b6ff1e9161f62755ab1f9664a345a1b
MCG-IMG-015	NON_ALIAS_BOUNDARY	CNetNPC_initializer	CNetNPC	actor_entry_identity_vs_BasicAttr_identity	actor+0x78/+0x7C	initializer_copies_actor_entry_pair_before_attr_bind_call_0x005DF080	actor_entry_pair_is_stored_at_CNetNPC_plus_0x78_plus_0x7C	PROVEN_EXACT	0x0045D23B	0x0045D24A	0x0045D223	0x0045D24F	0x0005C623	0x0005C64F	5be4e2292962fb4a2fab2b948f27f29bdc6724227e8f36f041b0b47b58641952	actor_entry_qword_read=VA:0x005E2301..0x005E231B@file:0x001E1701..0x001E171B@sha256:141fb4a23a7a047b7c843b3f3a28f80e34317d589b78cc0123c0a8fc98105ba1;dbattribute_identity_codec=VA:0x00467790..0x004677E6@file:0x00066B90..0x00066BE6@sha256:f95dd971c9d227c509e5537eaacec944d7b502649ef0248d4581c16f25709119		NOT_APPLICABLE	IMAGE	PF_ROOT://GameClient/GameClient.local.bin		9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	[MEASURED] No equality or inequality between the two qword values is asserted.			fce1089400de8928183bf9fee2656affdb6619943793fa841768f1758b44dc1f
MCG-IMG-016	SEPARATE_RECORD_TYPE	CreateActorDataEx	CreateActorDataEx	RTTI_descriptor_0x0101F4E0		decorated_RTTI_name_is_exact	class=CreateActorDataEx	PROVEN_EXACT			0x0101F4E0	0x0101F500	0x00C1CCE0	0x00C1CD00	7534a38ab259b419c96ff58036d2fd904026ba15088184992c8f745002e6eddb			NOT_APPLICABLE	IMAGE	PF_ROOT://GameClient/GameClient.local.bin		9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	[MEASURED] CreateActorDataEx is not the RuntimeRes actor-entry record proved above.			463c0dedb08a9a6c6a73311c14e3c0010243a228013cd93854422a10011cfb27
MCG-IMG-017	SEPARATE_RECORD_DEFAULT	CreateActorDataEx	CreateActorDataEx	+0x18;+0x19;+0x1A;+0x1C		fresh_object_constructor	+0x18=0xFF;+0x19=0;+0x1A=0;+0x1C=0	PROVEN_EXACT	0x005DF1BC;0x005DF1C0;0x005DF1C3;0x005DF1C6		0x005DF130	0x005DF20B	0x001DE530	0x001DE60B	0839aee52f8fbc1df274a6a95941c809e10ea8a602495a0460851e460c5d4265			NOT_APPLICABLE	IMAGE	PF_ROOT://GameClient/GameClient.local.bin		9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	[MEASURED] The constructor does not establish CreateActorDataEx+0x1B.			b07485a8e4b81a0c0e36e2825faee81562cc6e71234177606649ae9321a96cec
MCG-IMG-018	SEPARATE_RECORD_WIRE_READ	CreateActorDataEx	CreateActorDataEx	wire_order=10;tag=0x0B;len=1	CreateActorDataEx+0x18	codec_READ_branch	field_populated	PROVEN_EXACT	0x0089A640	0x005E0081	0x005DFF60	0x005E01C6	0x001DF360	0x001DF5C6	de9de2a04f4ac3ec8e6c07550336eea2be18954143c5c0de1823a4a2171e3f8a			NOT_APPLICABLE	IMAGE	PF_ROOT://GameClient/GameClient.local.bin		9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	[MEASURED] This field is not an input to the proven RuntimeRes actor-entry-to-CNetNPC bridge.			258b7c6d27cb91379083a8026cb20f08439095e7e91e9f9c10fc661abd9b01e3
MCG-IMG-019	SEPARATE_RECORD_WIRE_READ	CreateActorDataEx	CreateActorDataEx	wire_order=12;tag=0x0B;len=1	CreateActorDataEx+0x19	codec_READ_branch	field_populated	PROVEN_EXACT	0x0089A640	0x005E009B	0x005DFF60	0x005E01C6	0x001DF360	0x001DF5C6	de9de2a04f4ac3ec8e6c07550336eea2be18954143c5c0de1823a4a2171e3f8a			NOT_APPLICABLE	IMAGE	PF_ROOT://GameClient/GameClient.local.bin		9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	[MEASURED] This field is not an input to the proven RuntimeRes actor-entry-to-CNetNPC bridge.			bbd93efc70c935892a79c9f000ea6c61a610e6ec3a1f68687218017ca08f3491
MCG-IMG-020	SEPARATE_RECORD_WIRE_READ	CreateActorDataEx	CreateActorDataEx	wire_order=13;tag=0x0B;len=1	CreateActorDataEx+0x1A	codec_READ_branch	field_populated	PROVEN_EXACT	0x0089A640	0x005E00AA	0x005DFF60	0x005E01C6	0x001DF360	0x001DF5C6	de9de2a04f4ac3ec8e6c07550336eea2be18954143c5c0de1823a4a2171e3f8a			NOT_APPLICABLE	IMAGE	PF_ROOT://GameClient/GameClient.local.bin		9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	[MEASURED] This field is not an input to the proven RuntimeRes actor-entry-to-CNetNPC bridge.			e5d9fa610c0b84afea82183eb760da31c3921a47214a20089a5ab1317d97d6f0
MCG-IMG-021	SEPARATE_RECORD_WIRE_READ	CreateActorDataEx	CreateActorDataEx	wire_order=14;tag=0x19;len=4	CreateActorDataEx+0x1C	codec_READ_branch	field_populated	PROVEN_EXACT	0x0089A640	0x005E00B9	0x005DFF60	0x005E01C6	0x001DF360	0x001DF5C6	de9de2a04f4ac3ec8e6c07550336eea2be18954143c5c0de1823a4a2171e3f8a			NOT_APPLICABLE	IMAGE	PF_ROOT://GameClient/GameClient.local.bin		9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	[MEASURED] This field is not an input to the proven RuntimeRes actor-entry-to-CNetNPC bridge.			5fe164d0dbc2b73cb6e2d51cc93552cbf5416d607ca9d401c7809eb4aea92491
MCG-IMG-022	SEPARATE_RECORD_PADDING_BLOCKER	CreateActorDataEx	CreateActorDataEx	+0x1B	low_dword_byte_3_if_someone_reinterprets_+0x18_as_dword	no_ctor_store_and_no_codec_field_in_complete_pinned_spans	UNESTABLISHED	PROVEN_BOUNDED_NEGATIVE	0x005DF130;0x005DFF60		0x005DFF60	0x005E01C6	0x001DF360	0x001DF5C6	de9de2a04f4ac3ec8e6c07550336eea2be18954143c5c0de1823a4a2171e3f8a	record_ctor=VA:0x005DF130..0x005DF20B@file:0x001DE530..0x001DE60B@sha256:0839aee52f8fbc1df274a6a95941c809e10ea8a602495a0460851e460c5d4265		NOT_APPLICABLE	IMAGE	PF_ROOT://GameClient/GameClient.local.bin		9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	[MEASURED] This blocker applies only to CreateActorDataEx reconstruction; RuntimeRes actor-entry READ writes all eight qword bytes including its own +0x1B.	CreateActorDataEx+0x1B is not established by its constructor or codec.	A complete CreateActorDataEx producer store or a separately proved zero-fill guarantee.	a3c02ad7e62c87894ec76c0934eca697f689c7d5f5776515ec82fb376acd3a0e
MCG-IMG-023	SEPARATE_RECORD_ALLOCATOR_BOUNDARY	CreateActorDataEx_allocation_path	CreateActorDataEx	malloc_and_placement_thunks	CreateActorDataEx+0x1B_initial_storage	malloc_import_or_placement_pointer_return	no_zero_fill_contract	PROVEN_BOUNDED_NEGATIVE	0x0088D020	0x0088D035	0x0088D020	0x0088D035	0x0048C420	0x0048C435	cb0cb67d4c1da3d3b8afd9938976ebbb1ba86c9c0725fe5a459cbe52798361fb	record_ctor=VA:0x005DF130..0x005DF20B@file:0x001DE530..0x001DE60B@sha256:0839aee52f8fbc1df274a6a95941c809e10ea8a602495a0460851e460c5d4265		NOT_APPLICABLE	IMAGE	PF_ROOT://GameClient/GameClient.local.bin		9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	[MEASURED] This is not proof that every observed byte is nonzero.	A zero value for CreateActorDataEx+0x1B cannot be assumed.	An exact zeroing caller or producer store for the relevant object.	8c6e7a50edc17e2967420076758053a2bb531abed094a04f22bfe2fd0b993234
