discriminator_id	discriminator_key	row_kind	role_field_key	axis	subject	input_or_condition	exact_observation	claim_sha256	measured_count	semantic_status	scope	evidence_file	evidence_file_sha256	evidence_locator	evidence_span_start	evidence_span_end	evidence_span_sha256	support_spans	evidence_key	evidence_reuse	derived_from_artifact	derived_from_row_key	derived_from_claim_digest	derived_claim_fragment	source	nonclaim	blocker	required_next_evidence	image_sha256
ACTOR_FACTORY_CLASS_DOMAIN	078cd8ab5804fab4aa572323283401bade1f895891c4f39c77d77dccd88ff009	IMAGE_PATH	ActorFactory.actor_type	runtime_class	actor_factory	actor_type switch case is one of 2,3,4,5,6	The audited dispatch contains recognized cases with targets 2->0x004469E1, 3->0x004469F7, 4->0x00446A3D, 5->0x00446A5A, and 6->0x00446A77.	48776f5a398f727720f945c049f36b6ac66fb8ac50ee798908b78537f02b69e4	recognized_actor_type_cases=5	PROVEN_EXACT	audited_factory_dispatch	PF_ROOT://GameClient/GameClient.local.bin	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	VA=0x00446990..0x00446B2C;file=0x00045D90..0x00045F2C	0x00446990	0x00446B2C	5f68239f8661419da2ea9bea4e4a2cb9bcdcaa37fe6e4cd53b701116aeeb697d	actor_factory_jump_table:0x00446B2C..0x00446B40:file=0x00045F2C..0x00045F40:sha256=b50c1d1db53d2b70a8ad258563750738639d5e9e3eef2fa5cfb4c5354632d606	432a98861250aa1b8174cf0c2fc92debf9ef98e83a67fa3415b7dcfed568089a	NEW_CLAIM	N/A	N/A	N/A	N/A	IMAGE	Each recognized case can still return null through state/allocation gates. No distinct actor_type case named monster is present in this bounded dispatch, but the case targets do not by themselves name runtime classes.	A runtime role may be composed after factory construction.	PROPOSED: Trace original role-producing state separately from actor_type.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
CNETNPC_TEMPLATE_ATTACHMENT	b8f1e6673c58eb4141b74f426f03b5dce63381756f5b53c7e133657b4b7ad1fb	IMAGE_PATH	CNetNPC.template_attachment	runtime_carrier	CNetNPC	CNetNPC initialization after actor factory handoff	CNetNPC stores NPCAttr at +0x358 and the parsed MOBS row pointer at +0x35C; template attachment is separate from actor_type.	f4e57a851afbcd9e6fd10dcb29934aec98961489891cf31282110cb1930a0995	attached_objects=2	PROVEN_EXACT	audited_CNetNPC_construction	PF_ROOT://GameClient/GameClient.local.bin	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	VA=0x0045BF40..0x0045C15D;file=0x0005B340..0x0005B55D	0x0045BF40	0x0045C15D	afb5662a3f1a81c98de8ed77d82262747b8563ce25be88d041c8dea89e52fb72	CNetNPC_ctor:0x0045CC00..0x0045CD09:file=0x0005C000..0x0005C109:sha256=2edd9c047892a820b410a2f346320db84e08453089bdde4e20d6098b0662a0cf;CNetNPC_cast:0x00469700..0x0046972E:file=0x00068B00..0x00068B2E:sha256=588d1e3bb61acd57c0109d5a9ca570d5b28a81e25d26fa64f0b0cfc5d5964488	0bd856e3e5aff505d80c05278ac385dab66be7c8afae3a4b4f513348cd5456d0	PARTIAL_CANONICAL_REUSE	PF_ATTR_FIELD_SEMANTICS.tsv	1ed5be39d4d0ae52c9d01fbafd9a29433f88a0b2e2033a24bd52b44eac87c919;938c4da20c8677c3d25982c89321fb14adb0a454d6b83de8efafdfa6d8e99a33	89ac500fc6163c6caf607e97a153b071af9f5e211908e84b004d7ac4e8f6fd59;eba5f4842e1e87d77b4de4239ede6f753ada1789ea01df26df312b8ea3170efb	typed_CNetNPC_NPCAttr+0x78_template_id_directional_rows_only	IMAGE	The CNetNPC carrier alone does not classify NPC, monster, or dummy.	No single post-attachment role field is proven.	PROPOSED: Continue with independent interaction, relation, AI, death, and loot axes.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
CNETNPC_INTERACTION_CHOOSE_NPC_GENERIC	f31914f59ad8f9c6b56cf8061308ff61715a60e83b6b1e463b8a73d459ca24e6	IMAGE_PATH	ChooseNPC.identity	interaction	CNetNPC	resolved actor passes exact CNetNPC cast and distance threshold	The actor identity is copied into ChooseNPC +0x18 and sent.	86173101641aaf549337c32264c7285c1fe469b20d9f4b57842941b510227562	serializer_fields=1	PROVEN_EXACT	audited_generic_interaction_path	PF_ROOT://GameClient/GameClient.local.bin	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	VA=0x00479E10..0x00479F9B;file=0x00079210..0x0007939B	0x00479E10	0x00479F9B	12ef2be2d469f1753ac7204f701a401d57fe2c6343b63fa32608f0e1e8d3261c	ChooseNPC_serializer:0x006C0180..0x006C01A3:file=0x002BF580..0x002BF5A3:sha256=c0910c6ea5ebd56e25c4d3c64c7bd97f939a01e97baef3f489057467ac943bce	0bebc744fed9e742d325455efd0288a015b26f374968b0845430c5d2e533f092	NEW_CLAIM	N/A	N/A	N/A	N/A	IMAGE	ChooseNPC is an interaction request; this path does not prove talk, service availability, or non-attackability.	Original-server response and service semantics are unavailable.	PROPOSED: Join an original response/handler or a separate exact service consumer.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
CNETNPC_INTERACTION_ACTION_GATE	339bcb6a9bba40abfd9002d2a932885c03324f35c2251afc9996989d06780068	IMAGE_PATH	NPCAttr+0x7A.flags	interaction_gate	CNetNPC	CNetNPC cast succeeds, relation predicate is true, and (NPCAttr +0x7A bit 1 is clear or bit 2 is set)	This condition continues at 0x6197D2; later state/distance gates still decide whether the ChooseNPC send at 0x619A73 occurs.	bcb17acf39008af97f104d92b1d6a39e421b22cfcadc26a370773960f608da85	flag_reads=2;blocking_combination=bit1_set_bit2_clear	PROVEN_ROLE_ONLY	audited_flagged_action_path	PF_ROOT://GameClient/GameClient.local.bin	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	VA=0x00619777..0x006197D2;file=0x00218B77..0x00218BD2	0x00619777	0x006197D2	5aa039fe2b8e8a6dce5c6c01e7abf03b9bc82f4507475bdfcd29a5b94b82ef45	nearby_ChooseNPC_send:0x00619A73..0x00619AAA:file=0x00218E73..0x00218EAA:sha256=dd413367403e95a7842d091012ea1dc29c5c49c7d903045ca89003d2d19f2be6	d9d1012a4b996401b1f14587604449f9081430ad7286b581d9ffcaf516327448	NEW_CLAIM	N/A	N/A	N/A	N/A	IMAGE	This does not name either bit talkable or service; bit1 set plus bit2 clear blocks only this route, while bit1 clear does not require bit2.	Bit producer and complete action family are not yet exhausted.	PROPOSED: Prove each NPCAttr +0x7A bit producer and downstream action separately.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
RELATION_FALSE_ENEMY_TARGET	430d65baff07e6e9cef1412c67849e60bb8adcf8a11346803bf326281ad63522	IMAGE_PATH	relation_predicate.result	audited_target_selection	selected_actor	audited relation predicate returns false	Two equivalent branches call the enemy setter, which stores the target identity in local actor +0xC8/+0xCC.	b6f7f71d87b6031d151ad7eeea93d8f7931e6615c36f48cc07edfa9198528c27	relation_callers=31;enemy_setter_callers=15;equivalent_branches=2	PROVEN_EXACT	audited_relation_to_target_slot	PF_ROOT://GameClient/GameClient.local.bin	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	VA=0x0051F392..0x0051F408;file=0x0011E792..0x0011E808	0x0051F392	0x0051F408	fe94bac38987434ba3a47b31c71d00591db7a246446841a859b3c56540363297	duplicate_relation_branch:0x00521384..0x005213FA:file=0x00120784..0x001207FA:sha256=dcb4c6fab0aa89aa0f387e2da9a32f7db8118d52ee0ff366a7e8fded0a7c6872;enemy_target_setter:0x0043E1D0..0x0043E279:file=0x0003D5D0..0x0003D679:sha256=420c25a873d3d1cc07a64aa4420a43cc56ff54992d75027126ba049c78a79101;relation_predicate:0x0043C380..0x0043C63C:file=0x0003B780..0x0003BA3C:sha256=1d99f8557252742914c4f7358853aac06f0b54603f78a4b4d073aaea2afcbd89	999e42753f0aaef474f037f7d3762d84463f0904a7d8795d819a5d506d48a40b	NEW_CLAIM	N/A	N/A	N/A	N/A	IMAGE	This result is limited to two audited target-selection branches; the 31 relation-predicate callers and 15 enemy-setter callers do not establish a universal target-admission law.	The relation predicate contains cases beyond the audited branches and the CNetNPC faction fallback.	PROPOSED: Resolve remaining relation cases without replacing them with one class bit.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
ENEMY_TARGET_EA7D_ACTIONVITAL	6d0da5a578860294e62701e2017f38c5b7751ab33178536e6159f659a29b365d	IMAGE_PATH	local_actor+0xC8/+0xCC	attack_command_path	generic_actor	enemy-target identity is present and generic state/range gates pass	The audited core reads the enemy-target slot and reaches the ActionVital producer through the EA7D path.	496d3cc02c5de4c3239f6bde7524caee009155f55001826e4f7982177a47dbbf	admission_callers=4;range_gate_callers=4;producer_callers=14	PROVEN_EXACT	audited_EA7D_command_path	PF_ROOT://GameClient/GameClient.local.bin	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	VA=0x0044E98A..0x0044EB4E;file=0x0004DD8A..0x0004DF4E	0x0044E98A	0x0044EB4E	addb1e0abae94951e90c63e07b945548c3ddfc9acfab1118265d2f0705b18011	generic_action_admission:0x0044E890..0x0044EBE3:file=0x0004DC90..0x0004DFE3:sha256=1cb6e892e04488254427437cacf65c384350288752ade6916c009c65def2ed89;state_range_gate:0x004758D0..0x00475B6C:file=0x00074CD0..0x00074F6C:sha256=184afb86c917355bd629ad180c0bee6d1f0f260831ebcbdc73b0418034c205e8;ActionVital_producer:0x0044D260..0x0044D5E4:file=0x0004C660..0x0004C9E4:sha256=aea7180992ab4f05cccdc39302a4b1b80ccd7c1406c9b46a9fd053db3e6c0d12	ef730ed8d1262792387d04419b5577138ea565f9869a5963f34404e1267df977	NEW_CLAIM	N/A	N/A	N/A	N/A	IMAGE	No access in this core has a proven CNetNPC, NPCAttr, or parsed-MOBS base for n_RANK, n_AI_COMBAT, n_OFFESIVE, n_CAPABILITY, or n_MOB_USAGE; matching numeric offsets on other bases are unrelated.	Later generic state/range checks can still reject a relation-false actor.	PROPOSED: Prove result/damage/death behavior separately; EA7D emission is not damage proof.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
TARGETVITAL_RELATION_KIND	fc9f28391fa352bc060ff3067aba4565e53055e1182a4662ba1828949d41022f	IMAGE_PATH	TargetVital+0x20	target_presentation	selected_actor	audited relation result is converted with setne then increment	TargetVital.kind equals (relation_result != 0) + 1: false maps to 1 and true maps to 2 in both producers.	f5bc4aa98d44bd92b432e67c793447677e8819d3270e8c80c14e38d8ac9282f9	producers=2	PROVEN_EXACT	audited_TargetVital_producers	PF_ROOT://GameClient/GameClient.local.bin	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	VA=0x0051FB78..0x0051FBDE;file=0x0011EF78..0x0011EFDE	0x0051FB78	0x0051FBDE	2866e16b2045cbf2a81cd481ad5e161da0d4d47c0e82ff1f7a7740476ff2a941	duplicate_TargetVital_producer:0x0052350A..0x00523570:file=0x0012290A..0x00122970:sha256=b9a6b510b1081c273dc4674b9af5a6cfbe4b1c02f987f9e4142979225d399b9d;TargetVital_serializer:0x0072A4D0..0x0072A523:file=0x003298D0..0x00329923:sha256=9ee90ef6a80547e1ba9ae0c48c5b58efb13a88e1373e52d1450d22e25f5e42ef	4cd0f3fbfa5ef9e7a44abcebdd78f3960df27f4edf40c741db0089cc26ef2048	NEW_CLAIM	N/A	N/A	N/A	N/A	IMAGE	Kinds 1 and 2 are relation-derived values, not NPC/monster class IDs.	Names of the complete relation domain are not proven.	PROPOSED: Retain numeric kinds and exact predicate behavior until producer semantics close.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
MOBS_RANK_BOSS_UI	27851d2609587010e95d805c5eda16decb6343ec622289144d71217379feb3ac	IMAGE_PATH	MOBS.runtime+0x18	boss_presentation	CNetNPC	any n_RANK bit 6 through 10 is set	The predicate selects boss target presentation; its two callers choose a boss texture or Main_Panel_Target_Boss instead of the enemy panel.	df9c937ec177e25db9466d0405f2b95bfd7402f713095bb21c20897ee83edb11	direct_callers=2;tested_bits=5	PROVEN_ROLE_ONLY	audited_boss_UI_consumers	PF_ROOT://GameClient/GameClient.local.bin	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	VA=0x0045C1D0..0x0045C211;file=0x0005B5D0..0x0005B611	0x0045C1D0	0x0045C211	8ddd4873ce32c2560e7bdf89446ed5d199b8854c61d00e299e8312ece1a5eea9	MOBS_rank_loader:0x004A3027..0x004A3047:file=0x000A2427..0x000A2447:sha256=e5fbf8b0b166db26e944f4461029bcfdeaa955a12e511dfb4d8f1b05d692b2b3;boss_charinfo_texture:0x0051EE5B..0x0051EED0:file=0x0011E25B..0x0011E2D0:sha256=d0c085d0cdbc7b73f0f1ed728c2e49f6b8ab9709775bd7afe798ae1c3d6a2600;boss_target_panel:0x0052142D..0x0052147C:file=0x0012082D..0x0012087C:sha256=371f3b1c102749853f710f0391edbf5c1600d7b40c76c96e1d86b4a14d68291d	347ae46e7f1ae6b05ce65b5a8790079a303ae166e433ca8c878be1292ca8f396	NEW_CLAIM	N/A	N/A	N/A	N/A	IMAGE	The tested bits prove boss UI only, not generic monster or attack admission.	Other n_RANK bits and non-UI consumers remain unclassified.	PROPOSED: Prove any gameplay consumer independently from the boss presentation path.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
AI_WANDER_OFFESIVE_NAMEBOARD	698990f6fc348d6f30e4b715a69b8d6df3c989176c9776cb1fa351accfd589e7	IMAGE_PATH	AI_WANDER.n_OFFESIVE	nameboard_presentation	CNetNPC	resolved AI_WANDER row has n_OFFESIVE nonzero	The predicate is one input selecting the CNetNPC nameboard style path.	fa1274e8a89a4726dc02061534f435cb42de468b54853217fbc1c5e88623e52b	direct_callers=1	PROVEN_ROLE_ONLY	audited_nameboard_consumer	PF_ROOT://GameClient/GameClient.local.bin	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	VA=0x0045C160..0x0045C1CB;file=0x0005B560..0x0005B5CB	0x0045C160	0x0045C1CB	df448a78deaee5e0aa2535bfbb3585ec098ff5f952cf2fc98f79e195d62a363e	nameboard_consumer:0x004441F0..0x00444280:file=0x000435F0..0x00043680:sha256=a99a143cd5e734de5ec54a1001bc94877ba61ff2ea5dadd05b196ef46836fa6e;MOBS_AI_loader:0x004A3198..0x004A31F8:file=0x000A2598..0x000A25F8:sha256=e89a1d98fd48d60fb33d2e40c1e8942cae827a976bf80840b87d866fc7966dae	d0edd785f8a2933424c3923f2f699f35fca65cf08573c6cbc00882b3225b4298	PARTIAL_CANONICAL_REUSE	PF_ATTR_NAME_COLOR_SELECTOR.tsv	31f051aa258b3bfef8aa9019f9807c11887121d3e13da4ed0889f7385ef9ffba	4540d80fd8c0a16f35fd7981ba19c903eead1b8cf5c5d5465f6738f7857becc6	typed_CNetNPC_n_OFFESIVE_nameboard_selector_only	IMAGE	n_OFFESIVE is not proven to mean monster, attackable, or n_AGGRO.	This is the sole direct caller but other style causes exist.	PROPOSED: Keep nameboard presentation independent from combat admission.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
MOBS_N_AI_COMBAT_LOADER_ONLY	fc8c9af7489a36f289edbfc51cecafc71087ee8239e847b17e7489224d424bc7	IMAGE_PATH	MOBS.runtime+0x48	AI_profile	MOBS runtime row	loader queries the unique n_AI_COMBAT literal	The unique named n_AI_COMBAT query stores the value at parsed MOBS runtime +0x48; there is no second named-literal query.	ea8e6e288d7eeaf32245780a6ebd3701ee0e849d5dabcd3c3717bd1def9f0690	literal_occurrences=1;literal_pointer_refs=1	LOADER_ONLY	whole_image_named_query_census	PF_ROOT://GameClient/GameClient.local.bin	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	VA=0x004A3198..0x004A31F8;file=0x000A2598..0x000A25F8	0x004A3198	0x004A31F8	e89a1d98fd48d60fb33d2e40c1e8942cae827a976bf80840b87d866fc7966dae	n_AI_COMBAT_literal:0x00F15174..0x00F1518C:file=0x00B13574..0x00B1358C:sha256=c1e4a150113301ca9cc905fd0d23ffc61506519dd907ca44c53a2b05f35151a4	79aaf702be5511c126d3e8d81cdcd142d10a98dc0be245bb62c98bdfd2eb8493	NEW_CLAIM	N/A	N/A	N/A	N/A	IMAGE	The named-query census does not exclude unnamed offset-based consumers anywhere.	No exact attack or role consumer is proven.	PROPOSED: Trace MOBS +0x48 consumers outside the audited action/presentation spans.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
