evidence_id	row_kind	lifecycle_stage	subject	semantic_status	exact_observation	value_or_layout	evidence_file	evidence_span_start	evidence_span_end	evidence_span_start_file_offset	evidence_span_end_file_offset	evidence_span_sha256	support_spans	evidence_key	claim_sha256	evidence_grade	measurement_label	method	control	source	source_size	source_sha256	reference_artifact	reference_sha256	reference_keys	nonclaim	blocker	required_next_evidence	image_sha256	pair_id
QML-IMG-001	NEW_IMAGE_EVIDENCE	OWNER_INITIAL_STATE	CNetNPC board pointer and selector-cache seed	PROVEN_EXACT	The CNetNPC constructor initializes owner slot +0x360 to null, retains that null after a defensive release path, and seeds byte +0x364 with 9 before the object is returned.	CNetNPC+0x360=QuestIconBoard_ref_or_null;CNetNPC+0x364=u8_selector_cache_seed_9	PF_ROOT://GameClient/GameClient.local.bin	0x0045CC46	0x0045CCBC	0x0005C046	0x0005C0BC	d4ab65efec8b1ce51300eb86891c0c63b5bc3fa4ef3d83ae2d135959616493cf		399949432a6e4cdcdc4a3bc09e0c8e0e1d964268cf6333995caeb535f3a5990a	1d5b3befb65e1aed0036cbc2e2371c00264ffa53a2bd2040807340c19e918827	A	MEASURED	STATIC_IMAGE_HASHED_SPAN_AND_TYPED_CONTROL_FLOW	PINNED_IMAGE_SHA256;EXACT_SPAN_SHA256;RAW_EXECUTABLE_SECTION_E8_CENSUS_WHERE_DECLARED	IMAGE	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	PF_ATTR_QUEST_MARK_SELECTOR.tsv	3218d619a400dfcab52416489dcf8e6b85e6cbfd5a8bbd14d6ccad39dbfb9bf0	all_10_selector_key_evidence_key_pairs@sha256=a1b636459217b7ff720be475e5dfb4a1d63b2e12816b4bd1c3a213fbc401cd48	This does not assign gameplay meaning to selector value 9 beyond its measured initial-cache role.	Runtime duration of the seed state is not measured.	Source-separated runtime trace of one CNetNPC construction and first selector refresh.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	455c1aaca750b729dc24f10d67e702dbda62884219f1d87c03621a1f66558992
QML-IMG-002	NEW_IMAGE_EVIDENCE	CREATION_POOL_ACQUIRE	0x34-byte QuestIconBoard pool acquisition	PROVEN_EXACT	The pool acquisition path removes an available entry or allocates 0x34 bytes, invokes 0x0045B9E0 on both construction branches, marks the returned pool object active at +0x04, and updates pool counters.	allocation_size=0x34;constructor=0x0045B9E0;pool_head=0x0102D960;active_byte=+0x04	PF_ROOT://GameClient/GameClient.local.bin	0x0045C740	0x0045C84B	0x0005BB40	0x0005BC4B	4fa5650c70976b02eaf327df857c7a002de2b1583c3905abf7f210112aadf8a9	direct_E8_ctor_hits=0x0045C7A4,0x0045C822	3771d366c4016f2426c4c7b89567bcec18af4ac0e7b5010c282e930a1d3d97df	4a266c46afa4cbbaca50ecee666fdcb2e67697a52dac39638aa775a572f2c4fd	A	MEASURED	STATIC_IMAGE_HASHED_SPAN_AND_TYPED_CONTROL_FLOW	PINNED_IMAGE_SHA256;EXACT_SPAN_SHA256;RAW_EXECUTABLE_SECTION_E8_CENSUS_WHERE_DECLARED	IMAGE	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623				This does not prove how many pool instances are alive at runtime.	Live pool occupancy is runtime-only.	DUMP-sourced instance census or client-observable allocation trace.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	455c1aaca750b729dc24f10d67e702dbda62884219f1d87c03621a1f66558992
QML-IMG-003	NEW_IMAGE_EVIDENCE	CREATION_CONSTRUCTOR	QuestIconBoard derived constructor	PROVEN_EXACT	The derived constructor invokes base constructor 0x005BADE0, installs vtable 0x00F0DEE4, and initializes derived retained member +0x30 to null.	vtable=0x00F0DEE4;derived_retained_member=+0x30=null;base_ctor=0x005BADE0	PF_ROOT://GameClient/GameClient.local.bin	0x0045B9E0	0x0045BA29	0x0005ADE0	0x0005AE29	14a7809766fbaa343ced9d11d7c3b3e24ad6133c64188094d43bb14d811c3703	base_ctor=0x005BADE0..0x005BAE19	7106bcaf57c90b1903a957cf97a621a62f8a9fdaa272907f3e3feca55f49f2cf	ef1fe36c22dd25ce4eff947c43b8604a46cf7e573257cc255a526ef1cf769044	A	MEASURED	STATIC_IMAGE_HASHED_SPAN_AND_TYPED_CONTROL_FLOW	PINNED_IMAGE_SHA256;EXACT_SPAN_SHA256;RAW_EXECUTABLE_SECTION_E8_CENSUS_WHERE_DECLARED	IMAGE	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623				The static constructor does not prove that model or scene resources load successfully.	Resource and scene outcomes are downstream.	Use the canonical resource resolver plus source-separated runtime evidence.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	455c1aaca750b729dc24f10d67e702dbda62884219f1d87c03621a1f66558992
QML-IMG-004	NEW_IMAGE_EVIDENCE	TYPE_AND_DISPATCH	QuestIconBoard vtable lifecycle slots	PROVEN_EXACT	The 11-entry vtable binds deleting destructor +0x04 to 0x0045C4A0, model-init +0x14 to 0x00607C00, submission +0x18 to 0x005BB170, update dispatch +0x1C to 0x005BAC80, flag setter +0x20 to 0x0045BA30, and dimension accessors +0x24/+0x28 to 0x0045BA40/0x0045BA80.	vtable_slots=11;+04=dtor;+14=model_init;+18=submission;+1C=update_dispatch;+20=flag_setter;+24/+28=dimensions	PF_ROOT://GameClient/GameClient.local.bin	0x00F0DEE4	0x00F0DF10	0x00B0C2E4	0x00B0C310	79a1fb8920895dc1003535e7de437efed33cd9b5fb60343087d28854e78628d6		6d61082f6736d77f225fe772dc4093ba115bdb933398b12137ad575244c3169a	b159669f36a2276e2b37779d9e0926983f408c0f89c1697c43bf48ac84f8e0ef	A	MEASURED	STATIC_IMAGE_HASHED_SPAN_AND_TYPED_CONTROL_FLOW	PINNED_IMAGE_SHA256;EXACT_SPAN_SHA256;RAW_EXECUTABLE_SECTION_E8_CENSUS_WHERE_DECLARED	IMAGE	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	PF_ATTR_QUEST_MARK_SELECTOR.tsv	3218d619a400dfcab52416489dcf8e6b85e6cbfd5a8bbd14d6ccad39dbfb9bf0	all_10_selector_key_evidence_key_pairs@sha256=a1b636459217b7ff720be475e5dfb4a1d63b2e12816b4bd1c3a213fbc401cd48	The project class label is a typed static label; this row does not claim RTTI recovery.	Final renderer semantics are beyond this vtable.	Client-observable render trace if pixel-level presentation is required.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	455c1aaca750b729dc24f10d67e702dbda62884219f1d87c03621a1f66558992
QML-IMG-005	NEW_IMAGE_EVIDENCE	ATTACH_AND_BIND	CNetNPC ownership replacement and model-init dispatch	PROVEN_EXACT	CNetNPC replaces +0x360 with the factory result using release-old and retain-new discipline, then calls the board vtable +0x14 method with the pinned model argument when the new board is non-null.	owner_slot=CNetNPC+0x360;release_old=0x0088D060;retain_new=0x0088D050;dispatch=vtable+0x14	PF_ROOT://GameClient/GameClient.local.bin	0x0045D430	0x0045D471	0x0005C830	0x0005C871	298c8c31efc2fb052c5be6c35b57b4bb71fd04d8e2d663aca847bace92ea2f29	direct_E8_pool_factory_hit=0x0045D42B	20f5bbd88d32506f3551b9b325c0c01670fec997420d9103532376210d19e5fc	2dfe4ff6b7434749f6354fe82114ff2cdab09a101366672d43804cddc49b6206	A	MEASURED	STATIC_IMAGE_HASHED_SPAN_AND_TYPED_CONTROL_FLOW	PINNED_IMAGE_SHA256;EXACT_SPAN_SHA256;RAW_EXECUTABLE_SECTION_E8_CENSUS_WHERE_DECLARED	IMAGE	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	PF_ATTR_QUEST_MARK_SELECTOR.tsv	3218d619a400dfcab52416489dcf8e6b85e6cbfd5a8bbd14d6ccad39dbfb9bf0	all_10_selector_key_evidence_key_pairs@sha256=a1b636459217b7ff720be475e5dfb4a1d63b2e12816b4bd1c3a213fbc401cd48	The model argument's resource-resolution and decode meaning is delegated, not re-derived here.	Static control flow does not prove successful runtime model construction.	Canonical resource-resolver artifact and client-observable bind evidence.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	455c1aaca750b729dc24f10d67e702dbda62884219f1d87c03621a1f66558992
QML-IMG-006	NEW_IMAGE_EVIDENCE	PER_NPC_UPDATE_ENTRY	CNetNPC virtual update board gate	PROVEN_EXACT	After the base update, the CNetNPC virtual update calls the board path only when owner slot +0x360 and board root +0x10 are both non-null.	entry=0x0045C500;owner_gate=+0x360!=null;root_gate=board+0x10!=null;callee=0x0045BB90	PF_ROOT://GameClient/GameClient.local.bin	0x0045C500	0x0045C52C	0x0005B900	0x0005B92C	11d7f2a6cc9b38bcd175b7d5d4acaec1768c7148f85e4d9b38adcecbed331c62	direct_E8_board_update_hit=0x0045C527	62618dba4f748b5f5c2c7b64798b0350d70144c120cb1623d024fcf6a93542b5	d4335cfb403bac6ef85df1449d7f3fd5bae78e0fc16523098e904d3f8bf1654f	A	MEASURED	STATIC_IMAGE_HASHED_SPAN_AND_TYPED_CONTROL_FLOW	PINNED_IMAGE_SHA256;EXACT_SPAN_SHA256;RAW_EXECUTABLE_SECTION_E8_CENSUS_WHERE_DECLARED	IMAGE	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623				This is not the QuestNPCModule 1000 ms refresh timer; it is the typed CNetNPC update path.	Actual invocation frequency is not measured in IMAGE evidence.	Source-separated runtime call-frequency trace if timing is required.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	455c1aaca750b729dc24f10d67e702dbda62884219f1d87c03621a1f66558992
QML-IMG-007	NEW_IMAGE_EVIDENCE	VISIBILITY_GATE_AND_SPATIAL_UPDATE	board-root bit gate and CNetNPC spatial forwarding	PROVEN_EXACT	The typed board path stops when the board or root is null or root +0x18 bit 0 is set.  Otherwise it computes squared distance from the CNetNPC position to the selected global position, forwards the root and distance to 0x0043D7B0, then dispatches board vtable +0x1C.	root=board+0x10;eligibility_gate=(root+0x18)&1==0;spatial_helper=0x0043D7B0;tail_dispatch=vtable+0x1C	PF_ROOT://GameClient/GameClient.local.bin	0x0045BB90	0x0045BC7A	0x0005AF90	0x0005B07A	743790a6cee4f19b9dfaa9f484d4a5cca403b2674c0b6fdf4be6b55e3f84786e	direct_E8_spatial_helper_hit=0x0045BC62	71665130691cd6e4d2fb7cdb3c56d50ed297f09b3866fb37b28d32f08e8e4afc	acb142eaf9e630b63908b6f59990a5c4c521e646927cafd06277ccad03e3376c	A	MEASURED	STATIC_IMAGE_HASHED_SPAN_AND_TYPED_CONTROL_FLOW	PINNED_IMAGE_SHA256;EXACT_SPAN_SHA256;RAW_EXECUTABLE_SECTION_E8_CENSUS_WHERE_DECLARED	IMAGE	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	PF_ATTR_QUEST_MARK_SELECTOR.tsv	3218d619a400dfcab52416489dcf8e6b85e6cbfd5a8bbd14d6ccad39dbfb9bf0	all_10_selector_key_evidence_key_pairs@sha256=a1b636459217b7ff720be475e5dfb4a1d63b2e12816b4bd1c3a213fbc401cd48	Bit 0 is an update-eligibility gate here; this row does not rename it visible or hidden.	Pixel visibility and occlusion are not measured.	Client-observable frame evidence paired with root-state tracing.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	455c1aaca750b729dc24f10d67e702dbda62884219f1d87c03621a1f66558992
QML-IMG-008	NEW_IMAGE_EVIDENCE	ROOT_MANAGER_TRANSITION_CALLBACK	CNetNPC vslot +0x58 board-root manager admission	PROVEN_EFFECT_TRIGGER_OPEN	Within the typed CNetNPC vtable +0x58 callback, a non-null board root is passed to global manager method 0x00B0E9A0 when the manager chain exists, after which root +0x18 bit 0 is set.	typed_callback=CNetNPC_vtable+0x58;root=board+0x10;manager_call=0x00B0E9A0;post_effect=(root+0x18)|=1	PF_ROOT://GameClient/GameClient.local.bin	0x0045CDB2	0x0045CDF2	0x0005C1B2	0x0005C1F2	2fcbd5cf8b7886228aa6bf36755789ba166f698c11b830a934480f7ea0a30c24	manager_admission=0x00B0E9A0..0x00B0EAA9	ded05033b9ada0532a66ed0626600c85aab8aa5b0cf3c768b7111e325e583fd7	f06a7a91d176a8a27274839074932cc8acf5c14371161c38f76f52be903e8bc6	A	MEASURED	STATIC_IMAGE_HASHED_SPAN_AND_TYPED_CONTROL_FLOW	PINNED_IMAGE_SHA256;EXACT_SPAN_SHA256;RAW_EXECUTABLE_SECTION_E8_CENSUS_WHERE_DECLARED	IMAGE	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	PF_ATTR_QUEST_MARK_SELECTOR.tsv	3218d619a400dfcab52416489dcf8e6b85e6cbfd5a8bbd14d6ccad39dbfb9bf0	all_10_selector_key_evidence_key_pairs@sha256=a1b636459217b7ff720be475e5dfb4a1d63b2e12816b4bd1c3a213fbc401cd48	The callback's engine-level scene or generation event name is not proven.	The callback trigger identity is opaque without symbols or runtime trace.	Instrumented callback trace across a scene or generation transition.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	455c1aaca750b729dc24f10d67e702dbda62884219f1d87c03621a1f66558992
QML-IMG-009	NEW_IMAGE_EVIDENCE	ROOT_MANAGER_ADMISSION	global root-manager admission boundary	PROVEN_TO_CONTAINER_BOUNDARY	The manager rejects a null root, checks its +0x4C index, returns false for an already-present entry, otherwise calls insertion helper 0x00B0E170 and then root-state helpers 0x008AC390 and 0x008AC5B0.	manager_index=+0x4C;insert_helper=0x00B0E170;post_helpers=0x008AC390,0x008AC5B0	PF_ROOT://GameClient/GameClient.local.bin	0x00B0E9A0	0x00B0EAA9	0x0070DDA0	0x0070DEA9	c4592d7a252b213f0cb1d4f16813158327d1681fb418173c329fbe2940f9b455		334e59e7e88e30e307d7deeb2c65c8d3c60d45480cfd00e33f3ee9e5695b913e	e663c933592e921a16bcd8da3330de531f1d21f608f8de4e3ec1209ac782a2ea	A	MEASURED	STATIC_IMAGE_HASHED_SPAN_AND_TYPED_CONTROL_FLOW	PINNED_IMAGE_SHA256;EXACT_SPAN_SHA256;RAW_EXECUTABLE_SECTION_E8_CENSUS_WHERE_DECLARED	IMAGE	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623				This does not prove final renderer registration or a player-visible frame.	Downstream renderer/GPU ownership is not traversed in this bounded lifecycle artifact.	Typed downstream renderer trace or client-observable frame evidence.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	455c1aaca750b729dc24f10d67e702dbda62884219f1d87c03621a1f66558992
QML-IMG-010	NEW_IMAGE_EVIDENCE	REMOVAL_FORWARDER	board-root manager withdrawal forwarder	PROVEN_EXACT	Given a non-null board root at +0x10, the base-board withdrawal forwarder passes that root to global manager method 0x00B0F030.	root=board+0x10;global_chain=0x01093198->+0x2C0->+0x0C;manager_call=0x00B0F030	PF_ROOT://GameClient/GameClient.local.bin	0x005BB150	0x005BB16C	0x001BA550	0x001BA56C	b180fe92a5592b8b39a34908a42c5c7ef9b7e58dc494b3047d26d63520e34d8e	direct_E8_manager_withdrawal_hit=0x005BB166	2a3bea1ee6ce53a834486b785ea3a77dad387f6631b586f5013902579996e07c	961b897a0fa0ec2913668b16de7f6c6abdfb00b674f71d671c844eecdd78e324	A	MEASURED	STATIC_IMAGE_HASHED_SPAN_AND_TYPED_CONTROL_FLOW	PINNED_IMAGE_SHA256;EXACT_SPAN_SHA256;RAW_EXECUTABLE_SECTION_E8_CENSUS_WHERE_DECLARED	IMAGE	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623				This row names the measured direction, not the engine's original symbol.	Whether every scene transition reaches this forwarder is not proven.	Runtime transition trace covering creation, scene change, and destruction.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	455c1aaca750b729dc24f10d67e702dbda62884219f1d87c03621a1f66558992
