# IMAGE_ACCESS_COST.tsv - บันทึกต้นทุนของการอยู่ห่างจาก GameClient.local.bin
# ที่มา: ใบสั่ง notes_to_chief\20260819_2310_ORDER-cloud-readiness.md ข้อ 6 (Panya สั่งผ่านผู้เทส ~23:0x)
# วิธีใช้: ทุกครั้งที่ "อยากได้ข้อมูลจากอิมเมจแล้วไม่มี" ให้เติมหนึ่งแถว - อย่ารอให้จำได้ทีหลัง
# เป้าหมาย: สองสัปดาห์แล้ว Panya จะมีตัวเลขจริงว่าการอยู่ห่างอิมเมจแพงแค่ไหน แทนการเถียงด้วยความรู้สึก
# คอลัมน์คั่นด้วย TAB - workaround: yes/no/partial
timestamp	subsystem	what_was_needed	lane_that_stalled	workaround
2026-08-20T00:10+07:00	RE/classes	RTTI class census 1,367 ตัว ช่วง 0x00C1786C-0x00C29514	FACTPACK-L2-CLASSCENSUS-001	yes (ทำได้จาก strings_ascii.tsv ที่ดูดไว้แล้ว ไม่ต้องมีอิมเมจอีก)
2026-08-20T00:2x+07:00	gate	check 7 ตัวต้องใช้อิมเมจ รันบน CI ไม่ได้	Windows gate on Actions	no (CI แทน gate เต็มไม่ได้ ต้อง skip อย่างเปิดเผย)
2026-08-21T04:30+07:00	loot/Door3	0x6E9D derived bits 0x04 (+0x24) และ 0x08 (+0x20) - ยังไม่มีใครเปิดอ่าน	LOOT-GROUND-OBJECT (Door 3)	no (ไม่มีอิมเมจ = ไม่มีทางรู้ transport - เข้าคิว STATIC-ON-BRIDGE)
2026-08-21T04:30+07:00	loot/Door3	reconcile/removal pass 0x446FE1..0x4470E5 (lifetime ของ object)	LOOT-GROUND-OBJECT (Door 3) + TENSION V91 vs count-1	no (ต้องแกะจากอิมเมจ)
2026-08-21T04:30+07:00	loot/Door4	serializer ของ PickupTerrainThing (มีแค่ชื่อ 0xF3093C + registration 0xBEE5E5)	PICKUP-REQUEST (Door 4)	no (รายงาน USE_DROP_SELL001 พิมพ์ disasm ให้ StallOperateVital แต่ไม่ให้ตัวนี้)
2026-08-21T10:10+07:00	loot/TENSION	scope ของ [mgr+0x24] - ต้อง decode 0x402A20 (มี SEH) จึงปิด TENSION ได้ 100% - GT-040 ท่อน B ตอบทุกอย่างยกเว้นชิ้นนี้	LOOT-DESPAWN design + membership-omission	partial (GT-042 ร่างแล้ว - ผู้ช่วยบนสะพานเดินต่อได้)
2026-08-21T10:10+07:00	loot/Door4	เลข id จริงของ PickupTerrainThing - .data เป็นศูนย์ในไฟล์ ค่าถูกสร้างตอนรัน (ds:0x0108202C) - static พิสูจน์ไม่ได้ตลอดกาล	PICKUP-REQUEST (Door 4) การยืนยัน id	no (ต้องอ่าน memory ตอน client บูต - นอกขอบเขต STATIC-ON-BRIDGE)
2026-08-21T14:15+07:00	GT-034/scene-id	เลข scene id เชิงตัวเลขของ placement bg0001 - ต้อง dump SCENE_NAME (ตาราง 007) + MAP_SCENE_LIST (ตาราง 101) จาก B_CONSTDATA_TH.pc_.dec	GT-034 การยืนยันโซนขั้นสุดท้าย (ขั้น file-membership ทำได้แล้วบนคลาวด์)	partial (คำตอบระดับ "ตาราง placement เดียวกัน" ได้จาก factpack ที่ commit แล้ว - เข้าคิว STATIC-ON-BRIDGE แล้ว)
2026-08-23T16:00+07:00	protocol/F2	parse 50,820 เฟรม GSCN_RunTimeProtocolReq/Res จาก capture corpus ด้วย schema ชุดส่งมอบ RE - corpus อยู่บนสะพานเท่านั้น	การยืนยัน protocol registry ชั้น capture (ปิด F2 ของใบตรวจปฏิปักษ์)	partial (เข้าคิว STATIC-ON-BRIDGE ให้ Codex/ผู้ช่วยรันบนสะพาน)
2026-08-23T14:06+07:00	GT-034/spawn-condition	เงื่อนไข spawn NPC ฝั่งข้อมูล client - ต้องไล่เส้นทางจากตาราง placement ไปตัวสร้าง entity ในอิมเมจ	GT-034 Door A (native-red) ทั้งประตู - รอใบ GT-048 บนสะพาน	partial (คำเคาะ Panya 1315: ทาง (1) static ก่อน - เข้าคิว STATIC-ON-BRIDGE เป็น GT-048)
2026-08-23T16:25+07:00	GT-047/validator-guard	source pf_validate_capture_fields.py (อยู่เฉพาะ pf_bridge\external บนสะพาน ไม่อยู่ใน VCS)	chief patch mutation guard ของ GT-047 ไม่ได้ - patch แบบไม่เห็น source = เดา	ได้ - จ็อบ 0 ใหม่ใน GT-047: ให้ฝั่งสะพานส่ง source เข้า repo แล้ว chief patch รอบถัดไป
2026-08-23T21:1x+07:00	EXTERNAL-RE-READER-001/span-verify	hash 392 distinct serializer spans จาก GameClient.local.bin เทียบ span_sha256 ของชุดส่งมอบ - อิมเมจอยู่บนสะพานเท่านั้น	การยืนยัน ground truth ของตารางที่โค้ดเราเพิ่งเริ่มพึ่ง (cloud ตรวจได้แค่ internal consistency)	partial (โหมด --verify-spans ฝังใน tools/pf_external_registry.py แล้ว - เข้าคิวเป็น GT-054 ให้รันบนสะพานหลัง merge)
2026-08-24T06:1x+07:00	skill-lane/0x36AA-direction	natural direction proof of CLearnSkillVital 0x36AA (client-send confirm) - needs image xref census like GT-050 job 4	LEARN-SKILL-REQUEST inbound decoder must carry direction nonclaim instead of proof	partial (W codec row in committed PF_SERIALIZER_FIELDS is client-side WRITE capability - decoder ships with nonclaim, direction proof queued to bridge)
2026-08-24T11:5x+07:00	skill-lane/CSkillModule+CSkillAttr	trace outbound serializer of CSkillModule (vtable 0x00F48D88) + CSkillAttr carrier from client image; GT-052 recorded both EMPTY W/R in committed external deliverable, CLASSMAP Skill=0	server code-lane skill-state sender (unblocks GT-058 skill window) cannot be written without proven wire shape - would be guessing	partial (queued as RE-061 STATIC-ON-BRIDGE; cloud closed root-cause + resolved vtable/id, bridge closes wire+direction)
2026-08-24T19:5x+07:00	itemop-res-lane/0x4C13-affected-element	byte-walk serializer R-side ของ 0x4C13 เพื่อชี้ขาดว่า R13 (0x005ED2F0) อยู่ใน per-element loop ไหม - ต้องอ่าน control flow จากอิมเมจ	GT-063 sweep แบบ affected_identity_count>0 ประกอบไม่ได้ (fail closed) - รอบนี้จึงส่งเฉพาะทรง count=0 ที่ capture ยืนยัน	partial (เข้าคิวเป็น RE-064 STATIC-ON-BRIDGE - เลน count=0 เดินหน้าไปก่อนด้วย codec golden ที่พิสูจน์แล้ว)
2026-08-25T15:0x+07:00	name-label-color/RE-067	trace who picks the text colour of a ground-item name label and of an actor name label - needs NameBoardNPC update (ctor 0x45C560, update VA unknown) and a FONT_COLOR literal census in the client image	GT-035 label-colour observation can be recorded but not explained; RE-067 H1 vs H2 cannot be separated on cloud	partial (cloud closed the data half: FONT_COLOR 57 rows + E_DROPS_QUALITY 5-tier W/G/B/P/O + s_TAG_EXTRA has only 3 values + no n_QUALITY->FONT_COLOR link in any of 188 tables and 0 hits in 616 lua; the 6-value n_QUALITY vs 5 colour columns alignment needs the image)
2026-08-25T18:0x+07:00	logout-transition/RE-070	find every writer of MODE [orch+0x28] (vtable 0xf45030) and decide whether [orch+0x24] is a gate or just display - needs full disasm of 0x719ab0/0x719b90 + E8/E9 rel32 call-site census; also needs the 2 capture files behind PF_FIELD_VALIDATION.tsv:144 (ReturnSelectServerVital W observed_frames=2)	GT-033 closed ANSWERED with three negative cells - the only remaining branch is orchestrator mode/timer, so the whole logout-transition lane is parked until this is read on the bridge	partial (cloud closed: single-source proof, VA->file_off for 8 VAs with an independent 3-point control, 4 block_256 byte-guards, Codex deliverable searched = not found, and three overstated claims corrected; the disasm itself cannot be done without the image)
2026-08-29T00:1x+07:00	vital-thunk-census/cp874-cleanup	regenerate docs artifact ของ tools/pf_vital_thunk_census_static.py หลังลบ U+1F534 บรรทัด 235 (payload __doc__) - ต้องมี GameClient.local.bin เพราะเครื่องมือเทียบ artifact ที่ commit ไว้แบบไบต์ต่อไบต์	เก็บกวาด cp874 เหลือ 1 ใน 4 จุดที่ทำบนคลาวด์ไม่ได้ (พิน ALLOWED ของเกตจึงลดเหลือ 1 ไม่ใช่ 0)	workaround: ปล่อยพินไว้ที่เดิม - ไม่มีอะไรพิมพ์อักขระนั้น จึงไม่บล็อกใคร (เข้าคิว STATIC-ON-BRIDGE)
2026-09-03T23:0x+07:00	client-confirmed-scene/CORE-REQUEST-GM-051-item3	does the real client ever emit ANY message carrying a scene/map id that this server does not decode? cloud sweep proved only the NEGATIVE about our own decoders (StartGameReq=1 selector byte, TargetPosVital=x/y/z/heading, ChooseNPC=1 identity qword); settling it for the client itself needs external/PF_SERIALIZER_FIELDS.tsv + GameClient.local.bin	none - client_confirmed_scene landed R328 as wire-layer CORROBORATION instead (the scene label the client's own coordinates agreed with). LANE-GM's same-scene token is unblocked either way; a real client-named scene field would only make it stronger	workaround taken: corroborate instead of ask. If the image ever says the client DOES name a scene, the field's three write sites are the one place to change (runtime._note_client_confirmed_scene)
