closure_id	row_kind	phase	subject	direction	semantic_status	exact_observation	value_or_layout	evidence_mode	span_start_va	span_end_va	file_off_start	file_off_end	span_sha256	support_spans	direct_assertions	prior_reference	prior_artifact_sha256	prior_claim_digest	capture_file_count	capture_total_bytes	capture_manifest_sha256	capture_text_file_count	capture_block_count	source	provenance	source_file	source_size	source_sha256	nonclaim	blocker	required_next_evidence	claim_sha256	evidence_key
GDP-IMG-001	TYPED_OBJECT_GATE	PICKUP_CLICK	DropThingGameObj is-a gate	LOCAL	PROVEN_EXACT_CONDITIONAL	The static initializer binds MSVC TypeDescriptor .?AVDropThingGameObj@@ at 0x0101C218 to custom descriptor 0x010823E8. DropThingGameObj vtable slot +0x00 returns that descriptor. The click path obtains the clicked object's descriptor and 0x0088F2B0 walks descriptor +0x04 parents against 0x010823E8; only a successful is-a result retains the object pointer.	TypeDescriptor=0x0101C218;custom_descriptor=0x010823E8;vtable=0x00F30FAC;is_a=0x0088F2B0	NEW_IMAGE_EVIDENCE	0x006B043F	0x006B046A	0x002AF83F	0x002AF86A	f965ee31d581e5c182c06dae44f6fa43f2f096d0ac3dabcb8bb9ee3ae38e032c	descriptor_init=VA:0x00BF0380..0x00BF03B7@file:0x007EF780..0x007EF7B7@sha256:b71cbe6bbca3fec65257d7b1c22df72e6e85846ac5b82612dfcfe894e468d57f;type_descriptor=VA:0x0101C218..0x0101C237@file:0x00C19A18..0x00C19A37@sha256:ec0854ba307eced6b96e3e152c38ad236a64b5dccf04545caa64da3e25d3e633;dropobj_vtable=VA:0x00F30FAC..0x00F30FDC@file:0x00B2F3AC..0x00B2F3DC@sha256:d5e4811779c1c30cbbe0c912b7e3000bc4c10d2d1c40c6d406e3be61666637ff;type_getter=VA:0x005F4B90..0x005F4B96@file:0x001F3F90..0x001F3F96@sha256:b544508e2ae4e2cdd4f5f0fb865605a53fc8114b89bf2df92e5a4bfa8c933400;type_chain_helper=VA:0x0088F2B0..0x0088F2D1@file:0x0048E6B0..0x0048E6D1@sha256:00076eb0d61b7763ba58709f657437f455e6c6a2e3da83b3005bef0b847a61e9	0x006B0453->0x005F4B90||0x006B0459->0x0088F2B0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	IMAGE	ORIGINAL_IMAGE	PF_ROOT://GameClient/GameClient.local.bin	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	The is-a walk accepts a derived class whose descriptor parent chain reaches DropThingGameObj; this row does not require exact dynamic-class equality.	NONE_FOR_BOUNDED_STATIC_CLAIM	PROPOSED: Same-build runtime observation only if the dynamic class of a particular click must be identified.	04cb320dabcde65002b16014a8408673333f4c5cf609dd3ef998385663ad5e4b	8c60b03ec53afe756888b3bfd5bb8f071dec5e498e50d825c49ac2a3fffd89a5
GDP-IMG-002	TYPED_KEY_JOIN	PICKUP_EMISSION	TerrainThing runtime identity	C2S	PROVEN_EXACT_CONDITIONAL	On the reached action/type/range/allocation-success subpath, the retained typed object supplies [DropThingGameObj+0x7C]->TerrainThing+0x10 and the client stores that exact u32 into PickupTerrainThing+0x14. Canonical GDL rows independently bind TerrainThing+0x10 as the DropThingModule_Client reconciliation/map key.	PickupTerrainThing+0x14 == [DropThingGameObj+0x7C]->TerrainThing+0x10 == reconciliation/map key	NEW_IMAGE_JOIN_PLUS_CANONICAL_REFERENCES	0x006B062D	0x006B0658	0x002AFA2D	0x002AFA58	517634cd1d2f5ad97cbecbcfa091caa476d3a21bbac7341a134f119ed2a3542d	dropobj_retain=VA:0x005F41E0..0x005F4259@file:0x001F35E0..0x001F3659@sha256:96535cd88b3d79525fc3d7b2547150c2ee09c183e21b8fdb9c6dd934252a4a3c;reconcile=VA:0x006AF970..0x006B03E3@file:0x002AED70..0x002AF7E3@sha256:e5eb9e1fdae15544773c7e94fa6ff6aaa6990650cbb05f20e39a009941575663	0x006B0639->0x005E8F90||0x006B064C->0x004011A0||0x006B0653->0x005DD800	PF_GROUND_DROP_TRANSPORT.tsv:GDT-IMG-002@0f2e29c0178ce320607ef0c70012c4b960536fbcf81936a46510018c879b7036;PF_GROUND_DROP_LIFETIME.tsv:GDL-IMG-004@74771579c9eae642f70b4a58c738cd38be63878ce4ffd8477a5d199da8abe5cb;PF_GROUND_DROP_LIFETIME.tsv:GDL-IMG-005@4c8c4b01d94e3b45b19c579cb33eb89f751a84e6e48380494d16e7cc3f71f10e	9e2396795ee32287f1f9b82f22fb8f394464d2b0a25375d07108ee138c73907b;b1703a7f31c42ddebf9702d12a7942577407fc320a9c2ad8411a08f3f017e710;b1703a7f31c42ddebf9702d12a7942577407fc320a9c2ad8411a08f3f017e710	db969df8e4eb7515e0ba29b3f7f0780410bca3c6773338063021a6c0ebf85892;723f5eb2a6a6de6f9da01e77f553b7b46b859ab6db9cf653550fdd7e4a1f8cc1;5a4b7de22e6e60a1c0c806f61fa78ae02f49f0df509ad13cae6ff8ef13a9d1f9	N/A	N/A	N/A	N/A	N/A	IMAGE	ORIGINAL_IMAGE	PF_ROOT://GameClient/GameClient.local.bin	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	TerrainThing+0x10 is a runtime object identity, not a proved item-template ID. The equality is conditional on the reached click/type/range path and successful request allocation; a derived DropThingGameObj class is accepted by the preceding is-a gate.	LIVE_SERVER_ACCEPTANCE_AND_RESULTING_REMOVAL_NOT_ESTABLISHED	PROPOSED: Eligible original C2S pickup followed by authoritative S2C state change, preserving source separation.	3be395dbfd98ff5227ce51e364ad63e9de4cced9725c2c35dfda3af28e872623	14681e90652f64ad72718ca830ce6d2cf8e027481f80a0a409f65e22bf8d059f
GDP-IMG-003	LOGICAL_NESTED_DISCRIMINATOR	NESTED_SERIALIZATION	PickupTerrainThing runtime type	C2S	PROVEN_EXACT_STATIC_SUCCESS_PATH	The nested-list writer calls each nested object's vtable +0x10 GetId and writes that u16 with tag 0x12 before invoking vtable +0x18 serializer. With the canonical successful PickupTerrainThing ID assignment and getter, 0x4543 is the nested logical runtime discriminator.	nested_type_discriminator=0x4543;field_tag=0x12;width=2;payload_serializer=PickupTerrainThing vtable+0x18	IMAGE_REFINEMENT_WITH_CANONICAL_ID_PIN	0x005F38F0	0x005F39DE	0x001F2CF0	0x001F2DDE	4a928b3ea6671d915c1f72fb399b7a39e335790c0af045e8f6d46c164ffdb5f7	pickup_getid=VA:0x005E46A0..0x005E46A7@file:0x001E3AA0..0x001E3AA7@sha256:d3fc621e95d5e98c081cab3e22ab7d424901e8fb0cb3d7d2be5f90d9fe6919b1	0x005F3972->0x0089A600||nested GetId=vtable+0x10||nested serializer=vtable+0x18	PF_GROUND_DROP_TRANSPORT.tsv:GDT-IMG-001@20424961abfb3f54634c6a3edace12035bcc3a0b3434a6f094f1afe956903789;PF_GROUND_DROP_TRANSPORT.tsv:GDT-IMG-006@955f3a3f8f0a7f8b47dd68f9752ace5066f8135b9d9e141f2ed5aea448747615	9e2396795ee32287f1f9b82f22fb8f394464d2b0a25375d07108ee138c73907b;9e2396795ee32287f1f9b82f22fb8f394464d2b0a25375d07108ee138c73907b	2fe6035b7507558847e921399ca54184551f4352ac71288089c665e817e91ec8;6dcf23c48efba857f397f141c0edf988558481b3423742e01a21954352951491	N/A	N/A	N/A	N/A	N/A	IMAGE	ORIGINAL_IMAGE	PF_ROOT://GameClient/GameClient.local.bin	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	0x4543 is not established as a top-level semantic packet opcode and is not proved to survive the later buffer rewrite as a literal socket byte sequence.	FINAL_SOCKET_LITERAL_AND_ORIGINAL_WIRE_OCCURRENCE_OPEN	PROPOSED: Eligible original wire observation tied to the same logical object if literal final-wire occurrence is required.	c6c22598f7d1eadd5768fd187c78dfe82b9e92a134d4ebae8d96133868933d1e	a00263d6304d3ebe6f2aa37b2ecca3cbb30c120c41377a63c903a8eef9757559
GDP-IMG-004	LOGICAL_OUTER_DISCRIMINATOR	OUTER_SERIALIZATION	gameplay versus login outer protocol	C2S	PROVEN_EXACT_STATIC_SUCCESS_PATH	The outer writer calls vtable +0x10 GetId, writes the returned u16 with tag 0x12, writes the remaining outer fields, then calls vtable +0x18 serializer. Canonical successful IDs therefore classify 0x6E6F as the gameplay GSCN_RunTimeProtocolReq logical outer discriminator; login uses the distinct GSCN_LoginProtocol logical outer discriminator 0x453A.	gameplay_outer=0x6E6F;login_outer=0x453A;outer_id_tag=0x12;width=2	IMAGE_REFINEMENT_WITH_CANONICAL_ID_PINS	0x00C3A0A0	0x00C3A103	0x008390A0	0x00839103	e1843bba51c3375a03ee2a6b64b893f82a44afd63682bb7e5c96824e3bf217f0	gameplay_getid=VA:0x005E36F0..0x005E36F7@file:0x001E2AF0..0x001E2AF7@sha256:0671aa9bd241d5acf0555f0e9e2f969d2f385d0821cd4ec0bb1df4affd86450f;login_getid=VA:0x005E3710..0x005E3717@file:0x001E2B10..0x001E2B17@sha256:96ec6ab10267b8616954b00022bef2f66a184d589bdf0e08871ff7ee121a30d0;request_serializer=VA:0x005F4070..0x005F4110@file:0x001F3470..0x001F3510@sha256:27a079028e76685564ac37c0ff27c38996837970fe347e6be54474cf8c19c60a	0x00C3A0CC->0x0089A600||0x00C3A0DB->0x0089A600||0x00C3A0EA->0x0089A600||0x005F40AA->0x005F38F0	PF_GROUND_DROP_TRANSPORT.tsv:GDT-IMG-004@3667be9a0e31277e812738e57ba30a1d05169a6b627f91bd081b80ab4802e8f9;PF_GROUND_DROP_TRANSPORT.tsv:GDT-IMG-005@617140f218eeba81ad3dac8520d274d205de0e493cbec336945ec5ad09acf178;PF_GROUND_DROP_TRANSPORT.tsv:GDT-IMG-007@d377787ebf75c1de4e3f0c38827800e9165e72c0f84f64cac87be18b7c3180fd	9e2396795ee32287f1f9b82f22fb8f394464d2b0a25375d07108ee138c73907b;9e2396795ee32287f1f9b82f22fb8f394464d2b0a25375d07108ee138c73907b;9e2396795ee32287f1f9b82f22fb8f394464d2b0a25375d07108ee138c73907b	bca3b449059ada9d3cab91cd5420cb57d3c63d4bee1b7cfc064fcd17501b82fb;0a959b53ceaf2b381961a7f121914ba84928353caabbf8392af7db35442aafe3;5d3532eabf57f3a160b5358035e1a336177166489a1dfbe828702e8899f313a8	N/A	N/A	N/A	N/A	N/A	IMAGE	ORIGINAL_IMAGE	PF_ROOT://GameClient/GameClient.local.bin	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	Neither 0x6E6F nor 0x453A is established as a final top-level semantic socket opcode or as an unchanged post-transform literal.	FINAL_SOCKET_LITERAL_AND_LIVE_PHASE_SELECTION_OPEN	PROPOSED: Original wire evidence with phase and transform boundaries if final literal or live selection is required.	d6a9cab0c18e55739f142956c72443103f3c141044fa19671cc7e2f9a09a4a22	f0a7632fad8759e1cd250b85606a6008e2682e1ebe69ade36ef10f508a7690ac
GDP-IMG-005	SOCKET_TRANSPORT_EXTENSION	SERIALIZE_TRANSFORM_CHUNK_SEND	logical outer object to WS2_32 send	C2S	PROVEN_EXACT_STATIC_SOCKET_PATH	0x00A8CC30 calls logical writer 0x00C3A0A0, transform/repack 0x00A8C8D0, then chunk/send 0x00A8CB30. The transform calls buffer-rewriter 0x00B743B0. The sender limits each payload chunk to at most 0x3FF8, and its flag-1 branch prepends eight transport bytes beginning with constant 0x5F253EAC before thunk 0x00B378E6 jumps through IAT 0x00C3BA74 to the WS2_32.dll ordinal-19 `send` import.	0x00A8CC30->0x00A8C8D0->0x00A8CB30->0x00B378E6->IAT0x00C3BA74=WS2_32.dll.ordinal19(send);max_chunk=0x3FF8;flag1_prefix_magic=0x5F253EAC	NEW_IMAGE_EVIDENCE	0x00A8CC30	0x00A8CCE0	0x0068C030	0x0068C0E0	c77c78397f008024b5cefeeb01574af6ede045694debc6d5d842d213e7c1513c	outer_writer=VA:0x00C3A0A0..0x00C3A103@file:0x008390A0..0x00839103@sha256:e1843bba51c3375a03ee2a6b64b893f82a44afd63682bb7e5c96824e3bf217f0;transform_repack=VA:0x00A8C8D0..0x00A8C987@file:0x0068BCD0..0x0068BD87@sha256:7483b19ac8f5c72f9a0c102ad6e38b904be1b330d9eddaaa92841dba502fc975;buffer_rewrite=VA:0x00B743B0..0x00B74400@file:0x007737B0..0x00773800@sha256:41d0f05e451a79988125d8d0954690fe8fdb9905f88eb78cd17e5c676e00ac56;chunk_send=VA:0x00A8CB30..0x00A8CC23@file:0x0068BF30..0x0068C023@sha256:b14dbf1ba5f3b852039ea930172114fb8fd2688d3ac7518ee3584b9ce6cc5c80;send_thunk=VA:0x00B378E6..0x00B378EC@file:0x00736CE6..0x00736CEC@sha256:588966721d3d648af5cceaa75351f3827ef9387f489f7eb2eae8771807a1be25	0x00A8CC77->0x00C3A0A0||0x00A8CC83->0x00A8C8D0||0x00A8CC9C->0x00A8CB30||0x00A8C924->0x00B743B0||0x00A8CBDB->0x00B378E6||0x00B378E6->IAT[0x00C3BA74]=WS2_32.dll ordinal19(send)	PF_GROUND_DROP_TRANSPORT.tsv:GDT-IMG-007@d377787ebf75c1de4e3f0c38827800e9165e72c0f84f64cac87be18b7c3180fd	9e2396795ee32287f1f9b82f22fb8f394464d2b0a25375d07108ee138c73907b	5d3532eabf57f3a160b5358035e1a336177166489a1dfbe828702e8899f313a8	N/A	N/A	N/A	N/A	N/A	IMAGE	ORIGINAL_IMAGE	PF_ROOT://GameClient/GameClient.local.bin	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	0x5F253EAC is transport framing, not a semantic opcode. Because 0x00B743B0 rewrites the serialized buffer, this row does not claim that 0x4543, 0x6E6F, or 0x453A remain unchanged as final socket literals.	FINAL_SOCKET_BYTE_MAPPING_OPEN_AFTER_BUFFER_REWRITE	PROPOSED: Source-separated original wire observation plus a proven transform decode if final literal mapping is needed.	61f41bb03cfcc7ade7c669086b4aeccab340df5be23fdf7580425010d019892a	feb4131ed6f36e3387e426627722c4c1473dde13001aa65b8c7fec9749ce4765
GDP-IMG-006	PICKUP_LOCAL_REMOVAL_NEGATIVE	SUCCESSFUL_REQUEST_ALLOCATION_SUBPATH	pickup request emission versus local ground-object deletion	C2S	PROVEN_EXACT_BOUNDED_NEGATIVE	The reached allocation-success subpath 0x006B062D..0x006B0658 has exactly three direct E8 calls: request factory, wrapper/ownership helper, and nested enqueue. None targets the three pinned known unregister/map-delete functions. Successful request emission therefore performs no proved direct local unregister or module-map erase; a later authoritative S2C removal remains required/open.	direct_E8_count=3;forbidden_targets=0x00B0EE40,0x005E0D40,0x005E0560;matches=0	NEW_NARROW_IMAGE_CENSUS_PLUS_CANONICAL_REFERENCE	0x006B062D	0x006B0658	0x002AFA2D	0x002AFA58	517634cd1d2f5ad97cbecbcfa091caa476d3a21bbac7341a134f119ed2a3542d	full_click=VA:0x006B03F0..0x006B069B@file:0x002AF7F0..0x002AFA9B@sha256:a393f3d41b7f389fac31bc82a7cf4e78367d0413a5427d5dfe91d762b9685827	0x006B0639->0x005E8F90||0x006B064C->0x004011A0||0x006B0653->0x005DD800	PF_GROUND_DROP_TRANSPORT.tsv:GDT-IMG-002@0f2e29c0178ce320607ef0c70012c4b960536fbcf81936a46510018c879b7036;PF_GROUND_DROP_LIFETIME.tsv:GDL-IMG-013@64bf1baf0a6f2b1511909f041ef25df03e3d1ba49f2ca0474a77e151c253fd88	9e2396795ee32287f1f9b82f22fb8f394464d2b0a25375d07108ee138c73907b;b1703a7f31c42ddebf9702d12a7942577407fc320a9c2ad8411a08f3f017e710	db969df8e4eb7515e0ba29b3f7f0780410bca3c6773338063021a6c0ebf85892;437f12544413791529d75297eb58fa73f4bf519e16e2fa2c97e2876083e6399d	N/A	N/A	N/A	N/A	N/A	IMAGE	ORIGINAL_IMAGE	PF_ROOT://GameClient/GameClient.local.bin	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	This bounded direct-call census does not exclude indirect, virtual, tail, helper, callback, server-driven, or later lifecycle removal; it does not prove server acceptance.	AUTHORITATIVE_POST_PICKUP_S2C_REMOVAL_CARRIER_OPEN	PROPOSED: Original accepted pickup exchange with the following omission/full-clear/remove carrier and ordering.	24b74c1cc83e6c7ab08a9f761706280e80e07eae6402e4246dcc4b1b5f7a1000	ebbf6b7a91ca9f69e7d08c80193a52fcb2e5447cd1d3cb7333367b4a2b610ae8
GDP-IMG-007	CANONICAL_COMPOSITION_REFERENCE	REMOVAL_MATRIX	DropThingModule_Client canonical disappearance predicates	S2C_OR_LOCAL	CANONICAL_REFERENCE_SET_VERIFIED	This row content-addresses the existing GDL removal-matrix rows for NULL input, non-NULL empty input, nonempty omission, range pruning, and separate kind-0x0A clear/destruction. Their claims are not copied or reissued here.	selectors=GDL-IMG-007;GDL-IMG-008;GDL-IMG-009;GDL-IMG-010;GDL-IMG-015	CANONICAL_COMPOSITION_ONLY	N/A_CANONICAL_REFERENCE	N/A_CANONICAL_REFERENCE	N/A_CANONICAL_REFERENCE	N/A_CANONICAL_REFERENCE	N/A_CANONICAL_REFERENCE	N/A	N/A	PF_GROUND_DROP_LIFETIME.tsv:GDL-IMG-007@03d30786118878be809d158ebcc80b07f6ad03b557e36ea7484abc53e9227be3;PF_GROUND_DROP_LIFETIME.tsv:GDL-IMG-008@2b94ca405a72a239f47c97c2a5716018d6cec8f95792e8a634940cb84862800e;PF_GROUND_DROP_LIFETIME.tsv:GDL-IMG-009@3432ac1e3866029db4607db33bab6269943fa8fe79a5678c21e0d46de72dec6e;PF_GROUND_DROP_LIFETIME.tsv:GDL-IMG-010@5f12a08aa0da68e04b6719607e16905e59cbcb56310e0dcc7fc044530bbc067b;PF_GROUND_DROP_LIFETIME.tsv:GDL-IMG-015@b014e9c7797a1d24b5c13eef598b7374223af5b548fe3efda538a43cd65a7d09	b1703a7f31c42ddebf9702d12a7942577407fc320a9c2ad8411a08f3f017e710;b1703a7f31c42ddebf9702d12a7942577407fc320a9c2ad8411a08f3f017e710;b1703a7f31c42ddebf9702d12a7942577407fc320a9c2ad8411a08f3f017e710;b1703a7f31c42ddebf9702d12a7942577407fc320a9c2ad8411a08f3f017e710;b1703a7f31c42ddebf9702d12a7942577407fc320a9c2ad8411a08f3f017e710	7e21c63eff1558a194ebe954e27b6048746944ffba21b48003ddf7b06cfeef1b;349701b4e16873a6af5ee10cae7b1c3b965cc868f16dd9d8a18980801ad45ce7;a9c2dbaa5bed0a71d28af11c0b2d74e9d1393b6d5ca78c7d8af738d793e96313;ca811d1eaf2b052696ac48c09a06c03fbeeaf30557acbb15029964abc3768504;e374680dfd594d5db02cc97f5417a618324349af6576e156b9a398f26c4e29dd	N/A	N/A	N/A	N/A	N/A	IMAGE	ORIGINAL_IMAGE	PF_ROOT://GameClient/GameClient.local.bin	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	No new expiry policy, removal carrier, event name, or copied canonical IMAGE claim is introduced by this reference-only composition row.	ORIGINAL_SERVER_ISSUANCE_ORDER_EXPIRY_AND_POST_PICKUP_SELECTION_OPEN	PROPOSED: Original source-separated S2C sequence selecting one canonical client predicate after pickup and at natural expiry.	311f31b1d88a70fb11806addb82bf0e95c4b2283af5eb50caadab1671d35c107	b4e62b9c8af3867cd53a27bf3ae637c416087e243c9a237b34f6858680bbe5a3
GDP-IMG-008	CANONICAL_FALSE_LEAD_REFERENCE	TYPED_CARRIER_CLASSIFICATION	FightingDropModule_Client and FightingDropNotify	N/A	REFERENCE_ONLY_FALSE_LEAD_FOR_PROVED_TYPED_PATH	Content-addressed canonical rows classify FightingDropModule_Client and FightingDropNotify as custom-reflection surfaces that are not selected by the proved GSCN_RunTimeProtocolRes+0x20 TerrainThingPool typed path. No FightingDrop fact is reissued here.	selectors=GDT-IMG-008;GDT-IMG-009;GDL-CREF-001	CANONICAL_REFERENCE_ONLY	N/A_CANONICAL_REFERENCE	N/A_CANONICAL_REFERENCE	N/A_CANONICAL_REFERENCE	N/A_CANONICAL_REFERENCE	N/A_CANONICAL_REFERENCE	N/A	N/A	PF_GROUND_DROP_TRANSPORT.tsv:GDT-IMG-008@c777325f1fecf9b41460aabdfb497970e36cac7f37626c08fefbea5120bf1a7b;PF_GROUND_DROP_TRANSPORT.tsv:GDT-IMG-009@03de64e671eca49d5f0be4e3eb35b46c576ac30ee5c3d34d846316cb71d09e30;PF_GROUND_DROP_LIFETIME.tsv:GDL-CREF-001@2e2d2be0c92b24d2f4c83289eee616f3550c6315b7d281b23439f60d3452f4f7	9e2396795ee32287f1f9b82f22fb8f394464d2b0a25375d07108ee138c73907b;9e2396795ee32287f1f9b82f22fb8f394464d2b0a25375d07108ee138c73907b;b1703a7f31c42ddebf9702d12a7942577407fc320a9c2ad8411a08f3f017e710	0e468b972405a74f2a0cecdd7e87553aa8579be7267328921d5ff485593c8e92;1fae23e802601cca7b3e7c379cf270e4eda78fb6e7c566678878622cfd24d860;4fa120302becd0cca8f201a3bf9665348f9596d843b788f2997cd814c3193ce1	N/A	N/A	N/A	N/A	N/A	IMAGE	ORIGINAL_IMAGE	PF_ROOT://GameClient/GameClient.local.bin	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	The reference rejects FightingDrop only for this exact typed carrier; it does not prove either class globally unused.	NONE_FOR_BOUNDED_FALSE_LEAD_CLASSIFICATION	PROPOSED: A separately bound concrete FightingDrop wire getter/vtable/serializer or producer/receiver chain if global use must be established.	69571eaf07d449ba3e7179c3d6d00e1b5d8eaef5323bc9b709db069264424351	1eb676e314bc7e7eed8b0543eb38c848f45e7f3de9dd465e83ca10971c3dfbea
GDP-CAP-001	CURRENT_CORPUS_MANIFEST	CAPTURE_CENSUS	all capture_* files below GameClient	MIXED	OBSERVED_EXACT_CURRENT_CORPUS_METADATA	The current read-only census contains 2,227 unique files totaling 699,015,496 bytes; 1,337 .txt files decoded as UTF-8 with replacement contain 81,954 validated PC/DECOMPRESSED blocks.	manifest_sha256=b8284a566d9993f52540dea52e82896b0d8eb499b9aa83ceb74084a0e671db3c;sort=casefold_relative_path_key;record=original_case_posix_relpath<TAB>decimal_size<TAB>lowercase_file_sha256;join=LF_no_header_no_trailing_LF;encoding=UTF-8	CAPTURE_METADATA_AND_PARSED_BLOCK_CENSUS	N/A_CAPTURE_METADATA_ONLY	N/A_CAPTURE_METADATA_ONLY	N/A_CAPTURE_METADATA_ONLY	N/A_CAPTURE_METADATA_ONLY	N/A_CAPTURE_METADATA_ONLY	N/A_CAPTURE_METADATA_ONLY	N/A_CAPTURE_METADATA_ONLY	N/A	N/A	N/A	2227	699015496	b8284a566d9993f52540dea52e82896b0d8eb499b9aa83ceb74084a0e671db3c	1337	81954	CAPTURE	CURRENT_MIXED_CORPUS	PF_ROOT://GameClient/**/capture_*/**/*	699015496	b8284a566d9993f52540dea52e82896b0d8eb499b9aa83ceb74084a0e671db3c	The manifest includes all file types, but only .txt files are parsed. No capture payload or raw byte is emitted by this artifact.	NONE_FOR_CURRENT_CORPUS_CENSUS	PROPOSED: Re-run only if the capture tree changes; any change is fail-closed manifest drift.	8411bc0ed4a2006d82da09b4183289b4a52b08ad7777fe49f53b93e0c1cd0f7d	1227acf056976d4203cca1f03d7b0984e1a2bd755d36481710b77c594090bc01
GDP-CAP-002	TARGET_FAMILY_ZERO_CENSUS	GROUND_DROP_PICKUP_TARGETS	PickupTerrainThing/DropThingModule_Client/FightingDrop*	W_AND_R	NOT_OBSERVED_IN_CURRENT_CORPUS	PickupTerrainThing, DropThingModule_Client, FightingDropModule_Client, and FightingDropNotify each have W=0 frames/instances/files and R=0 frames/instances/files in the current parsed corpus.	four_target_names*two_directions=8 zero cells	CAPTURE_PARSED_LOGICAL_MESSAGE_CENSUS	N/A_CAPTURE_METADATA_ONLY	N/A_CAPTURE_METADATA_ONLY	N/A_CAPTURE_METADATA_ONLY	N/A_CAPTURE_METADATA_ONLY	N/A_CAPTURE_METADATA_ONLY	N/A_CAPTURE_METADATA_ONLY	N/A_CAPTURE_METADATA_ONLY	N/A	N/A	N/A	2227	699015496	b8284a566d9993f52540dea52e82896b0d8eb499b9aa83ceb74084a0e671db3c	1337	81954	CAPTURE	CURRENT_MIXED_CORPUS	PF_ROOT://GameClient/**/capture_*/**/*	699015496	b8284a566d9993f52540dea52e82896b0d8eb499b9aa83ceb74084a0e671db3c	Zero named instances does not prove the logical object can never appear; it records only this exact current corpus and cannot resolve objects hidden inside A2-static-open outer frames.	NO_ELIGIBLE_NAMED_PICKUP_OR_REMOVAL_INSTANCE	PROPOSED: Original same-build capture containing a typed pickup and the following ground-state response.	a3204db31d0ee59e533933776ed25ad136236ef55e32672fbd6c5a11b80d696b	03cafa4ad016b749d3b8957cc5ced0e649d2a4a5913134d32515551ab0cd6183
