n_ID	s_NAME	s_COMMON	s_EQUIPED	s_USED
1	Friends EXP ansion			เมื่อใช้สามารถเพิ่มจำนวนสูงสุดเพื่อนได้(จำนวนสูงสุดอยู่ที่ 100)
2	Holy Stone	หากใส่ไอเทมนี้ไปในตอนตีบวก เมื่อการตีบวกล้มเหลว จะสามารถป้องกันไม่ให้เครื่องสวมใส่เลเวลลด		
3	Blessing Stone	หากใส่ไอเทมนี้ไปในตอนตีบวก เมื่อการตีบวกล้มเหลว และเครื่องสวมใส่ต้องแตก จะสามารถป้องกันไม่ให้เครื่องสวมใส่แตกได้		
4	Security Stone	หากใส่ไอเทมนี้ไปในตอนตีบวก เมื่อการตีบวกล้มเหลว จะสามารถป้องกันไม่ให้เครื่องสวมใส่แตก หรือลดเลเวลได้		
5	Merge Blessing Charm	หากใส่ไอเทมนี้ในขั้นตอนการผสม จะเพิ่มอัตราการได้ลูกเรือคุณภาพดีขึ้น และหากล้มเหลวจะป้องกันไม่ให้ไอเทมสัตว์สวยงามสูญหาย		
6	Nourish Morning Dew	น้ำค้างจากยอดเขาสูง นำไปหยดลงบนผลึกสามารถทำให้ผลึกเกิดแสงแวววาว		เมื่อกดใช้ ให้เลือกผลึกที่อยู่ในกระเป๋า สามารถเพิ่มระดับแสง 5 แต้ม (ระดับแสงเพิ่มได้สูงสุด 99 แต้ม)
7	Miracle  Hammer(Weapon)			เมื่อกดใช้และเลือกอาวุธที่ต้องการลดเลเวล สามารถลดเลเวลเครื่องสวมใส่ที่ต้องการได้ 5 เลเวล\n(ไอเทมที่เหมือนกันจะยึดเลเวลสูงสุดเป็นหลัก)
8	Miracle  Hammer(Armor)			เมื่อกดใช้และเลือกเครื่องป้องกันที่ต้องการลดเลเวล สามารถลดเลเวลเครื่องสวมใส่ที่ต้องการได้ 5 เลเวล\n(ไอเทมที่เหมือนกันจะยึดเลเวลสูงสุดเป็นหลัก)
9	Miracle  Hammer(Accessories)			เมื่อกดใช้และเลือกเครื่องประดับที่ต้องการลดเลเวล สามารถลดเลเวลเครื่องสวมใส่ที่ต้องการได้ 5 เลเวล\n(ไอเทมที่เหมือนกันจะยึดเลเวลสูงสุดเป็นหลัก)
10	Special Miracle  Hammer(Weapon)			เมื่อกดใช้และเลือกอาวุธที่ต้องการลดเลเวล สามารถลดเลเวลเครื่องสวมใส่ที่ต้องการได้ 10 เลเวล\n(ไอเทมที่เหมือนกันจะยึดเลเวลสูงสุดเป็นหลัก)
11	Special Miracle  Hammer(Armor)			เมื่อกดใช้และเลือกเครื่องป้องกันที่ต้องการลดเลเวล สามารถลดเลเวลเครื่องสวมใส่ที่ต้องการได้ 10 เลเวล\n(ไอเทมที่เหมือนกันจะยึดเลเวลสูงสุดเป็นหลัก)
12	Special Miracle  Hammer(Accessories)			เมื่อกดใช้และเลือกเครื่องประดับที่ต้องการลดเลเวล สามารถลดเลเวลเครื่องสวมใส่ที่ต้องการได้ 10 เลเวล\n(ไอเทมที่เหมือนกันจะยึดเลเวลสูงสุดเป็นหลัก)
13	Repair Cure	ยาที่สามารถเพิ่มเลือดได้เต็มจำนวนครั้งแรกคือ 50 หากไม่ได้ตั้งค่าใช้ยาอัตโนมัติ ระบบนี้จะใช้ยาที่มีจำนวนน้อยที่สุดก่อน		เมื่อใช้สามารถฟื้นฟูเลือดได้จำนวนมาก!
14	Guess Fun Drain Coupon	เพื่อเรียกกองทุนของ [ราชาเป่ายิ้งฉุบที่ 101] หัวหน้า Guawa family จึงประกาศให้ผู้กล้าแห่ง Atlantis  เมื่อใช้ไอเทมนี้ตอนเล่นเกม Finger-Guessing พวกเขาจะไม่สามารถออก [กรรไกร] ได้		
15	Beginner Limit Break Crystal Stone			เมื่อกดใช้และเลือกเครื่องสวมใส่ สามารถเพิ่มเลเวลเครื่องสวมใส่ที่ต้องการได้ 1 เลเวล ไอเทมนี้สามารถตีบวกได้ถึงเลเวล 20
16	Advanced Limit Break Crystal Stone			เมื่อกดใช้และเลือกเครื่องสวมใส่ สามารถเพิ่มเลเวลเครื่องสวมใส่ที่ต้องการได้ 1 เลเวล ไอเทมนี้สามารถตีบวกได้ถึงเลเวล 25
17	Morale Repair			เมื่อใช้จะเพิ่มค่าขวัญ 50 แต้ม แนะนำ: สามารถเพิ่มได้สูงสุด
18	Chamber Attestation Medal	เหรียญรับรองกิลด์		เมื่อกดใช้และเลือกเครื่องสวมใส่ในกระเป๋า สามารถเพิ่มจำนวนการเปลี่ยนมือได้ 1 ครั้ง
19	Massage Horn	ไอเทมที่ต้องมีในการพูดในแชแนล [ทั้งหมด] ทุกครั้งที่ส่งข้อความจะหักไอเทมนี้ 1 ชิ้น		
20	Character Editor Service	สามารถแก้ไขรูปลักษณ์ตัวละครได้ในหน้าเลือกตัวละคร\nส่วนที่สามารถแก้ไขได้คือ: หัว, หน้า, ทรงผม, สีผม, ร่างกาย, สีผิว และเสียง\n(แนะนำ! เมื่อแก้ไขแล้วจะมีผลต่อไอเทมรูปลักษณ์ที่ซื้อ! )		เมื่อใช้จะได้รับฟังก์ชั่น【แก้ไขตัวละคร】1 ครั้ง!
21	Refine White Jade	ไอเทมนี้ไม่ได้เป็นไอเทมที่ใช้เพิ่มอัตราให้ลูกเรือ แต่เป็นไอเทมไว้ใช้หลอม		เมื่อมี [White Jade Mold(80%)] 1 อันแล้ว ไอเทมสองอย่างนี้สามารถหลอมได้ [White Jade Mold(100%)] 1 อัน
