transport_id	transport_key	row_kind	phase	subject	related_transport_ids	direction	exact_observation	claim_sha256	semantic_status	runtime_id	runtime_id_status	wire_opcode	wire_opcode_status	evidence_mode	canonical_artifact	canonical_artifact_sha256	canonical_row_selector	canonical_row_digest	evidence_file	evidence_locator	evidence_span_start	evidence_span_end	evidence_span_start_file_offset	evidence_span_end_file_offset	evidence_span_sha256	support_spans	evidence_key	source	nonclaim	blocker	required_next_evidence	image_sha256
GDT-CREF-001	bf1ce19f28f2df6dcee14afe7dc14b00f888178318f27343fcdea4db168065d1	CANONICAL_REFERENCE	IDENTITY	PickupTerrainThing	GDT-IMG-001;GDT-IMG-006	N/A	Authenticates the unique A1 PickupTerrainThing registry row without duplicating it.	dbe4e6889c1fd7ae31162b078e6f47a5afaff6e33dbe732981c61fb90822adf4	CANONICAL_REFERENCE	UNKNOWN_IN_CANONICAL_ROW	NOT_REDERIVED_IN_REFERENCE_ROW	UNKNOWN	NOT_ESTABLISHED_BY_IMAGE	CANONICAL_REFERENCE	PF_PROTOCOL_REGISTRY.tsv	27daac0c6fbbc45d88281c31b98e3a8b56f421bd1e8bc16f970fdff5716cfb4d	name=PickupTerrainThing	cfb0f5ceae92bcaa8e9c3a1e5d09d47496c0328038c8efa6ef078a6d307e03c9	N/A_CANONICAL_REFERENCE	N/A_CANONICAL_REFERENCE	N/A	N/A	N/A	N/A	N/A	N/A_CANONICAL_REFERENCE	N/A_CANONICAL_REFERENCE	IMAGE	The referenced A1/A2 row is not copied as new evidence and does not by itself establish a wire opcode.	NONE_FOR_CANONICAL_LINK	Follow the related NEW_IMAGE_EVIDENCE row for the P0-6 join.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
GDT-CREF-002	990aad49ef70b5ce4459ee2cc06957698934ae0a3deac56380ab00ede72520a7	CANONICAL_REFERENCE	NESTED_PAYLOAD	PickupTerrainThing field W/1	GDT-IMG-006	W	Authenticates the exact A2 PickupTerrainThing W field row at composed order 1.	2e8c4f3623b509e6ef57f9dd4349bec91fdcce50cb8e7477c5268e1d3094f277	CANONICAL_REFERENCE	UNKNOWN_IN_CANONICAL_ROW	NOT_REDERIVED_IN_REFERENCE_ROW	UNKNOWN	NOT_ESTABLISHED_BY_IMAGE	CANONICAL_REFERENCE	PF_SERIALIZER_FIELDS.tsv	99282bdf3f492eaebdbab4918aecc0e37bf8efb42b904b18e1ba306767b5c123	message=PickupTerrainThing|direction(W/R)=W|order=1|tag=0x14|file_off_claim=0x001E5249	84978367efd3280eec858d873c6037a354ff3c79b1806bb7d7f9a7aa8a26614b	N/A_CANONICAL_REFERENCE	N/A_CANONICAL_REFERENCE	N/A	N/A	N/A	N/A	N/A	N/A_CANONICAL_REFERENCE	N/A_CANONICAL_REFERENCE	IMAGE	The referenced A1/A2 row is not copied as new evidence and does not by itself establish a wire opcode.	NONE_FOR_CANONICAL_LINK	Follow the related NEW_IMAGE_EVIDENCE row for the P0-6 join.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
GDT-CREF-003	fc7dd3abd7478078a3565a56f4b8ba9e1e68e45c400ca3f87d08b14f2c5efbf2	CANONICAL_REFERENCE	NESTED_PAYLOAD	PickupTerrainThing field W/2	GDT-IMG-006	W	Authenticates the exact A2 PickupTerrainThing W field row at composed order 2.	1122c00b801c545fcc2648672ec504a69222ef3b6544366aa448059fafa22070	CANONICAL_REFERENCE	UNKNOWN_IN_CANONICAL_ROW	NOT_REDERIVED_IN_REFERENCE_ROW	UNKNOWN	NOT_ESTABLISHED_BY_IMAGE	CANONICAL_REFERENCE	PF_SERIALIZER_FIELDS.tsv	99282bdf3f492eaebdbab4918aecc0e37bf8efb42b904b18e1ba306767b5c123	message=PickupTerrainThing|direction(W/R)=W|order=2|tag=0x08|file_off_claim=0x001E5258	ce0ad7654e23bfdaa192091418a061cb46e78680a140e2753d860ae96776f8ea	N/A_CANONICAL_REFERENCE	N/A_CANONICAL_REFERENCE	N/A	N/A	N/A	N/A	N/A	N/A_CANONICAL_REFERENCE	N/A_CANONICAL_REFERENCE	IMAGE	The referenced A1/A2 row is not copied as new evidence and does not by itself establish a wire opcode.	NONE_FOR_CANONICAL_LINK	Follow the related NEW_IMAGE_EVIDENCE row for the P0-6 join.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
GDT-CREF-004	b3c05f50129b92b6878aa27b68c160bf53241e86182e7f42e3bbed19e45e4f04	CANONICAL_REFERENCE	NESTED_PAYLOAD	PickupTerrainThing field R/1	GDT-IMG-006	R	Authenticates the exact A2 PickupTerrainThing R field row at composed order 1.	b00be5cc83817ff98476381b4cc2d69e7632ec2879d5f00518354f840379e866	CANONICAL_REFERENCE	UNKNOWN_IN_CANONICAL_ROW	NOT_REDERIVED_IN_REFERENCE_ROW	UNKNOWN	NOT_ESTABLISHED_BY_IMAGE	CANONICAL_REFERENCE	PF_SERIALIZER_FIELDS.tsv	99282bdf3f492eaebdbab4918aecc0e37bf8efb42b904b18e1ba306767b5c123	message=PickupTerrainThing|direction(W/R)=R|order=1|tag=0x14|file_off_claim=0x001E526A	e5b086ac207f9d11724bdaeecc9a315c27fe5b72f9c78b9ad5c7d6510530065b	N/A_CANONICAL_REFERENCE	N/A_CANONICAL_REFERENCE	N/A	N/A	N/A	N/A	N/A	N/A_CANONICAL_REFERENCE	N/A_CANONICAL_REFERENCE	IMAGE	The referenced A1/A2 row is not copied as new evidence and does not by itself establish a wire opcode.	NONE_FOR_CANONICAL_LINK	Follow the related NEW_IMAGE_EVIDENCE row for the P0-6 join.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
GDT-CREF-005	89313f36e230ee712997e5f8265725b5e0bd812b004c844fdd844bdc5e23bd6f	CANONICAL_REFERENCE	NESTED_PAYLOAD	PickupTerrainThing field R/2	GDT-IMG-006	R	Authenticates the exact A2 PickupTerrainThing R field row at composed order 2.	03ab95a3b3b8a041f306b750acc16dea7adf1636a00676cfab445edc56450712	CANONICAL_REFERENCE	UNKNOWN_IN_CANONICAL_ROW	NOT_REDERIVED_IN_REFERENCE_ROW	UNKNOWN	NOT_ESTABLISHED_BY_IMAGE	CANONICAL_REFERENCE	PF_SERIALIZER_FIELDS.tsv	99282bdf3f492eaebdbab4918aecc0e37bf8efb42b904b18e1ba306767b5c123	message=PickupTerrainThing|direction(W/R)=R|order=2|tag=0x08|file_off_claim=0x001E5279	9854a75f1e287931a9fcbd7f4ab44e0e7a8889cba7c7506d642fe367c1a691d1	N/A_CANONICAL_REFERENCE	N/A_CANONICAL_REFERENCE	N/A	N/A	N/A	N/A	N/A	N/A_CANONICAL_REFERENCE	N/A_CANONICAL_REFERENCE	IMAGE	The referenced A1/A2 row is not copied as new evidence and does not by itself establish a wire opcode.	NONE_FOR_CANONICAL_LINK	Follow the related NEW_IMAGE_EVIDENCE row for the P0-6 join.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
GDT-CREF-006	ac71b313971609d4069a33bd14fe41aaed7548da9f7ed6564c68511a1fd12e64	CANONICAL_REFERENCE	OUTER_IDENTITY	GSCN_RunTimeProtocolReq	GDT-IMG-004	C2S	Authenticates the unique A1 gameplay outer-protocol registry row.	5d856739508ef8c4afdf30bf3d56ecfa67a7271c05fa5f973abccd9f459edcb7	CANONICAL_REFERENCE	UNKNOWN_IN_CANONICAL_ROW	NOT_REDERIVED_IN_REFERENCE_ROW	UNKNOWN	NOT_ESTABLISHED_BY_IMAGE	CANONICAL_REFERENCE	PF_PROTOCOL_REGISTRY.tsv	27daac0c6fbbc45d88281c31b98e3a8b56f421bd1e8bc16f970fdff5716cfb4d	name=GSCN_RunTimeProtocolReq	d547ae8363a3a25a08b146f1b79d61883257569c0854f9a33be8d4f1069e2c62	N/A_CANONICAL_REFERENCE	N/A_CANONICAL_REFERENCE	N/A	N/A	N/A	N/A	N/A	N/A_CANONICAL_REFERENCE	N/A_CANONICAL_REFERENCE	IMAGE	The referenced A1/A2 row is not copied as new evidence and does not by itself establish a wire opcode.	NONE_FOR_CANONICAL_LINK	Follow the related NEW_IMAGE_EVIDENCE row for the P0-6 join.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
GDT-CREF-007	35ec04c28a9ca8bfd2839bfee35896c5d271000c1f3b2a1db799d36de021287c	CANONICAL_REFERENCE	OUTER_IDENTITY	GSCN_LoginProtocol	GDT-IMG-005	C2S	Authenticates the unique A1 login outer-protocol registry row.	3889f95c018bd02717abc28bbc5b181db2e16f4a19bcaf2138475fbd826fa46e	CANONICAL_REFERENCE	UNKNOWN_IN_CANONICAL_ROW	NOT_REDERIVED_IN_REFERENCE_ROW	UNKNOWN	NOT_ESTABLISHED_BY_IMAGE	CANONICAL_REFERENCE	PF_PROTOCOL_REGISTRY.tsv	27daac0c6fbbc45d88281c31b98e3a8b56f421bd1e8bc16f970fdff5716cfb4d	name=GSCN_LoginProtocol	ef0401d84b4857f1eb878d21e34f01dd105b9fd6a950299e502fe6a9906ddfee	N/A_CANONICAL_REFERENCE	N/A_CANONICAL_REFERENCE	N/A	N/A	N/A	N/A	N/A	N/A_CANONICAL_REFERENCE	N/A_CANONICAL_REFERENCE	IMAGE	The referenced A1/A2 row is not copied as new evidence and does not by itself establish a wire opcode.	NONE_FOR_CANONICAL_LINK	Follow the related NEW_IMAGE_EVIDENCE row for the P0-6 join.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
GDT-CREF-008	1c33cdeb3892256a12bf573bcac9e66e0b788f2fa0073e414adf1dd23a62fb0e	CANONICAL_REFERENCE	PERSISTENT_DROP_SURFACE	FightingDropModule_Client	GDT-IMG-008	N/A	Authenticates the A1 registry row whose concrete wire getter/vtable/serializer fields remain unresolved.	974f3961179f8255b3814f714b1ab2df97b2dc21eeb9bb4df939d70dd4722471	CANONICAL_REFERENCE	UNKNOWN_IN_CANONICAL_ROW	NOT_REDERIVED_IN_REFERENCE_ROW	UNKNOWN	NOT_ESTABLISHED_BY_IMAGE	CANONICAL_REFERENCE	PF_PROTOCOL_REGISTRY.tsv	27daac0c6fbbc45d88281c31b98e3a8b56f421bd1e8bc16f970fdff5716cfb4d	name=FightingDropModule_Client	9ca1a26fe9301823c1e9a65fb1fb7f4863ac644909659d799633806114b5e316	N/A_CANONICAL_REFERENCE	N/A_CANONICAL_REFERENCE	N/A	N/A	N/A	N/A	N/A	N/A_CANONICAL_REFERENCE	N/A_CANONICAL_REFERENCE	IMAGE	The referenced A1/A2 row is not copied as new evidence and does not by itself establish a wire opcode.	NONE_FOR_CANONICAL_LINK	Follow the related NEW_IMAGE_EVIDENCE row for the P0-6 join.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
GDT-CREF-009	cf6c0be564e1bed7882db4ca51ff3a79afd092d6ad9e4e572a467aa277cc5a4b	CANONICAL_REFERENCE	PERSISTENT_DROP_SURFACE	FightingDropNotify	GDT-IMG-009	N/A	Authenticates the A1 registry row whose concrete wire getter/vtable/serializer fields remain unresolved.	c3834e817a507eeed4416d8b9e03aa3c3426693eb81271e674f83fac6f1ff52f	CANONICAL_REFERENCE	UNKNOWN_IN_CANONICAL_ROW	NOT_REDERIVED_IN_REFERENCE_ROW	UNKNOWN	NOT_ESTABLISHED_BY_IMAGE	CANONICAL_REFERENCE	PF_PROTOCOL_REGISTRY.tsv	27daac0c6fbbc45d88281c31b98e3a8b56f421bd1e8bc16f970fdff5716cfb4d	name=FightingDropNotify	edde6470fe81a00925fafb76d17c23d20e75e66986f3cbcbae3e2ede87fd1b0f	N/A_CANONICAL_REFERENCE	N/A_CANONICAL_REFERENCE	N/A	N/A	N/A	N/A	N/A	N/A_CANONICAL_REFERENCE	N/A_CANONICAL_REFERENCE	IMAGE	The referenced A1/A2 row is not copied as new evidence and does not by itself establish a wire opcode.	NONE_FOR_CANONICAL_LINK	Follow the related NEW_IMAGE_EVIDENCE row for the P0-6 join.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
GDT-IMG-001	287b85d4176f8cbbc20429deb4861381d6cb56e775ffd05d2b0578f22edaf7f7	RUNTIME_ID	IDENTITY	PickupTerrainThing	GDT-CREF-001;GDT-IMG-006	N/A	All 519 registry names have unique weighted-name runtime IDs and all 519 registration stubs call 0x0089BD00; PickupTerrainThing computes to 0x4543, stores the successful return in 0x0108202C, and its vtable GetId reads that global.	2fe6035b7507558847e921399ca54184551f4352ac71288089c665e817e91ec8	PROVEN_EXACT_STATIC_SUCCESS_PATH	0x4543	PROVEN_EXACT_STATIC_SUCCESS_PATH	UNKNOWN	NOT_ESTABLISHED_BY_IMAGE	NEW_IMAGE_EVIDENCE	N/A	N/A	N/A	N/A	PF_ROOT://GameClient/GameClient.local.bin	519-stub ID assignment census and PickupTerrainThing getter join	0x0089BD00	0x0089BD9B	0x0049B100	0x0049B19B	f696e3768fae4631460239f03407dc9f9b5a0d20152b991ed033c56b6bfa3b43	0x0089B220..0x0089B27D@file_off=0x0049A620..0x0049A67D@sha256=a9d3a77ec6b70a2f15327cc34310a5fea6f6911ab2d70055e3515f6f6e22dfba;0x00BEE5E0..0x00BEE5F8@file_off=0x007ED9E0..0x007ED9F8@sha256=8fa9ec1ebc0b36405b847ff82adcfdbf31bb82ace52ea8efcf70bdeb1926dc81;0x005E46A0..0x005E46A7@file_off=0x001E3AA0..0x001E3AA7@sha256=d3fc621e95d5e98c081cab3e22ab7d424901e8fb0cb3d7d2be5f90d9fe6919b1;0x00F3005C..0x00F3007C@file_off=0x00B2E45C..0x00B2E47C@sha256=405bbc75c483445d5cfa4c494aa3b46c9045a124562b863a24f63960c5f110e0	20424961abfb3f54634c6a3edace12035bcc3a0b3434a6f094f1afe956903789	IMAGE	Registration can return zero on insertion failure; this is the exact successful startup path, not a live allocation observation.	NONE_FOR_BOUNDED_STATIC_CLAIM	A live same-build observation is required only if runtime success for a particular process must be claimed.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
