n_ID	s_MAIL_FROM	s_MAIL_SUB	s_MAIL
1	Royal Exchange		 $V1 ท่านได้รับ $V2 จากการแลกเปลี่ยน กรุณารับไอเทมที่ตู้นิรภัย!\nแนะนำ: ตู้นิรภัยสามารถเก็บของได้เพียง 10 วันเท่านั้น เมื่อเลย 10 วันแล้ว ระบบจะทำการลบไอเทมทันที!
2	Royal Exchange		 $V1 ท่านฝากขาย $V2 ตอนนี้ได้ขายออกแล้ว\nหักค่าธรรมเนียม $V5\nคืนค่าคุ้มครอง $V4\nเงินทั้งหมดที่ได้รับ $V3\nแนะนำ: ตู้นิรภัยสามารถเก็บของได้เพียง 10 วันเท่านั้น เมื่อเลย 10 วันแล้ว ระบบจะทำการลบไอเทมทันที!
3	Royal Exchange		 $V1 ท่านฝากขาย $V2 ตอนนี้ได้ขายออกแล้ว\nหักค่าธรรมเนียม $V4\nเงินทั้งหมดที่ได้รับ $V3\nแนะนำ: ตู้นิรภัยสามารถเก็บของได้เพียง 10 วันเท่านั้น เมื่อเลย 10 วันแล้ว ระบบจะทำการลบไอเทมทันที!
4	Royal Exchange		 $V1 ท่านฝากขาย $V2 ยังขายไม่ออก กรุณาเก็บคืน และปรับราคาเพื่อนวางขายใหม่อีกครั้ง!\nแนะนำ: ตู้นิรภัยสามารถเก็บของได้เพียง 10 วันเท่านั้น เมื่อเลย 10 วันแล้ว ระบบจะทำการลบไอเทมทันที!
5	Romeo	ข่าวดี!	$V1 ข้ารู้สึกได้ว่าจดหมายขวดแก้วของเจ้ามีคนเก็บไปแล้ว! หากยังไม่มีคนติดต่อท่านอีก ก็มาหาข้า ข้าจะช่วยติดต่อเพื่อนร่วมเดินทางให้!
6	Romeo	ข่าวร้าย!	$V1 ข้ารู้สึกได้ว่าเต่าทะเลมันเอาจดหมายขวดแก้วของท่านไปแล้วหล่ะ ท่านจะต้องมาหาข้าเพื่อให้ข้าช่วยติดต่อเพื่อนร่วมเดินทางให้ท่านใหม่อีกครั้ง!
7	Royal Exchange		$V1 ท่านขอความช่วยเหลือจาก $V2 ยังไม่สามารถเรียกใครมาซื้อได้ กรุณาปรับราคาใหม่!\nแนะนำ: ตู้นิรภัยสามารถเก็บของได้เพียง 10 วันเท่านั้น เมื่อเลย 10 วันแล้ว ระบบจะทำการลบไอเทมทันที!
8	System		$V1 ท่านมีรางวัลรายวันที่ยังไม่ได้รับ เพื่อป้องกันการสูญหายของรางวัล กรุณารับด้วย!\nแนะนำ: ตู้นิรภัยสามารถเก็บของได้เพียง 10 วันเท่านั้น เมื่อเลย 10 วันแล้ว ระบบจะทำการลบไอเทมทันที!
9	System		$V1 เนื่องจากข้อผิดพลาดที่ไม่สามารถตรวจสอบได้ ท่านไม่สามารถรับไอเทมได้อย่างถูกต้อง เพื่อป้องกันการเสียหาย ระบบจะส่งไอเทมให้อีกครั้ง กรุณากดรับ!\nแนะนำ: ตู้นิรภัยสามารถเก็บของได้เพียง 10 วันเท่านั้น เมื่อเลย 10 วันแล้ว ระบบจะทำการลบไอเทมทันที!
10	Wishing Pool	ความปรารถนาของท่านสำเร็จ!	$V1, $V2 ช่วยให้ความปรารถนาของท่านสำเร็จ! ไปที่ตู้นิรภัยรับของขวัญจาก $V2 ได้เลย!
11	Wishing Pool	ความปรารถนาของท่านไม่สำเร็จ!	$V น่าเสียดาย! พรของท่านไม่มีใครเจอเลย!
12	System	แจ้งเตือรับไอเทม	$V1 กรุณารับรางวัลก่อน!
13	Juliet		ท่าน $V1 และเพื่อนทางจดหมายของท่านรู้จักกันกันมาระยะหนึ่งแล้ว อยากจะเจอหน้า $V1 ไหมล่ะ? ถ้าอยากล่ะก็ เริ่มภารกิจที่แนบมาได้เลย! (แนะนำ: ไอเทมที่รับ หากลบออกจะไม่สามารถรับใหม่ได้อีก)
14	Romeo		ท่าน $V1 และเพื่อนทางจดหมายของท่านรู้จักกันกันมาระยะหนึ่งแล้ว อยากจะเจอหน้า $V1 ไหมล่ะ? ถ้าอยากล่ะก็ เริ่มภารกิจที่แนบมาได้เลย! (แนะนำ: ไอเทมที่รับ หากลบออกจะไม่สามารถรับใหม่ได้อีก)
15	Romeo		ท่าน $V1 และเพื่อนของท่านรู้จักกันมาระยะหนึ่งแล้วพัฒนาความสัมพันธ์กับ $V1 เป็นเพื่อนร่วมเดินทางไหมล่ะ? (ไปตีมอนกับเพื่อนร่วมเดินทางจะได้ค่าความสนิทเพิ่ม!)กรุณาทำภารกิจที่แนบมา และพยายามร่วมกับ $V1 ให้กลายเป็นเพื่อนร่วมเดินทางเถอะ!
16	Juliet		ท่าน $V1 และเพื่อนของท่านรู้จักกันมาระยะหนึ่งแล้วพัฒนาความสัมพันธ์กับ $V1 เป็นเพื่อนร่วมเดินทางไหมล่ะ? (ไปตีมอนกับเพื่อนร่วมเดินทางจะได้ค่าความสนิทเพิ่ม!)กรุณาทำภารกิจที่แนบมา และพยายามร่วมกับ $V1 ให้กลายเป็นเพื่อนร่วมเดินทางเถอะ!
17	 Arena 	รางวัลผู้ชนะ	$V1 ยินดีด้วยท่านได้รับชัยขนะใน Arena  กรุณารับรางวัล!
18	 Arena 	รางวัลเข้าร่วม	$V1 เพื่อเป็นการของคุณที่เข้าร่วมการแข่งขัน กรุณารับรางวัล!
19	Fleet Commander	รางวัลการเข้าร่วมสงคราม	$V1 จะต้องออกทะเลต่อ โปรดรับรางวัลจากข้าไปเถอะ!
