n_ID	s_TITLE	s_CONTENT_1	s_CONTENT_2
1	โบกมือ	$V1 ทักทาย $V2	$V1 ทักทายทุกๆคน
2	GO!	$V1 ออกคำสั่งโจมตี $V2	$V1 ออกคำสั่งโจมตี
3	ต้อนรับ	$V1 ต้อนรับ $V2	$V1 ต้อนรับทุกๆคน
4	ดีใจ	$V1 ดีใจมากที่ได้อยู่กับ $V2!	$V1 ดีใจสุดๆ!
5	เสียใจ	$V1 มอง $V2 ด้วยความเสียใจ	$V1 เสียใจมาก
6	โกรธ	$V1 อยากให้ $V2 รู้ว่า $V1 โกรธมาก!	$V1 โกรธมาก
7	สำเร็จ	$V1 ไชโยเสียงดังให้กับ $V2	$V1 ไชโยเสียงดัง!
8	ล้มเหลว	$V1 ยอมรับกับ $V2 ว่า $V1 ทำล้มเหลว	$V1 รู้สึกว่าล้มเหลวอย่างร้ายแรง
9	เขิลอาย	$V1 มองเห็น $V2 รู้สึกว่าเขิลมาก	$V1 รู้สึกเขิล
10	โดดเดี่ยว	$V1 ซบอก $V2	$V1 อยากได้คนปลอบใจ
11	เคลิ้ม	$V1 มอง $V2 รู้สึกเหมือนฝัน	$V1 รู้สึกเหมือนฝันอยู่
12	เห็นด้วย	$V1 เห็นด้วยกับ $V2	$V1 เห็นด้วยกับเป้าหมาย
13	ประหลาดใจ	$V1 ตกใจในท่าทางของ $V2!	$V1 ตกใจกับเรื่องที่เกิดขึ้น!
14	ขอโทษ	$V1 ขอโทษ $V2 เป็นอย่างสูง	$V1 ขอโทษทุกๆคน
15	โบกมือ	$V1 โบกมือให้ $V2	$V1 เริ่มโบกมือ
16	ยำเกรง	$V1 มอง $V2 ด้วยความยำเกรง	$V1 รู้สึกว่าคนรอบข้างเกรงกลัว $V1 
17	ไม่พอใจ	$V1 เริ่มรู้สึกไม่ดีกับ $V2	$V1 รู้สึกต่อต้าน
18	ตะโกน	$V1 อยากตะโกนใส่ $V2	$V1 ตะโกนลั่นฟ้า!
19	ล่อลวง	$V1 ลองล่อลวง $V2	$V1 อยากดึงดูดสายตาคนอื่น
20	วิงวอน	$V1 วิงวอนขอร้อง $V2	$V1 ขอร้องทุกๆคน แต่ไม่มีใครรู้ว่า $V1 ต้องการอะไร
21	สะอึก	$V1 สะอึกใส่ $V2 อย่างโอเวอร์	$V1 สะอึกไม่หยุด
22	กัด	$V1 กัด $V2 เต็มแรง!	$V1 ยิงฟันขาวๆออกมา อยากกัดคน!
23	ตำหนิ	$V1 เริ่มตำหนิ $V2	$V1 หาคนผิดไม่ได้ ได้แค่ตำหนิตัวเอง
24	งุนงง	$V1 มอง $V2 อย่างไรอารมณ์	$V1 มองไปรอบด้าน รู้สึกเคว้งคว้าง
25	กระพริบตา	$V1 หระพริบตาใส่ $V2 อย่างมีเลศนัย	$V1 กระพริบตา
26	จุ๊บ	$V1 ส่งจูบให้ $V2	$V1 ส่งจูบให้ทุกคน
27	แก้มแดง	$V1 แค่มอง $V2 ก็หน้าแดงแล้ว	$V1 รู้สึกเขิลอาย หน้าแดง
28	ตกใจ	$V1 ได้ยินคำพูดของ $V2 แล้วตกใจมาก	$V1 เริ่มรู้สึกตกใจ
29	เขก	$V1 เขก $V2 เบาๆ	$V1 เขกหัวตัวเอง 1 ครั้ง
30	เบื่อหน่าย	$V1 รู้สึกเบื่อคำพูดของ $V2	$V1 เริ่มรู้สึกเบื่อ
31	กระโดดโลดเต้น	$V1 จูงมือ $V2 กระโดด	$V1 โกระโดดไปมา
32	โค้งคำนับ	$V1 โค้งคำนับ $V2 ช้าๆ	$V1 โค้งคำนับให้ทุกคน
33	แกว่งหมัด	$V1 แกว่งหมัดต่อหน้า $V2	$V1 ทำท่าแกว่งหมัดต่อหน้าทุกคน
34	สรรเสริญ	$V1 รู้สึกว่าการแสดงออกของ $V2 เยี่ยมยอด!	$V1 พูดเป็นเสียงดังว่า: เยี่ยม!
35	หายใจลึกๆ	$V1 แค่เห็น $V2 ก็หายใจลึกๆ	$V1 อยากให้ทุกคนหายใจลึกๆ
36	บอกลา	$V1 บอกลา $V2 อย่างเท่ห์ๆ	$V1 บอกลาทุกคน แล้วจากไปอย่างเท่ห์
37	ฮา	$V1 หัวเราะใส่ $V2	$V1 หัวเราะกับทุกคน
38	ใจเย็น	$V1 หวังว่า $V2 จะใจเย็นลงบ้าง	
39	เกา	$V1 เริ่มเกา $V2	$V1 อยากเกา แต่อายสายตาคนอื่น~
40	ท้าทาย	$V1 ท้าทาย $V2 ต่อสู้ด้วย	$V1 ท้าทายทุกๆคน!
41	โปรยเสน่ห์	$V1 มอง $V2 ด้วยสายตาโปรยสเน่ห์	$V1 โปรยสเน่ห์ไปทุกทิศ
42	ไชโยโห่ร้อง	$V1 โห่ร้องใส่ $V2	$V1 ใช้พลังในการโห่ร้อง
43	เคี้ยว	$V1 อยากป้อน $V2	$V1 เคี้ยวเอื้องเหมือนวัว
44	แอบหัวเราะ	$V1 แอบหัวเราะ $V2 ไม่หยุด	$V1 แอบหัวเราะคนเดียว
45	ปรบมือ	$V1 ปรบมือให้ $V2	$V1 ปรมมืออย่างรุนแรง
46	รู้สึกหนาว	$V1 เป็นห่วงว่า $V2 จะหนาว	$V1 รู้สึกหนาวมาก
47	ปลอบโยน	$V1 ปลอบใจ $V2	$V1 ต้องการปลอบใจ
48	ชมเชย	$V1 ชมเชยการแสดงของ $V2	$V1 ชมเชยทุกคน
49	สับสน	$V1 สงสัยในการกระทำของ $V2	$V1 รู้สึกสับสน
50	ยินดี	$V1 ยินดีกับ $V2	$V1 ยกมือแล้วพูดกับทุกคนว่า: ยินดีด้วย
51	ไอ	$V1 รู้สึกว่าการไอของ $V2 ต้องมีอะไรบางอย่างแอบแฝง	$V1 ไอออกมาเหมือนมีอะไรอัดอั้น
52	อุดหู	$V1 อุดหู $V2 เกือบไม่ทัน	$V1 อุดหูตัวเองเอาไว้
53	ย่อท้อ	$V1 มอง $V2 อย่างย่อท้อ	$V1 ไม่อยากให้ทุกคนเห็น $V1 อยู่ในความย่อท้อ
54	ทำเสียงกระดูลั่น	$V1 มอง $V2 ด้วยท่าทางที่เต็มไปด้วยความน่ากลัว	$V1 ดัดมือให้เกิดเสียงกร่อบแกร่บ
