gate_id	phase	subject	exact_static_fact	semantic_status	required_interface_fact	evidence_span_start	evidence_span_end	evidence_span_start_file_offset	evidence_span_end_file_offset	evidence_span_sha256	support_spans	evidence_key	source	source_path	source_size	source_sha256	nonclaim	blocker	required_next_evidence	image_sha256
GM-IMG-001	PLUGIN_LOAD	GameMaster.dll/CreateGameMaster	Application init calls LoadLibraryW with exact UTF-16 GameMaster.dll; on success it resolves exact ASCII CreateGameMaster, calls the export with zero explicit arguments, and stores EAX at application+0x7C8.	PROVEN_EXACT	export=CreateGameMaster; return=non-null interface pointer; owner=application+0x7C8	0x00406720	0x00406791	0x00005B20	0x00005B91	120604819103b24b0563d1d68c568a98be3bdc5d547451697cc8f6bf4dbb6894	init_call=0x0040A461..0x0040A474@file:0x00009861..0x00009874@sha256:1d709f19a2ca069dc156f73cc0d1450bffe7092198c4265832b4dd1f523ffd5a;dll_string=0x00F09C88..0x00F09CA6@file:0x00B08088..0x00B080A6@sha256:227e313647d01c08d2de6092540e4dd15f8faf9b53a2f2afb10366e819aa63da;export_string=0x00F09C74..0x00F09C85@file:0x00B08074..0x00B08085@sha256:2918771318875f7b6188d0eb9a5cd1ab392ba7a1a92882af5431f5b608306a97	54b20420b6bb3451ad02aadaeede46c362d2044ef52f38f1e5702d309160839c	IMAGE	GameClient/GameClient.local.bin	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	Does not recover the original DLL implementation or prove it is present on disk.	ORIGINAL_PLUGIN_IMPLEMENTATION_NOT_IN_PINNED_EVIDENCE	Compatible implementation requires the used ABI surface below plus runtime validation.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
GM-IMG-002	FALLBACK	application+0x7C8 fallback object	If the library, export, or returned object is absent, the loader allocates 4 bytes through imported MSVCR90 operator new, assigns vtable 0x00F09AF0, and stores it at application+0x7C8 when that allocation succeeds; allocation failure stores NULL.	PROVEN_EXACT_CONDITIONAL	fallback_vtable=0x00F09AF0; allocation_size=4; non_null_only_on_allocation_success	0x00406720	0x00406791	0x00005B20	0x00005B91	120604819103b24b0563d1d68c568a98be3bdc5d547451697cc8f6bf4dbb6894	fallback_vtable=0x00F09AF0..0x00F09AFC@file:0x00B07EF0..0x00B07EFC@sha256:0b5e81ca6e86d94434719015a4a1adcc20006f7c7e4260ff5e4a6c819e1ddf0a	6a9db33f3670aa555d047bb52fc48027b6dbe6887bfff3aaab1c55cf20921100	IMAGE	GameClient/GameClient.local.bin	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	A non-null application+0x7C8 does not prove the real plug-in loaded; IMAGE alone does not prove fallback allocation succeeded in a particular run.	SUCCESSFULLY_ALLOCATED_FALLBACK_CAN_PASS_VISIBILITY_CHECK	Distinguish fallback from a real interface by the key getter result.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
GM-IMG-003	FALLBACK	fallback vtable slot +0x04	Fallback vtable slot +0x04 points to 0x009F17E0, whose complete body returns NULL.	PROVEN_EXACT	vtable_slot=+0x04; return_type=pointer; fallback_return=NULL	0x009F17E0	0x009F17E3	0x005F0BE0	0x005F0BE3	4bc724f3b1d0caf4fe369c18cba3102e6c4ea057f63fe1587e3973134a7f755e	fallback_vtable=0x00F09AF0..0x00F09AFC@file:0x00B07EF0..0x00B07EFC@sha256:0b5e81ca6e86d94434719015a4a1adcc20006f7c7e4260ff5e4a6c819e1ddf0a	fc6027136ed157ec2c348a42947c5aca3430d79011649ae4f68798d8244daa39	IMAGE	GameClient/GameClient.local.bin	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	The source-level method name and original DLL implementation are unknown.	NULL_WINDOW_KEY	Use the complete slot census and DATA model binding below for a compatible implementation.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
GM-IMG-004	BUTTON_VISIBILITY	GM button show path	The show path checks only application+0x7C8 for non-null, then queries the local CMyActor module state; a successfully allocated non-null fallback can therefore coexist with a visible button.	PROVEN_EXACT	visibility_requires_non_null_application_plus_0x7C8	0x0053B19C	0x0053B1D9	0x0013A59C	0x0013A5D9	dd3da82a11a7f17bf53ae742e9a9e71da47541fdb1c6150be1009c8f326d61fc	state_query=0x0044A3B0..0x0044A45D@file:0x000497B0..0x0004985D@sha256:755bd9a1ebbb74267afd4143c3df2032065b152e0082bffcfc4fe3993fce386e;state_adapter=0x00726D30..0x00726D62@file:0x00326130..0x00326162@sha256:bba473c432f5bedf3f6f2d281c4450e304601faa44e7999b29b1b31898159e48	7b96f2b5e29400dd00d17eeaed07ada580288f30ec547c5727ba862a86c3dcb5	IMAGE	GameClient/GameClient.local.bin	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	Visibility does not prove that clicking can create a window.	VISIBILITY_AND_CLICKABILITY_USE_DIFFERENT_CONDITIONS	Use the click path and dispatcher result as the functional gate.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
GM-IMG-005	MODULE_STATE	GMModule_Client query type 0x25	CMyActor queries module registry type 0x25; the GMModule_Client adapter accepts that type and copies GMModule_Client+0x19 into the query result used by both show and click gates.	PROVEN_EXACT	click_state_byte=GMModule_Client+0x19; query_type=0x25	0x0044A3B0	0x0044A45D	0x000497B0	0x0004985D	755bd9a1ebbb74267afd4143c3df2032065b152e0082bffcfc4fe3993fce386e	state_adapter=0x00726D30..0x00726D62@file:0x00326130..0x00326162@sha256:bba473c432f5bedf3f6f2d281c4450e304601faa44e7999b29b1b31898159e48	ac28f4951bc179f5ce87755a46069b0b6066653e004338b8419f126ee8564326	IMAGE	GameClient/GameClient.local.bin	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	This byte alone cannot supply the missing window key.	STATE_BYTE_IS_NECESSARY_BUT_NOT_SUFFICIENT	Keep module state and plug-in interface evidence separate.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
GM-IMG-006	BUTTON_CLICK	application+0x7C8 vtable slot +0x04	After local-player and GMModule_Client+0x19 gates pass, click calls interface vtable slot +0x04 and passes its return as the first logical argument to the UI dispatcher. The three prior pushes are dispatcher arguments retained across the zero-argument getter call.	PROVEN_EXACT	slot_+0x04=thiscall_zero_explicit_args; return=wide_string_pointer	0x0053BC51	0x0053BC96	0x0013B051	0x0013B096	0fbd32d41059ee8370a1e89aeb30c7c5c8bea1ec73688e9a14363759e1a86338	slot4_dispatch_route=0x0042C695..0x0042C6DF@file:0x0002BA95..0x0002BADF@sha256:0a910ddb367e4f7cbe592062c8744e7fcd4e45706fbc7346355d95df489ea9c5;dispatcher=0x00AA0710..0x00AA0799@file:0x0069FB10..0x0069FB99@sha256:62fd9c6fdb6a85443ec6f2657495caf2c26f1ea580b432195c26f89b171a2d99;factory=0x007280D0..0x007281B8@file:0x003274D0..0x003275B8@sha256:e6209b9021e4e3c689c3b8b75c18b8b1c60840e8761229ab6d4b4e37eb98de34	5b7b6a6379bbbddfa0edbb2fd0a651a81d031f0e586b65fe741b27fbde2bdd01	IMAGE	GameClient/GameClient.local.bin	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	Static code does not establish the returned pointer's allocation or ownership policy.	FALLBACK_SLOT_RETURNS_NULL	As hardened compatible policy, return a writable process-lifetime NUL-terminated UTF-16 GUI model basename; direct IMAGE callers only prove immediate reads.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
GM-IMG-007	UI_DISPATCH	UI key empty predicate	The dispatcher first calls 0x008946C0; that predicate returns true for NULL or an empty UTF-16 string, and the dispatcher then returns NULL before lookup or factory creation.	PROVEN_EXACT	key_must_be_non_null_and_non_empty_UTF16	0x00AA0710	0x00AA0799	0x0069FB10	0x0069FB99	62fd9c6fdb6a85443ec6f2657495caf2c26f1ea580b432195c26f89b171a2d99	empty_predicate=0x008946C0..0x008946EA@file:0x00493AC0..0x00493AEA@sha256:b0bbaf964a64e41c6abf2c8a2c691cfaa40f9d7cad2ec118aeab871a9cb8ac93	d21092f9703112f7c4c3a20a6c262df0a996bec8beaf7dd871bd30db2b2affe9	IMAGE	GameClient/GameClient.local.bin	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	A non-empty key is necessary but does not by itself prove a matching factory.	EMPTY_KEY_SHORT_CIRCUITS_BEFORE_FACTORY	Match the key against the registered GMModule_Client factory condition.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
GM-IMG-008	GM_FACTORY	GMModule_Client factory slot +0x48	Factory 0x007280D0 re-reads interface slot +0x04, rejects NULL/empty, compares the returned UTF-16 text exactly with the requested key, and only on equality allocates 0xEC bytes, calls constructor 0x0059D740, and assigns vtable 0x00F46258.	PROVEN_EXACT	getter_model_basename_must_equal_requested_factory_key_exactly	0x007280D0	0x007281B8	0x003274D0	0x003275B8	e6209b9021e4e3c689c3b8b75c18b8b1c60840e8761229ab6d4b4e37eb98de34	empty_predicate=0x008946C0..0x008946EA@file:0x00493AC0..0x00493AEA@sha256:b0bbaf964a64e41c6abf2c8a2c691cfaa40f9d7cad2ec118aeab871a9cb8ac93	676e6d0d05509e31a103dc240c64bce373e50b723f88db740ca2fba162c7b22c	IMAGE	GameClient/GameClient.local.bin	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	This row does not prove which request key reaches this factory at runtime.	REQUEST_TO_FACTORY_RUNTIME_BINDING_NOT_OBSERVED	Join only at report level with the source-separated DATA model declaration below.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
GM-IMG-009	PANEL_CHILD_LOOKUP	GMUI_BASIC	After the built-in GM panel is constructed, panel vtable slot +0x60 at 0x00726DF0 uses the sole IMAGE xref to UTF-16 GMUI_BASIC as a child/tab lookup. This literal occurrence is not evidence of what the missing plug-in getter returned.	PROVEN_EXACT_PANEL_CHILD_LITERAL	panel_child_id=GMUI_BASIC; getter_return_remains_unknown_in_IMAGE	0x00726DF0	0x00726E28	0x003261F0	0x00326228	02f7d73b8034852ca07d2082e79190f63c664ae92666743d5f42754952f06a85	key_string=0x00F461EC..0x00F46202@file:0x00B445EC..0x00B44602@sha256:8cd981c57aff6459967b713667022dd41a3494058d6c731a36c0e142b64328cb;factory=0x007280D0..0x007281B8@file:0x003274D0..0x003275B8@sha256:e6209b9021e4e3c689c3b8b75c18b8b1c60840e8761229ab6d4b4e37eb98de34	33a61fa8475653bc9e38b2a8262214e2ad1d741ac9d8a31ec5cbf1fd7062feac	IMAGE	GameClient/GameClient.local.bin	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	This lookup does not prove that the original DLL returned any particular model basename.	NONE_FOR_CHILD_ID	Compose only outside this IMAGE row with DATA to propose a compatible basename; do not claim the original DLL return.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
GM-IMG-010	OWNERSHIP_CLEANUP	application+0x7C8 and library handle +0x7CC	Application cleanup passes application+0x7C8 directly to imported MSVCR90 operator delete without a virtual-destructor call, clears the pointer, and then passes +0x7CC to FreeLibrary when non-null.	PROVEN_EXACT	returned_object_memory_must_be_safe_for_application_MSVCR90_delete	0x0040A597	0x0040A5C1	0x00009997	0x000099C1	784e572c86b189632b041d7394adcd635f23bda915728dc478711588dae4fa18	loader=0x00406720..0x00406791@file:0x00005B20..0x00005B91@sha256:120604819103b24b0563d1d68c568a98be3bdc5d547451697cc8f6bf4dbb6894	e6ba821d230acbfdd0e2e7bdd610068cf1089355ae62579c0dae69847f2d5ea8	IMAGE	GameClient/GameClient.local.bin	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	The original DLL's allocation strategy and source-level destructor contract are unknown.	CROSS_MODULE_ALLOCATION_COMPATIBILITY_REQUIRED	Any compatibility implementation must validate clean shutdown as well as window creation.	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623
