resolver_key	row_kind	route_order	source	subject	claim	semantic_status	measurement_label	method	control	runtime_open_status	runtime_bind_status	runtime_pixels_status	source_file	source_size	source_sha256	evidence_locator	span_start	span_end	file_offset_start	file_offset_end	span_sha256	support_spans	reference_artifact	reference_sha256	reference_keys	query_original_leaf	query_packaged_leaf	query_alternate_leaf	exact_original_match_count	casefold_original_match_count	exact_packaged_match_count	casefold_packaged_match_count	casefold_alternate_match_count	matched_path	decoded_size	decoded_sha256	decoded_header_sha256	decoded_structure	claim_sha256	evidence_key	blocker	required_next_evidence	nonclaim	artifact_pair_sha256
07d8b14c6d9edcea067a49059f27112a742b1271e3795fde1bc5040f61f009ce	REFERENCE_ONLY	00	IMAGE	eight quest-mark selector literals	The eight selector identities and their formatting literals are imported by pinned key; this artifact does not restate their branch predicates.	REFERENCE_ONLY	REFERENCE	PINNED_REFERENCE_ARTIFACT_SIZE_SHA256_AND_EXACT_KEY_JOIN	REFERENCE_SIZE_SHA256_PIN;REFERENCE_KEY_EXISTENCE;NO_LOCAL_PRIMARY_EVIDENCE;NO_CLAIM_REISSUE;RUNTIME_OPEN_BIND_PIXELS_OPEN	OPEN	OPEN	OPEN	PF_ROOT://GameClient/GameClient.local.bin	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	PF_ATTR_QUEST_MARK_SELECTOR selector keys 1..8							PF_ATTR_QUEST_MARK_SELECTOR.tsv	3218d619a400dfcab52416489dcf8e6b85e6cbfd5a8bbd14d6ccad39dbfb9bf0	5464435ef50cdb99c6bdae1894455461970957c2294f7d1b23e7f12b1ab11439;9eefcfa3f4c47b1c8aec68e788ec30b3e71cb7547953e905f602125738b74ea3;8e0a307d7d14bbd2a66916938320d9e2b4ed96d57e81e538a723137268663ede;ce7016e63d533dd7ac87809df14e1cc8aa2e727178b8c1f6180e970551d83b13;a23f05a8298f622f2942b57f14d26f8ed8c6e61af066157b0f6b538415edf43e;68c906aabaca780c17e7d796e56d965ad34a2c09debbc5cd53d38a6bbf9cea05;719515671edf8347af6ced4ca86a7ec94c9aa29ef0f502fa4d8a609507023bd2;2e2a66518ed5fab2335da6e58e8e98b361edbc21610d05336816c76e080e1e4a														8aa935b5c642746840065f4bd6a9b6ae7d7d65208f0db33f0326daae9b01780c	578f33383a0ec5752c4b386de020c9b8526b81cc797108cd32f46a510c4858b9	None for selector identity; runtime selection remains outside this reference row.	Use the selector artifact for branch predicates and lifecycle evidence.	No selector condition, selector frequency, or runtime selection is newly claimed here.	c9c9e96ee67762cdaab18bf12d6cf22c1a4cf82c83270f50562a849c90985304
c77772b42324ca4447f3c5dc0173a491149080cf0aee7f6a8a73ae9052dc24c1	IMAGE_STATIC_ROUTE	10	IMAGE	texture manager 0x00A9F350	The manager normalizes and hashes the requested path, consults its cache, allocates a resource on a miss, calls 0x00AC7930, conditionally tries its configured fallback path, and registers a successful resource.	PROVEN_EXACT_STATIC_CONDITIONAL	MEASURED	STATIC_IMAGE_HASHED_SPAN_AND_EXACT_CONTROL_FLOW_ASSERTIONS	PINNED_IMAGE_SIZE_SHA256;EXACT_PRIMARY_AND_SUPPORT_SPAN_SHA256;DECISIVE_DIRECT_CALL_ASSERTIONS;RUNTIME_OPEN_BIND_PIXELS_OPEN	OPEN	OPEN	OPEN	PF_ROOT://GameClient/GameClient.local.bin	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	texture manager cache/miss/load/fallback/register control flow	0x00A9F350	0x00A9F58C	0x0069E750	0x0069E98C	14cefd11594ebb2899d06b0ef770c495ea1cf72b7a2bcc12ce208deddc418a80	resource_loader=0x00AC7930..0x00AC7AE6@file_off=0x006C6D30..0x006C6EE6@sha256=aef62b9753b998b551ce92048f7ef598fb2d29449d4a839a00ecf6eda11524b0																	b6b6c2d4549591acbb36c24aa6787602a8203189a6771a80e5f1e9d309370a0f	cdd83a031ab32c28e16da22bed13e85fd3c345897c874e3d32d6c8075674af50	Cache contents, configured fallback path, and branch outcomes are runtime state.	Source-separated runtime trace of the concrete request and returned resource.	Static reachability does not prove that any of the eight requests opened or returned a texture at runtime.	c9c9e96ee67762cdaab18bf12d6cf22c1a4cf82c83270f50562a849c90985304
7bc7fc5f3bd47a14785803d9817c02b8fdc2756bcf9f4c3c24b555f5e66c610f	IMAGE_STATIC_ROUTE	20	IMAGE	resource loader 0x00AC7930	The resource loader rejects an empty path, asks the exists dispatcher at 0x00790F20, calls generic image loader 0x008A21D0, stores its result at resource+0x10, and requires nonzero virtual +0x48 and +0x4C results before success.	PROVEN_EXACT_STATIC_CONDITIONAL	MEASURED	STATIC_IMAGE_HASHED_SPAN_AND_EXACT_CONTROL_FLOW_ASSERTIONS	PINNED_IMAGE_SIZE_SHA256;EXACT_PRIMARY_AND_SUPPORT_SPAN_SHA256;DECISIVE_DIRECT_CALL_ASSERTIONS;RUNTIME_OPEN_BIND_PIXELS_OPEN	OPEN	OPEN	OPEN	PF_ROOT://GameClient/GameClient.local.bin	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	exists->generic-image->resource validation control flow	0x00AC7930	0x00AC7AE6	0x006C6D30	0x006C6EE6	aef62b9753b998b551ce92048f7ef598fb2d29449d4a839a00ecf6eda11524b0	generic_image=0x008A21D0..0x008A2401@file_off=0x004A15D0..0x004A1801@sha256=7c2e90f233a2aade00be5d0f09dbf19ae269b245b4ffdb9abe804c20331681c1																	bfe70de65f6fbddc03a77bc5fe2da81534d125984e02f7e6b2cec3db2a91ca4f	dca012cf6191cc691083fbbf0212ce8248bd513b28fd136958a91b7fd00f4898	The runtime callbacks, generic-loader result, and virtual return values are unobserved.	Runtime trace keyed to each formatted quest-mark path.	This row does not prove a file was present, decoded, uploaded, or bound.	c9c9e96ee67762cdaab18bf12d6cf22c1a4cf82c83270f50562a849c90985304
86fb6bd2999936944475b1f929a4baa4d34c29c85f6563b5c782105eb90b23c4	REFERENCE_ONLY	30	IMAGE	packaged open/exists callback installation	The generic packaged-resource callback installation and transformed-first/original fallback route are imported from GDL-IMG-018; the quest-specific extension member is proved separately below.	REFERENCE_ONLY	REFERENCE	PINNED_REFERENCE_ARTIFACT_SIZE_SHA256_AND_EXACT_KEY_JOIN	REFERENCE_SIZE_SHA256_PIN;REFERENCE_KEY_EXISTENCE;NO_LOCAL_PRIMARY_EVIDENCE;NO_CLAIM_REISSUE;RUNTIME_OPEN_BIND_PIXELS_OPEN	OPEN	OPEN	OPEN	PF_ROOT://GameClient/GameClient.local.bin	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	GDL-IMG-018							PF_GROUND_DROP_LIFETIME.tsv	b1703a7f31c42ddebf9702d12a7942577407fc320a9c2ad8411a08f3f017e710	GDL-IMG-018;8397845c5926ffec7261a4f40c40a77d8699d001e45299a64f188681fd9ab989														9b337f040807e12cd05a9944edc98da6d11d83f2732188b1d83b9637615a5c65	cf64d96cc7b733220ee1c05ddede55fb6c1623491206ecb1b830693f8b04c10d	Installer reachability/order and later callback overwrite are not established for the observed runtime.	Runtime callback-slot trace before the quest resource request.	The generic `.nif` example owned by GDL-IMG-018 is not repeated as a quest fact.	c9c9e96ee67762cdaab18bf12d6cf22c1a4cf82c83270f50562a849c90985304
e68e82d5e3ce936d36fe8351cd665c8976bbd93d02d191c77c02a3bd55363261	IMAGE_EXTENSION_RULE	40	IMAGE	case-insensitive .tga packaged rewrite	The extension allowlist compares the split extension to `.tga` with `_stricmp`; on a match the shared success tail overwrites the final path character with `_`, so `.tga` becomes `.tg_` and no suffix is appended.	PROVEN_EXACT	MEASURED	STATIC_IMAGE_HASHED_SPAN_CONTROL_FLOW_AND_OPERAND_ASSERTIONS	PINNED_IMAGE_SIZE_SHA256;EXACT_PRIMARY_AND_SUPPORT_SPAN_SHA256;STRICMP_IAT_LITERAL_AND_REWRITE_STORE_ASSERTIONS;RUNTIME_OPEN_BIND_PIXELS_OPEN	OPEN	OPEN	OPEN	PF_ROOT://GameClient/GameClient.local.bin	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	.tga comparison plus shared final-character store	0x00B7A7FF	0x00B7A816	0x00779BFF	0x00779C16	ec5c40a81c23bb22155d980f48199ffc778ce470f1d22735126bff4f433d6d70	rewrite_store=0x00B7A8A1..0x00B7A8D2@file_off=0x00779CA1..0x00779CD2@sha256=1b17b5afa32d5c8a57b89bf2fd3fde11d049cd16b952f8c1867ce38b2718e375	PF_GROUND_DROP_LIFETIME.tsv	b1703a7f31c42ddebf9702d12a7942577407fc320a9c2ad8411a08f3f017e710	GDL-IMG-018;8397845c5926ffec7261a4f40c40a77d8699d001e45299a64f188681fd9ab989														0f15d3356571d32a93713d73452cd456fc7a26804549255fb99316cf03adbb77	7c6a20cc7abc7ab7406e2e60b151e547d8c5635e586f0173be9d9e0bdb4d105c	Runtime invocation for a concrete quest path remains unobserved.	Trace the input/output buffer at 0x00B7A780 for one quest-mark request.	This exact rule cannot produce a double extension such as `.tga.tg_` from a `.tga` input.	c9c9e96ee67762cdaab18bf12d6cf22c1a4cf82c83270f50562a849c90985304
15a57caeebbb7b49a6cdc73aa91d825318bf86c3826fc5ffb4c7409d99bc8c83	IMAGE_STATIC_ROUTE	50	IMAGE	exists callback 0x00B01DD0	The callback copies the original path, rewrites the copy, attempts CreateFileA on the transformed path first, and conditionally retries the untouched original after transformed failure.	PROVEN_EXACT_STATIC_CONDITIONAL	MEASURED	STATIC_IMAGE_HASHED_SPAN_AND_EXACT_CONTROL_FLOW_ASSERTIONS	PINNED_IMAGE_SIZE_SHA256;EXACT_PRIMARY_AND_SUPPORT_SPAN_SHA256;DECISIVE_DIRECT_CALL_ASSERTIONS;RUNTIME_OPEN_BIND_PIXELS_OPEN	OPEN	OPEN	OPEN	PF_ROOT://GameClient/GameClient.local.bin	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	rewrite and transformed-first/original fallback branches	0x00B01DD0	0x00B01ECB	0x007011D0	0x007012CB	ce3491e3c5b839efd1d54d6fc6e066178bfc0e670e560b5317c4eab0d9a15197	hook_installer=0x0040AF9C..0x0040AFB0@file_off=0x0000A39C..0x0000A3B0@sha256=2c32966749423e1158c563e64dc915f93ef1fb0dafff3adb4125b44de08ba753;rewrite_store=0x00B7A8A1..0x00B7A8D2@file_off=0x00779CA1..0x00779CD2@sha256=1b17b5afa32d5c8a57b89bf2fd3fde11d049cd16b952f8c1867ce38b2718e375	PF_GROUND_DROP_LIFETIME.tsv	b1703a7f31c42ddebf9702d12a7942577407fc320a9c2ad8411a08f3f017e710	GDL-IMG-018;8397845c5926ffec7261a4f40c40a77d8699d001e45299a64f188681fd9ab989														34283699daa6172f914c95752fba4f0f9c781bad58c7e29e1174ee4c75447d1b	83b372de50b99dfcfe41f65670d7e59a70b9cdbb79fdb85ef4cfd327260ff2b0	Actual file-open result and callback slot identity are runtime facts.	Trace callback target, transformed attempt, fallback attempt, and return value.	No successful open of a quest texture is asserted.	c9c9e96ee67762cdaab18bf12d6cf22c1a4cf82c83270f50562a849c90985304
9c3d03e69e3d0e79fae297ef87f1a52c5477545be236834ad285007f56500dad	IMAGE_STATIC_ROUTE	60	IMAGE	open callback factory 0x00B02300	The installed open factory allocates a stream object, constructs it through 0x00B01FE0, invokes virtual +0x2C, and returns the stream only on success.	PROVEN_EXACT_STATIC_CONDITIONAL	MEASURED	STATIC_IMAGE_HASHED_SPAN_AND_EXACT_CONTROL_FLOW_ASSERTIONS	PINNED_IMAGE_SIZE_SHA256;EXACT_PRIMARY_AND_SUPPORT_SPAN_SHA256;DECISIVE_DIRECT_CALL_ASSERTIONS;RUNTIME_OPEN_BIND_PIXELS_OPEN	OPEN	OPEN	OPEN	PF_ROOT://GameClient/GameClient.local.bin	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	stream allocation/constructor/open-result control flow	0x00B02300	0x00B023B0	0x00701700	0x007017B0	d742dd309c8371eab42ee866e8bc57af00d49f45d5424ac70f29f1d202834e3c		PF_GROUND_DROP_LIFETIME.tsv	b1703a7f31c42ddebf9702d12a7942577407fc320a9c2ad8411a08f3f017e710	GDL-IMG-018;8397845c5926ffec7261a4f40c40a77d8699d001e45299a64f188681fd9ab989														0cba71c23a83874889b320873c96b68707144e50242382cabd8cb5a0abbdf154	eda1da48bd882adb43bb03461d57c3f73c4f4018eac393d60233ca64ccda362a	Runtime callback state and stream-open result are unobserved.	Runtime trace of 0x00B02300 and its stream virtual result.	This static factory path does not prove the selected asset opened.	c9c9e96ee67762cdaab18bf12d6cf22c1a4cf82c83270f50562a849c90985304
ec65d69a4949e7a7a6d7a9b150fd3a4793ff0e6e18acd5704a12569742a6e48b	REFERENCE_ONLY	70	IMAGE	$pcz packaged decode wrapper	The generic `$pcz` decode/parse mechanism is imported by key from GDL-IMG-019 and is not duplicated here.	REFERENCE_ONLY	REFERENCE	PINNED_REFERENCE_ARTIFACT_SIZE_SHA256_AND_EXACT_KEY_JOIN	REFERENCE_SIZE_SHA256_PIN;REFERENCE_KEY_EXISTENCE;NO_LOCAL_PRIMARY_EVIDENCE;NO_CLAIM_REISSUE;RUNTIME_OPEN_BIND_PIXELS_OPEN	OPEN	OPEN	OPEN	PF_ROOT://GameClient/GameClient.local.bin	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	GDL-IMG-019							PF_GROUND_DROP_LIFETIME.tsv	b1703a7f31c42ddebf9702d12a7942577407fc320a9c2ad8411a08f3f017e710	GDL-IMG-019;81179e8b43544e4ea785214563ee11c071d4d4c7c0d4b0607dd2bd387e081247														d9b9ab0de5f322b19048aaf60f416a04a2c15626d2d61088c8bfbad18dd988f5	b68fe610c773b2a6576b4e8d5998b622974f014a1181e9fce6ff80515361779b	Asset-specific runtime decode selection and result remain unobserved.	Runtime trace tying the opened quest path to the decode wrapper and downstream reader.	No decoded bytes, pixels, or asset-specific runtime success are emitted or claimed.	c9c9e96ee67762cdaab18bf12d6cf22c1a4cf82c83270f50562a849c90985304
e5310a4d9f933c787e04e639c03eee7c958eab2e44f1acdbb52b628dee906627	IMAGE_STATIC_ROUTE	80	IMAGE	generic image loader 0x008A21D0	The generic image entry normalizes the source name, creates a texture-source object on the uncached path, records the path/options, and may invoke its virtual load path under global/runtime gates.	PROVEN_EXACT_STATIC_CONDITIONAL	MEASURED	STATIC_IMAGE_HASHED_SPAN_AND_EXACT_CONTROL_FLOW_ASSERTIONS	PINNED_IMAGE_SIZE_SHA256;EXACT_PRIMARY_AND_SUPPORT_SPAN_SHA256;DECISIVE_DIRECT_CALL_ASSERTIONS;RUNTIME_OPEN_BIND_PIXELS_OPEN	OPEN	OPEN	OPEN	PF_ROOT://GameClient/GameClient.local.bin	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	generic image cache/create/path/options/virtual-load control flow	0x008A21D0	0x008A2401	0x004A15D0	0x004A1801	7c2e90f233a2aade00be5d0f09dbf19ae269b245b4ffdb9abe804c20331681c1																		7350d9b67b69bc51f08eb7f7bcbc9369e4004a67b0a860bd1fabc1fd7b210c89	f6a0cd240c7bfa3a6f988918ca7056c781c3fe35e827abe1c82f234559f9116f	The concrete texture subclass, lazy/eager load branch, and link to the reader-registry instance are not proved for these eight requests.	Object/vtable trace from 0x008A21D0 return through the renderer's image-converter instance.	The independently proved reader registry below is not asserted to have executed for these eight resources.	c9c9e96ee67762cdaab18bf12d6cf22c1a4cf82c83270f50562a849c90985304
147a9441210ffb8e0b80a46fc7db3fc95fc4b5398276fc01dc221b36014b45c8	IMAGE_READER_REGISTRY	90	IMAGE	image-converter reader filter/open dispatch	The converter splits the requested path extension, iterates reader nodes at object+0x678, calls reader virtual +0x04 as the type filter, and opens an accepted path through dispatcher 0x00790EC0.	PROVEN_EXACT_STATIC_CONDITIONAL	MEASURED	STATIC_IMAGE_HASHED_SPAN_VIRTUAL_DISPATCH_AND_CALL_ASSERTIONS	PINNED_IMAGE_SIZE_SHA256;EXACT_PRIMARY_AND_SUPPORT_SPAN_SHA256;OPEN_DISPATCH_AND_VIRTUAL_SLOT_ASSERTIONS;RUNTIME_OPEN_BIND_PIXELS_OPEN	OPEN	OPEN	OPEN	PF_ROOT://GameClient/GameClient.local.bin	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	reader-list loop, virtual filter, open dispatcher	0x00925A80	0x00925B6D	0x00524E80	0x00524F6D	613bcfe2fbef5d3034eb785aa249c44301aa223bb093cda3e0d184b2ab919819	tga_register=0x00929EB5..0x00929EFF@file_off=0x005292B5..0x005292FF@sha256=ee1aaa27f16b1542c26c27dcab5c69f2d7c6eda14a070d38b4c8d1f47adcb0ee;tga_vtable=0x00F724F4..0x00F72504@file_off=0x00B708F4..0x00B70904@sha256=595f58fb45ebc0af44132cc3b9d9118987b9649c494378ee59fec8c55a99d51e																	67728109d7a5fa85092545195212a933c44f9aab60d9309843fbb9727d7dc288	22f2713ce15e264389dc3647d76a786e558a4397b9e9f3c78df1866e357e7bf2	The constructed converter instance and selected reader at runtime are unobserved.	Runtime reader-node identity and filter return for a quest `.tga` request.	Registry availability does not prove the TGA reader was selected for an actual request.	c9c9e96ee67762cdaab18bf12d6cf22c1a4cf82c83270f50562a849c90985304
