event_key	row_kind	channel	receiver_or_owner	event_kind	field_or_slot	operation	semantic_status	measurement_label	exact_observation	census_scope	census_count	census_digest	span_start_va	span_end_va	file_off_start	file_off_end	span_sha256	support_spans	reference_artifact	reference_sha256	reference_keys	source	source_file	source_size	source_sha256	nonclaim	blocker	required_next_evidence	artifact_pair_sha256	claim_sha256	evidence_key
QME-IMG-001	EVENT_LAYOUT_INIT	SHARED_EVENT_OBJECT	event constructor 0x005F8D20	N/A	+0x10,+0x14,+0x18,+0x20,+0x24,+0x28,+0x2C	ZERO_INITIALIZE	PROVEN_EXACT	MEASURED	The constructor zeros kind +0x10, byte +0x14, dword +0x18, and dwords +0x20/+0x24/+0x28/+0x2C before dispatch-specific producers fill them.	Pinned constructor slice.	7 initialized fields		0x005F8D43	0x005F8D84	0x001F8143	0x001F8184	e323b02cb58d9177021389b7979707b3c0b395b79f0c553c94226f00fd178b67					IMAGE	PF_ROOT://GameClient/GameClient.local.bin	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	The common layout does not give numeric event kinds a global gameplay meaning.		None for these initialization writes.	6a513a67f9e349150933fccf2ea7468538332b3f2553d0a6e8b0206475376dd3	fd293889acc63c5dd958529b100d501b67091e0224b0b95814d1b8962b8be197	bd6c13da0ff967005f0cae08f6d277d4c35643af01da4e5e7ad397085e3d08e9
QME-IMG-002	QUERY_PRODUCER	RETURN_VALUE_CHANNEL	producer 0x00449F30; caller-provided root +0x130	0x0000000A	event +0x18,+0x20,+0x24 and +0x10	SEED_THEN_SYNCHRONOUS_DISPATCH	PROVEN_EXACT	MEASURED	The producer constructs a stack event, stores argument1 at +0x18, argument2 at +0x20, argument3 at +0x24, stores kind 0x0A at +0x10, and calls 0x005F9F60 with that event pointer.	One exact producer body on the pinned image.	1 producer body		0x00449F65	0x00449FB2	0x00049365	0x000493B2	bdb0c1ea808213b606ae11a03077caa3f19634abf452d8c83ef4b9e3e61f2105	event_ctor_fields=0x005F8D43..0x005F8D84@file_off=0x001F8143..0x001F8184@sha256=e323b02cb58d9177021389b7979707b3c0b395b79f0c553c94226f00fd178b67	PF_ATTR_QUEST_MARK_SELECTOR.tsv	3218d619a400dfcab52416489dcf8e6b85e6cbfd5a8bbd14d6ccad39dbfb9bf0	664c81eb05a59bb0661d3390d9f08a7c4f7401360e4bf3840678e4fa10a6f515	IMAGE	PF_ROOT://GameClient/GameClient.local.bin	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	This row does not copy or reinterpret any selector row and does not name 0x0A globally.		None for the stack-field seed and direct dispatch edge.	6a513a67f9e349150933fccf2ea7468538332b3f2553d0a6e8b0206475376dd3	e6c093c9647779a4c8df820ff78b57ced4257f7a6fb49f941c0e0cafa49101d7	6f02802cc1a27963b05fa99bdd728d5aeb9d62123f4127f63b25595891aaf514
QME-IMG-003	QUERY_RESULT_LIFETIME	RETURN_VALUE_CHANNEL	producer 0x00449F30	0x0000000A	event +0x18 low byte	READ_AFTER_DISPATCH_THEN_DESTROY	PROVEN_EXACT	MEASURED	After 0x005F9F60 returns true, the producer reads the low byte of event +0x18, destroys the stack event, and returns that byte; the false branch also destroys the event and returns zero.	Pinned post-dispatch slice.	2 destruction branches; 1 result read		0x00449FB2	0x00449FD9	0x000493B2	0x000493D9	be082bdd71752f0ef7af66e492e0323692fb3489d919b1cc06078d3c9899331a					IMAGE	PF_ROOT://GameClient/GameClient.local.bin	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	No asynchronous retention is observed on this producer path, but transitive retention inside an invoked listener is not disproved by IMAGE alone.	Runtime reentrancy and transitive retention are unmeasured.	Runtime instrumentation only if reentrancy or retention must be excluded beyond the direct path.	6a513a67f9e349150933fccf2ea7468538332b3f2553d0a6e8b0206475376dd3	d0db852f24c4d8f0b83bd7c9faed9701281d92a8b391578e06647ef4a32a3536	c3b5362cd18c56d8f81aa2d55125cfdafccda82ac6d7750dbcf7865eb17da44b
QME-IMG-004	QUERY_PRODUCER_CALLER_CENSUS	RETURN_VALUE_CHANNEL	direct callers of 0x00449F30	0x0000000A by callee	call target	DIRECT_CALL_CENSUS	PROVEN_BOUNDED	MEASURED	The mapped executable .text contains five direct E8 callers of 0x00449F30 at 0x005250B5, 0x00528695, 0x0052C265, 0x0052E935, and 0x006167D1; no direct E9 or absolute dword carrier for the target exists in the image.	Mapped executable .text direct E8/E9 targets, immediate registration shapes, and image-resident raw vtable pointers only; computed control transfers and runtime-only registration remain outside the census.	5 direct E8; 0 direct E9; 0 absolute dword refs	f5f75023e92b381d6182318fbfd4a68f8bff117e7598f7c7e664e91b76093df1	0x005250AC	0x005250BA	0x001244AC	0x001244BA	44121e7b9bab1c1a781c7de635a0cf75b4e11f56e3c0e5d9e4909cf3db58269a	caller_5286=0x00528684..0x0052869A@file_off=0x00127A84..0x00127A9A@sha256=ff801d12334fb4d05a201ad24871ea62f11621808ae03253efd225d456df8089;caller_52c2=0x0052C252..0x0052C26A@file_off=0x0012B652..0x0012B66A@sha256=78a5c0c5c417098b93a82ea122d3405f148db4d4faa516596a6304530cd90e7d;caller_52e9=0x0052E923..0x0052E93A@file_off=0x0012DD23..0x0012DD3A@sha256=127c73cf7bf323d68d6bde2582bb4784e72c7a88c7645464d48a28cfc609432f;cnetnpc_call=0x006167C1..0x006167D6@file_off=0x00215BC1..0x00215BD6@sha256=0a5e60bc2cba49956fa2592f9e40339d0598f4810c3f690ad5a652cf02a459c5				IMAGE	PF_ROOT://GameClient/GameClient.local.bin	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	The four non-CNetNPC callers are not assigned class or gameplay names here.	Computed target formation without a static carrier remains outside the bounded census.	A whole-program indirect-call proof is required to make a global caller claim.	6a513a67f9e349150933fccf2ea7468538332b3f2553d0a6e8b0206475376dd3	2f234686d81dcb445d109e861d3757da1e708eaf9f04e9f1f8c36e61cd1d0a5d	f95d12a539b4197e8d7fa330aaa2e86d4eba7d35b4ac31b07a92df1cc8a0e403
QME-IMG-005	CNETNPC_QUERY_BINDING	RETURN_VALUE_CHANNEL	CNetNPC refresh path from referenced selector row	0x0000000A by 0x00449F30	+0x18=NPCAttr+0x78 u16; +0x20=actor+0x78; +0x24=actor+0x7C	CALL_WITH_THREE_ARGUMENTS	PROVEN_EXACT	MEASURED	The CNetNPC path zero-extends NPCAttr +0x78, passes it as producer argument1, and passes actor dwords +0x78/+0x7C as arguments2/3 before the direct call at 0x006167D1.	Exact CNetNPC caller slice; selector behavior remains owned by the referenced artifact.	1 CNetNPC call site		0x006167C1	0x006167D6	0x00215BC1	0x00215BD6	0a5e60bc2cba49956fa2592f9e40339d0598f4810c3f690ad5a652cf02a459c5		PF_ATTR_QUEST_MARK_SELECTOR.tsv	3218d619a400dfcab52416489dcf8e6b85e6cbfd5a8bbd14d6ccad39dbfb9bf0	664c81eb05a59bb0661d3390d9f08a7c4f7401360e4bf3840678e4fa10a6f515	IMAGE	PF_ROOT://GameClient/GameClient.local.bin	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	This row does not duplicate selector rows or assign semantic names to actor +0x78/+0x7C.		None for the argument-to-event-field binding.	6a513a67f9e349150933fccf2ea7468538332b3f2553d0a6e8b0206475376dd3	71db6933de07fdf5ccc3967e6669ff82075e589559a4271fe9db3dac0239b65d	7ac26b8ad88f926cf2cf3d50d935edd61ac7e44cfeb75dd12601386ef3d7f6dd
QME-IMG-006	QUERY_REGISTRATION_CENSUS	RETURN_VALUE_CHANNEL	direct registration API 0x005FAE30	0x0000000A	registration virtual slot +0x34	DIRECT_REGISTRATION_CENSUS	PROVEN_BOUNDED	MEASURED	All 55 direct registration calls match the pinned push-kind/push-object/singleton/call shape. Exactly one registers kind 0x0A: call 0x00615BFC in function 0x00615BE0. No direct E9 or absolute dword carrier for 0x005FAE30 exists.	Mapped executable .text direct E8/E9 targets, immediate registration shapes, and image-resident raw vtable pointers only; computed control transfers and runtime-only registration remain outside the census.	55 direct registrations; 1 kind-0x0A site	8a5db14dcd8318aa520b3a66122a6ccbf2237fe62b2ad0b4c72ed1dfe81d130c	0x00615BE0	0x00615C30	0x00214FE0	0x00215030	03506f8b0fdff5c778c2c39b838339f037f8b42262b915fbf6ade250f5777d94		PF_ATTR_QUEST_MARK_SELECTOR.tsv	3218d619a400dfcab52416489dcf8e6b85e6cbfd5a8bbd14d6ccad39dbfb9bf0	664c81eb05a59bb0661d3390d9f08a7c4f7401360e4bf3840678e4fa10a6f515	IMAGE	PF_ROOT://GameClient/GameClient.local.bin	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	This is not a process-lifetime or runtime-injected listener census.	Computed registration calls and runtime-only listeners remain outside the static image census.	Instrument registry mutation if runtime injection must be excluded.	6a513a67f9e349150933fccf2ea7468538332b3f2553d0a6e8b0206475376dd3	c2e24c91b8cbacfc6fbd3492baf3cc5008e3e87a8f19717970f411aec8d5f55e	5bd7beeb2d75b7e2fe4cf70be660f0bdb37ce5eb6067456c7464de959e6723a1
QME-IMG-007	QUEST_QUERY_VTABLE_BINDING	RETURN_VALUE_CHANNEL	QuestModule per referenced selector row; vtable 0x00F33420	0x0000000A	vtable +0x34=0x00615BE0; +0x44=0x0061A8C0	BIND_REGISTRATION_TO_HANDLER	PROVEN_EXACT	MEASURED	The sole image dword reference to query registration function 0x00615BE0 is vtable slot +0x34 at 0x00F33454; the sole image dword reference to query handler 0x0061A8C0 is slot +0x44 at 0x00F33464 of the same vtable.	Image-resident raw dword references to the two exact functions.	1 vtable owner		0x00F33454	0x00F33468	0x00B31854	0x00B31868	ae0b8656f2331265530a2f951b5934c7ff21e4483396aa589d1f31a349334208		PF_ATTR_QUEST_MARK_SELECTOR.tsv	3218d619a400dfcab52416489dcf8e6b85e6cbfd5a8bbd14d6ccad39dbfb9bf0	664c81eb05a59bb0661d3390d9f08a7c4f7401360e4bf3840678e4fa10a6f515	IMAGE	PF_ROOT://GameClient/GameClient.local.bin	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	The class label is inherited only from the pinned selector reference; this row does not re-derive or broaden it.	Runtime-generated vtables are not represented by raw image dword references.	Runtime class-map evidence only if dynamic vtables must be excluded.	6a513a67f9e349150933fccf2ea7468538332b3f2553d0a6e8b0206475376dd3	c6a8c8f2d9fa39c71b6eb8757167ce739622e0ba394e6a44a3972a3ea15d9e5b	aeb9b33c61c0dfdb02c624271d203c41cae68ca87b75185609eafdce6b5088f2
QME-IMG-008	QUERY_REGISTRY_INSERT	RETURN_VALUE_CHANNEL	registration API 0x005FAE30	caller-provided registration key	registration singleton +0x20 map	INSERT_LISTENER_RECORD	PROVEN_EXACT	MEASURED	The query registration API advances to singleton +0x20, locates or creates the keyed record, and records/retains the supplied listener in that channel's registration structure.	Pinned registration function body.	1 registration API		0x005FAE30	0x005FAF77	0x001FA230	0x001FA377	749b645653080d3cf860a084f27e5b5c2ce273eb4ed87879f2d385ff62dbb2f2					IMAGE	PF_ROOT://GameClient/GameClient.local.bin	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	The exact runtime vector population at a later instant is not observed by IMAGE.	Runtime registry contents are unavailable in this IMAGE-only lane.	Runtime registry snapshot only if live ordering/content must be measured.	6a513a67f9e349150933fccf2ea7468538332b3f2553d0a6e8b0206475376dd3	eadccc409bba6c9fccd4e03c25d6786c56b3db853f8beca72569a0c2de15d29b	164d6620c53d48a2dbec2b91fedd5fab960e5a8363165c46c18052f010708a91
QME-IMG-009	QUEST_QUERY_WRITER	RETURN_VALUE_CHANNEL	QuestModule query handler 0x0061A8C0	0x0000000A	event +0x18 dword	OVERWRITE_WITH_ZERO_EXTENDED_SELECTOR	PROVEN_EXACT	MEASURED	For kind 0x0A the handler passes event +0x18/+0x20/+0x24 to 0x00619E00, zero-extends AL, overwrites the full dword at event +0x18, and returns true.	Event-only subspan of the referenced QuestModule handler; selector computation remains in the reference artifact.	1 direct +0x18 writer in the sole static query subscriber		0x0061A8D9	0x0061A8F9	0x00219CD9	0x00219CF9	23760a6bf4f48487b1402ee8be1ea47eecc508e8ff8f42e6d1eea1027a1c19af		PF_ATTR_QUEST_MARK_SELECTOR.tsv	3218d619a400dfcab52416489dcf8e6b85e6cbfd5a8bbd14d6ccad39dbfb9bf0	664c81eb05a59bb0661d3390d9f08a7c4f7401360e4bf3840678e4fa10a6f515	IMAGE	PF_ROOT://GameClient/GameClient.local.bin	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	No selector meaning is duplicated here; selector 0 is not called hidden.		None for this exact write; runtime presentation remains a separate evidence layer.	6a513a67f9e349150933fccf2ea7468538332b3f2553d0a6e8b0206475376dd3	0129c0018a6517c1f3c2f8d23e52087bbe13c19786505f5ed7772420047efdb7	b09bdbbd6d4f3950289ddda24db1a0c614a2afc37ddc825395f64132b1ca4dc6
QME-IMG-010	QUERY_DISPATCH_ORDER	RETURN_VALUE_CHANNEL	dispatcher 0x005F9F60	event +0x10 lookup key	dispatcher owner +0xA0 map; listener vtable +0x44	ITERATE_ALL_IN_VECTOR_STORAGE_ORDER	PROVEN_EXACT	MEASURED	The dispatcher looks up event +0x10 in owner +0xA0, iterates listener vector indices from zero upward, invokes vtable +0x44 on the same event pointer, ORs successful returns, and does not stop after a true return.	Pinned dispatcher body.	all current vector entries		0x005F9F60	0x005FA011	0x001F9360	0x001F9411	0159308f02b759596a41e8aabed34c1d6779940c4208ba03b8e01c8195044296					IMAGE	PF_ROOT://GameClient/GameClient.local.bin	14759424	9627211412ac60d50ad189ce5a629443ce928ec23a9f8d219dfb2b157028b623	If an unmeasured later listener writes +0x18, the last such writer in current vector storage order would win; insertion-time chronology is not claimed.	Runtime registry contents and reentrant mutation are unmeasured.	Runtime registry trace only if live ordering or reentrancy must be closed.	6a513a67f9e349150933fccf2ea7468538332b3f2553d0a6e8b0206475376dd3	243dfd1567ce7e91ce6887d499b1278ece7460ffdd560b0c5a6b631b6be905d7	e02f04f5c635f95d9949b13e5bd7041f6e28ff7c1712ac18fe302296d35abc9c
